gene_id	gene_name	EP1-BRN3B-RO	EP1-WT_hRO_2	EP1-WT_ROs_D45	H9-BRN3B_hRO_2	H9-BRN3B-RO	H9-CRX_hRO_2	H9-CRX_ROs_D45
LGI4	LGI4	589.999995829306	52.000000734889994	32.00000172083201	84.000001236586	269.00000079659293	147.99999912281	19.999998022378968
LGR4	LGR4	320.999996330603	44.99999976183099	361.00000205699394	57.99999899377798	152.99999885266496	77.00000153210502	301.00000677628015
LIMA1	LIMA1	43.00000185558498	11.999999758233997	22.99999750198198	7.999999556243997	22.999999855246994	8.999999120672996	28.99999697426995
LIMK1	LIMK1	73.00000159421099	15.999998786373991	149.99999883908396	20.999999940644997	62.99999840481899	14.000000141364005	151.00000420868705
LIN28B	LIN28B	7.0000015874369845	1.9999995140699969	52.99999867586599	11.000001232343003	4.0000000670319995	5.999999413781998	68.000000868707
LINC00937	LINC00937	62.999999742012996	13.999999272303993	27.999997111767975	15.999999112487993	39.99999642882399	26.000000478134005	32.99999721146395
LINC00939	LINC00939	4.000001322675987	2.999999271104995	11.000001250630008	4.999999354150997	3.9999979462839974	1.999999804593999	10.999999070487984
LINC01002	LINC01002	40.000001590823985	16.000000123280998	17.999997892195978	23.99999866873199	27.999998348475994	26.000000478134005	23.999998259572973
LINC01088	LINC01088	48.00000132719199	21.000000245362997	58.00000531598803	39.99999925522599	43.999998616603996	30.000000087322007	32.999997211463956
LINC01089	LINC01089	53.999998947730006	54.00000024895999	108.999999929738	72.000000428214	44.99999916354899	65.99999958842602	67.99999770511596
LINC01224	LINC01224	21.000001853326978	16.000000123280998	81.99999781869197	11.999999334365995	6.999999587118999	23.00000077124301	51.999996756339954
LINC01278	LINC01278	209.999998170382	108.99999891804798	78.99999875585398	89.00000059073697	129.99999687666997	88.999998850463	39.99999288116688
LINC01697	LINC01697	12.000001059043989	16.999999880315997	35.99999929955999	21.99999951667399	9.999999107205998	42.999998817183	23.99999825957297
LINC01833	LINC01833	348.999996862383	99.00000001079098	236.00000126683997	129.000001319969	207.000000817971	124.99999986077303	184.999999897654
LITAF	LITAF	30.000005556593944	9.999998907256991	6.999996641565973	7.9999995562439965	20.000002455908	1.999999804593999	12.999996025493932
LLGL2	LLGL2	72.000000536296	24.999999273502993	19.999998439143987	17.000000162522994	72.99999751202499	17.999999750552004	14.999999307681989
LMCD1	LMCD1	56.999999212491005	20.000000488328	39.000001877566014	13.000000384400998	44.99999916354899	15.000000043661002	64.00000063151302
LMO3	LMO3	85.00000265325498	4.0000003650470015	2.999999062837992	0	16.000002388876002	2.9999997068909985	8.999995788299929
LONP1	LONP1	110.99999816022101	28.999999638549994	116.99999860236198	37.000000527138994	52.00000087141599	23.999999164333996	116.000000551444
