.feature	.sample	counts	counts_scaled	group	sample_name	TMM	multiplier	PC1	PC2	.abundant	edgerQLT_logFC	edgerQLT_logCPM	edgerQLT_F	edgerQLT_PValue	edgerQLT_FDR	edgerLR_logFC	edgerLR_logCPM	edgerLR_LR	edgerLR_PValue	edgerLR_FDR
BICD2	H9-hRGC_2	64.99999939604201	118.3889221785933	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.7748972194756181	8.984856511783232	4.061857261533686	0.06555369974219433	0.13495702872690268	-0.7642147942561102	8.984856511783232	3.5843283427279893	0.058326990734861146	0.11984998096204347
BID	H9-hRGC_2	145.99999785314807	265.91973145408434	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-1.2422306259283427	9.273807352717766	17.968627809057928	0.0010189894092632178	0.0059302385802217005	-1.2441711664556652	9.273807352717766	14.89210951070146	1.1383814713273562e-4	6.125819576649451e-4
BIN1	H9-hRGC_2	220.99999941418605	402.52233808033566	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-1.6627611396737048	9.996577821329774	18.226093736790958	9.640570917460567e-4	0.0057270718321547915	-1.6435424062475092	9.996577821329774	16.143175622106558	5.87297949208274e-5	3.523787695249644e-4
BIRC6	H9-hRGC_2	62.00000461711601	112.92482753676961	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.19848728607306035	8.77781525869081	0.6009779685459081	0.452413542587217	0.5869148660590924	-0.19646378916536616	8.77781525869081	0.4802734646306006	0.4882984744955742	0.6266932292991326
BLTP1	H9-hRGC_2	93.000004479602	169.387236849957	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.5348899379109093	9.631034765720957	2.6183106510637493	0.1302166965119063	0.23392220930282567	0.5249704648036531	9.631034765720957	2.211116825022735	0.137019444566193	0.24378918303716415
BNIP2	H9-hRGC_2	268.99999904345003	489.948003826226	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.3651333053737197	9.914597612946142	1.5549120231054272	0.23494227141240506	0.3673323167764417	-0.36477909064889624	9.914597612946142	1.2661607988470482	0.2604881488983107	0.3971820612565881
BORCS8	H9-hRGC_2	105.99999897745204	193.06501148424144	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.01035488290907836	9.524890438910445	0.002080183912063547	0.9643319628708027	0.9806765724109857	-0.004287137628781346	9.524890438910445	2.7850940266826996e-4	0.98668504099644	0.993778492471065
BRAF	H9-hRGC_2	150.99999648957407	275.026569222716	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.8584420955794745	9.974792460940284	9.505739993839722	0.00894687456351654	0.029989523676591752	-0.8559378616885623	9.974792460940284	7.828840126907554	0.005141908490228874	0.01636681747552957
BRAT1	H9-hRGC_2	90.99999817603003	165.74448926795168	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.26724255766708077	9.461025717854628	1.2250650108421537	0.2889145220569095	0.42749374410393515	0.26505881827844213	9.461025717854628	0.9449115612034817	0.331017906566437	0.4737883780522807
BRD2	H9-hRGC_2	230.9999966870381	420.7360136175991	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	-0.3046074731672396	10.152872042948031	1.4180753240267805	0.25552495557739346	0.3906113970609837	-0.3101595475014385	10.152872042948031	1.239808064514338	0.26550804767658764	0.4017776257401074
