isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
ENST00000417878.1	ENSG00000225093	RPL3P7	0.155415	0	1	NA
ENST00000417878.1	ENSG00000225093	RPL3P7	0.155415	0	1	NA
ENST00000444246.2	ENSG00000225098	BCRP1	0.03123	0	1	NA
ENST00000444246.2	ENSG00000225098	BCRP1	0.03123	0	1	NA
ENST00000444246.2	ENSG00000225098	BCRP1	0.03123	0	1	NA
ENST00000439215.1	ENSG00000225099	ATP6V1E1P1	0.030485	0	1	NA
ENST00000439215.1	ENSG00000225099	ATP6V1E1P1	0.030485	0	1	NA
ENST00000439215.1	ENSG00000225099	ATP6V1E1P1	0.030485	0	1	NA
ENST00000456036.2	ENSG00000225102		0.03123	0	1	NA
ENST00000456036.2	ENSG00000225102		0.03123	0	1	NA
ENST00000456036.2	ENSG00000225102		0.03123	0	1	NA
ENST00000435725.2	ENSG00000225105	LINC01076	0.28109	0	1	NA
ENST00000435725.2	ENSG00000225105	LINC01076	0.28109	0	1	NA
ENST00000435725.2	ENSG00000225105	LINC01076	0.28109	0	1	NA
ENST00000420548.1	ENSG00000225107		0.030485	0	1	NA
ENST00000420548.1	ENSG00000225107		0.030485	0	1	NA
ENST00000420548.1	ENSG00000225107		0.030485	0	1	NA
ENST00000421964.3	ENSG00000225111		0.061715000000000006	0	1	NA
ENST00000421964.3	ENSG00000225111		0.061715000000000006	0	1	NA
ENST00000421964.3	ENSG00000225111		0.061715000000000006	0	1	NA
ENST00000412388.1	ENSG00000225112		0.121935	0	1	NA
ENST00000412388.1	ENSG00000225112		0.121935	0	1	NA
ENST00000412388.1	ENSG00000225112		0.121935	0	1	NA
ENST00000436416.1	ENSG00000225113		0	0.115645	NA	1
ENST00000436416.1	ENSG00000225113		0	0.115645	NA	1
ENST00000436416.1	ENSG00000225113		0	0.115645	NA	1
ENST00000430516.1	ENSG00000225122		0.030485	0	1	NA
ENST00000430516.1	ENSG00000225122		0.030485	0	1	NA
ENST00000430516.1	ENSG00000225122		0.030485	0	1	NA
ENST00000413361.2	ENSG00000225125	RANP4	0.03123	0	1	NA
ENST00000413361.2	ENSG00000225125	RANP4	0.03123	0	1	NA
ENST00000413361.2	ENSG00000225125	RANP4	0.03123	0	1	NA
ENST00000422448.1	ENSG00000225128	LINC00972	0.03123	0	0.5	NA
ENST00000422448.1	ENSG00000225128	LINC00972	0.03123	0	0.5	NA
ENST00000422448.1	ENSG00000225128	LINC00972	0.03123	0	0.5	NA
ENST00000438065.1	ENSG00000225128	LINC00972	0.030485	0	0.5	NA
ENST00000438065.1	ENSG00000225128	LINC00972	0.030485	0	0.5	NA
ENST00000438065.1	ENSG00000225128	LINC00972	0.030485	0	0.5	NA
ENST00000424662.1	ENSG00000225129		0.09295	0	1	NA
ENST00000424662.1	ENSG00000225129		0.09295	0	1	NA
ENST00000424662.1	ENSG00000225129		0.09295	0	1	NA
ENST00000453033.1	ENSG00000225131	PSME2P2	0.0922	0	1	NA
ENST00000453033.1	ENSG00000225131	PSME2P2	0.0922	0	1	NA
ENST00000453033.1	ENSG00000225131	PSME2P2	0.0922	0	1	NA
ENST00000441274.2	ENSG00000225142	RPL21P22	0.06097	0	1	NA
ENST00000441274.2	ENSG00000225142	RPL21P22	0.06097	0	1	NA
ENST00000441274.2	ENSG00000225142	RPL21P22	0.06097	0	1	NA
ENST00000415509.1	ENSG00000225152		0.03123	0	1	NA
ENST00000415509.1	ENSG00000225152		0.03123	0	1	NA
ENST00000415509.1	ENSG00000225152		0.03123	0	1	NA
ENST00000416399.2	ENSG00000225155	TOMM22P5	0.03123	0	1	NA
ENST00000416399.2	ENSG00000225155	TOMM22P5	0.03123	0	1	NA
ENST00000416399.2	ENSG00000225155	TOMM22P5	0.03123	0	1	NA
ENST00000449818.1	ENSG00000225159	NPM1P39	0.09295	0	1	NA
ENST00000449818.1	ENSG00000225159	NPM1P39	0.09295	0	1	NA
ENST00000449818.1	ENSG00000225159	NPM1P39	0.09295	0	1	NA
ENST00000440440.1	ENSG00000225169	BRI3P1	0	0.59687	NA	1
ENST00000440440.1	ENSG00000225169	BRI3P1	0	0.59687	NA	1
ENST00000440440.1	ENSG00000225169	BRI3P1	0	0.59687	NA	1
ENST00000413920.2	ENSG00000225170		0.24761	0	1	NA
ENST00000413920.2	ENSG00000225170		0.24761	0	1	NA
ENST00000413920.2	ENSG00000225170		0.24761	0	1	NA
ENST00000661315.1	ENSG00000225172		0.030485	0	0.5	NA
ENST00000661315.1	ENSG00000225172		0.030485	0	0.5	NA
ENST00000661315.1	ENSG00000225172		0.030485	0	0.5	NA
ENST00000658052.1	ENSG00000225172		1.093135	0	0.5	NA
ENST00000658052.1	ENSG00000225172		1.093135	0	0.5	NA
ENST00000658052.1	ENSG00000225172		1.093135	0	0.5	NA
