isoform_id	DTU_Stage_1_vs_Stage_2	DTU_Stage_1_vs_Stage_3	DTU_Stage_2_vs_Stage_3
BambuTx627	FALSE	FALSE	FALSE
BambuTx628	FALSE	FALSE	TRUE
BambuTx631	FALSE	FALSE	FALSE
BambuTx632	FALSE	FALSE	FALSE
BambuTx633	FALSE	FALSE	FALSE
BambuTx639	FALSE	FALSE	FALSE
BambuTx64	FALSE	FALSE	FALSE
BambuTx641	FALSE	FALSE	FALSE
BambuTx643	FALSE	TRUE	FALSE
BambuTx648	FALSE	FALSE	FALSE
BambuTx651	FALSE	FALSE	FALSE
BambuTx654	FALSE	FALSE	FALSE
BambuTx655	FALSE	FALSE	FALSE
BambuTx658	FALSE	TRUE	FALSE
BambuTx659	FALSE	FALSE	FALSE
BambuTx66	FALSE	FALSE	FALSE
BambuTx669	FALSE	FALSE	FALSE
BambuTx67	FALSE	FALSE	FALSE
BambuTx676	FALSE	FALSE	FALSE
BambuTx679	FALSE	FALSE	FALSE
BambuTx681	FALSE	FALSE	FALSE
BambuTx684	FALSE	FALSE	FALSE
BambuTx685	FALSE	FALSE	FALSE
BambuTx687	FALSE	FALSE	FALSE
BambuTx690	FALSE	FALSE	FALSE
BambuTx691	FALSE	FALSE	FALSE
BambuTx693	FALSE	FALSE	FALSE
BambuTx694	FALSE	FALSE	FALSE
BambuTx697	FALSE	FALSE	FALSE
BambuTx698	FALSE	FALSE	FALSE
BambuTx699	FALSE	FALSE	FALSE
BambuTx70	FALSE	FALSE	FALSE
BambuTx705	FALSE	FALSE	FALSE
BambuTx71	FALSE	FALSE	FALSE
BambuTx710	FALSE	FALSE	FALSE
BambuTx713	FALSE	TRUE	FALSE
BambuTx714	FALSE	FALSE	FALSE
BambuTx719	FALSE	FALSE	FALSE
BambuTx72	FALSE	FALSE	FALSE
BambuTx720	FALSE	FALSE	FALSE
BambuTx721	FALSE	FALSE	FALSE
BambuTx727	FALSE	FALSE	FALSE
BambuTx731	FALSE	FALSE	FALSE
BambuTx737	FALSE	FALSE	FALSE
BambuTx738	FALSE	FALSE	FALSE
BambuTx74	TRUE	FALSE	FALSE
BambuTx741	FALSE	FALSE	FALSE
BambuTx743	FALSE	FALSE	FALSE
BambuTx745	FALSE	FALSE	FALSE
BambuTx751	FALSE	FALSE	FALSE
BambuTx752	FALSE	FALSE	FALSE
BambuTx754	FALSE	FALSE	FALSE
BambuTx757	FALSE	FALSE	FALSE
BambuTx758	FALSE	FALSE	FALSE
BambuTx764	FALSE	FALSE	FALSE
BambuTx765	FALSE	FALSE	FALSE
BambuTx767	FALSE	FALSE	FALSE
BambuTx768	FALSE	FALSE	FALSE
BambuTx769	FALSE	FALSE	FALSE
BambuTx776	FALSE	FALSE	FALSE
BambuTx778	FALSE	FALSE	FALSE
BambuTx780	FALSE	FALSE	FALSE
BambuTx781	FALSE	FALSE	FALSE
BambuTx785	FALSE	FALSE	FALSE
BambuTx787	TRUE	FALSE	FALSE
BambuTx788	FALSE	FALSE	FALSE
BambuTx791	FALSE	FALSE	FALSE
BambuTx793	FALSE	TRUE	TRUE
BambuTx797	FALSE	FALSE	FALSE
BambuTx798	FALSE	FALSE	FALSE
BambuTx799	TRUE	FALSE	TRUE
BambuTx80	TRUE	FALSE	TRUE
BambuTx802	TRUE	FALSE	FALSE
BambuTx803	FALSE	FALSE	FALSE
BambuTx805	FALSE	FALSE	FALSE
BambuTx809	FALSE	TRUE	FALSE
BambuTx810	FALSE	FALSE	FALSE
BambuTx812	FALSE	TRUE	FALSE
BambuTx814	FALSE	FALSE	FALSE
BambuTx819	FALSE	FALSE	FALSE
BambuTx830	FALSE	TRUE	FALSE
BambuTx831	FALSE	FALSE	FALSE
BambuTx833	FALSE	FALSE	FALSE
BambuTx835	FALSE	FALSE	FALSE
BambuTx848	FALSE	FALSE	FALSE
BambuTx85	FALSE	FALSE	FALSE
BambuTx850	FALSE	FALSE	FALSE
BambuTx852	FALSE	FALSE	FALSE
BambuTx853	TRUE	FALSE	FALSE
BambuTx862	FALSE	FALSE	FALSE
BambuTx863	FALSE	FALSE	FALSE
BambuTx87	FALSE	FALSE	FALSE
BambuTx873	FALSE	FALSE	FALSE
BambuTx875	FALSE	FALSE	FALSE
BambuTx882	FALSE	FALSE	FALSE
BambuTx884	FALSE	FALSE	FALSE
BambuTx890	FALSE	FALSE	FALSE
BambuTx892	FALSE	FALSE	FALSE
BambuTx894	FALSE	FALSE	FALSE
BambuTx897	FALSE	FALSE	FALSE
BambuTx90	FALSE	TRUE	FALSE
BambuTx906	FALSE	FALSE	FALSE
BambuTx914	FALSE	FALSE	FALSE
BambuTx92	FALSE	FALSE	FALSE
BambuTx923	FALSE	FALSE	FALSE
BambuTx926	FALSE	FALSE	FALSE
BambuTx928	TRUE	TRUE	FALSE
BambuTx932	FALSE	FALSE	FALSE
BambuTx935	FALSE	FALSE	TRUE
BambuTx940	FALSE	FALSE	FALSE
BambuTx941	FALSE	FALSE	FALSE
BambuTx943	FALSE	TRUE	TRUE
BambuTx946	TRUE	TRUE	TRUE
BambuTx948	FALSE	FALSE	FALSE
BambuTx95	FALSE	FALSE	FALSE
BambuTx952	TRUE	TRUE	FALSE
BambuTx96	FALSE	FALSE	FALSE
BambuTx971	FALSE	FALSE	FALSE
BambuTx974	FALSE	FALSE	FALSE
BambuTx975	FALSE	FALSE	FALSE
BambuTx976	FALSE	FALSE	FALSE
BambuTx986	FALSE	TRUE	FALSE
BambuTx987	FALSE	TRUE	FALSE
BambuTx990	FALSE	TRUE	FALSE
ENST00000000233	FALSE	FALSE	FALSE
ENST00000000412	FALSE	FALSE	FALSE
ENST00000001008	FALSE	FALSE	FALSE
ENST00000001146	TRUE	FALSE	FALSE
ENST00000002125	FALSE	FALSE	FALSE
ENST00000002165	FALSE	FALSE	FALSE
ENST00000002501	TRUE	FALSE	TRUE
ENST00000002596	FALSE	FALSE	FALSE
ENST00000002829	FALSE	FALSE	FALSE
ENST00000003100	FALSE	FALSE	FALSE
ENST00000003302	FALSE	TRUE	FALSE
ENST00000003583	FALSE	FALSE	FALSE
ENST00000004103	FALSE	FALSE	FALSE
ENST00000004531	FALSE	FALSE	FALSE
ENST00000004982	FALSE	FALSE	FALSE
ENST00000005082	FALSE	FALSE	FALSE
ENST00000005178	FALSE	FALSE	FALSE
ENST00000005257	FALSE	FALSE	FALSE
ENST00000005259	FALSE	FALSE	FALSE
ENST00000005260	FALSE	FALSE	FALSE
ENST00000005284	FALSE	FALSE	FALSE
ENST00000005286	FALSE	FALSE	FALSE
ENST00000005340	FALSE	FALSE	FALSE
ENST00000005374	FALSE	FALSE	FALSE
ENST00000005386	FALSE	FALSE	FALSE
ENST00000005558	FALSE	FALSE	FALSE
ENST00000006053	FALSE	FALSE	FALSE
ENST00000006275	FALSE	FALSE	FALSE
ENST00000006658	FALSE	FALSE	FALSE
ENST00000006777	TRUE	FALSE	FALSE
ENST00000007264	FALSE	FALSE	FALSE
ENST00000007390	FALSE	FALSE	FALSE
ENST00000007414	FALSE	FALSE	FALSE
ENST00000007510	FALSE	FALSE	FALSE
ENST00000007516	FALSE	FALSE	FALSE
ENST00000007699	FALSE	TRUE	FALSE
ENST00000007969	TRUE	FALSE	FALSE
ENST00000008391	FALSE	FALSE	FALSE
ENST00000008527	FALSE	FALSE	FALSE
ENST00000008876	TRUE	FALSE	FALSE
ENST00000009041	FALSE	FALSE	FALSE
ENST00000009180	FALSE	FALSE	FALSE
ENST00000009530	FALSE	FALSE	FALSE
ENST00000009589	FALSE	FALSE	FALSE
ENST00000010132	FALSE	FALSE	FALSE
ENST00000011473	FALSE	FALSE	FALSE
ENST00000011619	FALSE	FALSE	FALSE
ENST00000011653	FALSE	FALSE	FALSE
ENST00000011691	FALSE	TRUE	FALSE
ENST00000011898	TRUE	FALSE	FALSE
ENST00000012049	FALSE	FALSE	FALSE
ENST00000012134	FALSE	TRUE	TRUE
ENST00000012443	FALSE	TRUE	FALSE
ENST00000013070	FALSE	FALSE	FALSE
ENST00000013125	FALSE	FALSE	FALSE
