"transcript_id","biotype","gene_id","gene_name"
"ENST00000292125","protein_coding","ENSG00000170848","PSG6"
"ENST00000292427","protein_coding","ENSG00000160882","CYP11B1"
"ENST00000292609","protein_coding","ENSG00000161031","PGLYRP2"
"ENST00000292901","protein_coding","ENSG00000223609","HBD"
"ENST00000293371","protein_coding","ENSG00000161634","DCD"
"ENST00000293396","protein_coding","ENSG00000161649","CD300LG"
"ENST00000293683","protein_coding","ENSG00000065989","PDE4A"
"ENST00000293745","protein_coding","ENSG00000170486","KRT72"
"ENST00000293845","protein_coding","ENSG00000161973","CCDC42"
"ENST00000293922","protein_coding","ENSG00000251692","PTX4"
"ENST00000294337","protein_coding","ENSG00000162365","CYP4A22"
"ENST00000294339","protein_coding","ENSG00000162367","TAL1"
"ENST00000294848","protein_coding","ENSG00000162782","TDRD5"
"ENST00000294854","protein_coding","ENSG00000121446","RGSL1"
"ENST00000294984","protein_coding","ENSG00000162892","IL24"
"ENST00000295266","protein_coding","ENSG00000163114","PDHA2"
"ENST00000295622","protein_coding","ENSG00000163424","TEX55"
"ENST00000295868","protein_coding","ENSG00000206530","CFAP44"
"ENST00000295952","protein_coding","ENSG00000163681","SLMAP"
"ENST00000296046","protein_coding","ENSG00000163751","CPA3"
"ENST00000296097","protein_coding","ENSG00000163793","DNAJC5G"
"ENST00000296414","protein_coding","ENSG00000070190","DAPP1"
"ENST00000296776","protein_coding","ENSG00000164325","TMEM174"
"ENST00000296870","protein_coding","ENSG00000164399","IL3"
"ENST00000296871","protein_coding","ENSG00000164400","CSF2"
"ENST00000296980","protein_coding","ENSG00000164485","IL22RA2"
"ENST00000297325","protein_coding","ENSG00000164744","SUN3"
"ENST00000297436","protein_coding","ENSG00000164822","DEFA6"
"ENST00000297524","protein_coding","ENSG00000164893","SLC7A13"
"ENST00000297578","protein_coding","ENSG00000164933","SLC25A32"
"ENST00000297784","protein_coding","ENSG00000165091","TMC1"
"ENST00000298231","protein_coding","ENSG00000165462","PHOX2A"
"ENST00000298466","protein_coding","ENSG00000165643","SOHLH1"
"ENST00000298841","protein_coding","ENSG00000100665","SERPINA4"
"ENST00000299752","protein_coding","ENSG00000166589","CDH16"
"ENST00000300182","protein_coding","ENSG00000166926","MS4A6E"
"ENST00000300187","protein_coding","ENSG00000166928","MS4A14"
