"gene_id","n_LRonly_isoforms","gene_name"
"ENSG00000181995",5,"LINC00301"
"ENSG00000183117",5,"CSMD1"
"ENSG00000185359",5,"HGS"
"ENSG00000187908",5,"DMBT1"
"ENSG00000188321",5,"ZNF559"
"ENSG00000188992",5,"LIPI"
"ENSG00000196810",5,"CTBP1-DT"
"ENSG00000197283",5,"SYNGAP1"
"ENSG00000204296",5,"TSBP1"
"ENSG00000204580",5,"DDR1"
"ENSG00000204677",5,"FAM153CP"
"ENSG00000205336",5,"ADGRG1"
"ENSG00000205809",5,"KLRC2"
"ENSG00000214043",5,"LINC02347"
"ENSG00000223631",5,"LINC01120"
"ENSG00000224924",5,"LINC00320"
"ENSG00000225096",5,"ENSG00000225096"
"ENSG00000225427",5,"LINC00331"
"ENSG00000226051",5,"ZNF503-AS1"
"ENSG00000226808",5,"LINC00840"
"ENSG00000227101",5,"ENSG00000227101"
"ENSG00000228290",5,"TBX18-AS1"
"ENSG00000229956",5,"ZRANB2-DT"
"ENSG00000230387",5,"ENSG00000230387"
"ENSG00000230533",5,"LINC03004"
"ENSG00000230768",5,"LINC01676"
"ENSG00000231074",5,"HCG18"
"ENSG00000231607",5,"DLEU2"
"ENSG00000231898",5,"MYO3B-AS1"
"ENSG00000232354",5,"VIPR1-AS1"
"ENSG00000232537",5,"ENSG00000232537"
"ENSG00000233183",5,"ENSG00000233183"
"ENSG00000233208",5,"LINC00642"
"ENSG00000234170",5,"LINC02645"
"ENSG00000234323",5,"LINC01505"
"ENSG00000235050",5,"MLIP-AS1"
"ENSG00000236790",5,"LINC00299"
"ENSG00000237480",5,"ENSG00000237480"
"ENSG00000237975",5,"FLG-AS1"
"ENSG00000239589",5,"LINC00879"
"ENSG00000241369",5,"LINC01192"
"ENSG00000241956",5,"LINC03000"
"ENSG00000242086",5,"MUC20-OT1"
"ENSG00000242512",5,"LINC01206"
"ENSG00000244227",5,"LRRC77P"
"ENSG00000248455",5,"LINC02217"
"ENSG00000249345",5,"LINC02405"
"ENSG00000249787",5,"ENSG00000249787"
"ENSG00000251372",5,"LINC00499"
"ENSG00000253434",5,"LINC02237"
"ENSG00000254775",5,"ENSG00000254775"
"ENSG00000255248",5,"MIR100HG"
"ENSG00000257127",5,"CLLU1"
"ENSG00000260565",5,"ERVK13-1"
"ENSG00000260971",5,"ENSG00000260971"
"ENSG00000261190",5,"LINC02911"
"ENSG00000266602",5,"ENSG00000266602"
"ENSG00000267337",5,"LINC01478"
"ENSG00000269504",5,"ENSG00000269504"
"ENSG00000269842",5,"ENSG00000269842"
"ENSG00000287364",5,"ENSG00000287364"
"ENSG00000027075",4,"PRKCH"
"ENSG00000034053",4,"APBA2"
"ENSG00000055957",4,"ITIH1"
"ENSG00000066032",4,"CTNNA2"
"ENSG00000066294",4,"CD84"
"ENSG00000072110",4,"ACTN1"
"ENSG00000073734",4,"ABCB11"
"ENSG00000075711",4,"DLG1"
"ENSG00000077782",4,"FGFR1"
"ENSG00000081189",4,"MEF2C"
"ENSG00000081237",4,"PTPRC"
"ENSG00000081665",4,"ZNF506"
"ENSG00000095110",4,"NXPE1"
"ENSG00000100364",4,"KIAA0930"
"ENSG00000100968",4,"NFATC4"
"ENSG00000101160",4,"CTSZ"
"ENSG00000103034",4,"NDRG4"
"ENSG00000103313",4,"MEFV"
"ENSG00000104408",4,"EIF3E"
"ENSG00000104432",4,"IL7"
"ENSG00000105227",4,"PRX"
"ENSG00000106648",4,"GALNTL5"
"ENSG00000106976",4,"DNM1"
"ENSG00000110934",4,"BIN2"
"ENSG00000112715",4,"VEGFA"
"ENSG00000115355",4,"CCDC88A"
"ENSG00000116641",4,"DOCK7"
"ENSG00000117054",4,"ACADM"
"ENSG00000122224",4,"LY9"
"ENSG00000122367",4,"LDB3"
"ENSG00000122390",4,"NAA60"
"ENSG00000123607",4,"TTC21B"
"ENSG00000123983",4,"ACSL3"
"ENSG00000125462",4,"MIR9-1HG"
"ENSG00000125730",4,"C3"
"ENSG00000125823",4,"CSTL1"
"ENSG00000135316",4,"SYNCRIP"
"ENSG00000138068",4,"SULT6B1"
"ENSG00000143452",4,"HORMAD1"
"ENSG00000145020",4,"AMT"
"ENSG00000147010",4,"SH3KBP1"
"ENSG00000147689",4,"FAM83A"
"ENSG00000147724",4,"FAM135B"
"ENSG00000148655",4,"LRMDA"
"ENSG00000149043",4,"SYT8"
"ENSG00000150275",4,"PCDH15"
"ENSG00000151067",4,"CACNA1C"
"ENSG00000151490",4,"PTPRO"
"ENSG00000153113",4,"CAST"
"ENSG00000154556",4,"SORBS2"
"ENSG00000154845",4,"PPP4R1"
"ENSG00000156650",4,"KAT6B"
"ENSG00000156738",4,"MS4A1"
"ENSG00000158445",4,"KCNB1"
"ENSG00000158887",4,"MPZ"
"ENSG00000159063",4,"ALG8"
"ENSG00000159640",4,"ACE"
"ENSG00000160255",4,"ITGB2"
"ENSG00000160710",4,"ADAR"
"ENSG00000160882",4,"CYP11B1"
"ENSG00000162782",4,"TDRD5"
"ENSG00000162897",4,"FCAMR"
"ENSG00000163746",4,"PLSCR2"
"ENSG00000164741",4,"DLC1"
"ENSG00000166770",4,"ZNF667-AS1"
"ENSG00000168280",4,"KIF5C"
"ENSG00000168405",4,"CMAHP"
"ENSG00000168589",4,"DYNLRB2"
"ENSG00000169224",4,"GCSAML"
"ENSG00000169344",4,"UMOD"
"ENSG00000169347",4,"GP2"
"ENSG00000169436",4,"COL22A1"
"ENSG00000169896",4,"ITGAM"
"ENSG00000170180",4,"GYPA"
"ENSG00000170236",4,"USP50"
"ENSG00000170848",4,"PSG6"
"ENSG00000171060",4,"C8orf74"
"ENSG00000171557",4,"FGG"
"ENSG00000171889",4,"MIR31HG"
"ENSG00000172269",4,"DPAGT1"
"ENSG00000173988",4,"LRRC63"
"ENSG00000174469",4,"CNTNAP2"
"ENSG00000175779",4,"LINC02694"
"ENSG00000175857",4,"GAPT"
"ENSG00000176083",4,"ZNF683"
"ENSG00000178971",4,"CTC1"
"ENSG00000181355",4,"OFCC1"
"ENSG00000182389",4,"CACNB4"
"ENSG00000182732",4,"RGS6"
"ENSG00000184937",4,"WT1"
"ENSG00000185811",4,"IKZF1"
"ENSG00000187555",4,"USP7"
"ENSG00000189013",4,"KIR2DL4"
"ENSG00000189023",4,"MAGEB16"
"ENSG00000196090",4,"PTPRT"
"ENSG00000196273",4,"LINC00523"
"ENSG00000196344",4,"ADH7"
"ENSG00000196628",4,"TCF4"
"ENSG00000197085",4,"NPSR1-AS1"
"ENSG00000197102",4,"DYNC1H1"
"ENSG00000197360",4,"ZNF98"
"ENSG00000197430",4,"OPALIN"
"ENSG00000197912",4,"SPG7"
"ENSG00000198561",4,"CTNND1"
"ENSG00000198677",4,"SKIC3"
"ENSG00000198821",4,"CD247"
"ENSG00000205628",4,"LINC01446"
"ENSG00000214691",4,"LINC01913"
"ENSG00000215483",4,"LINC00598"
"ENSG00000223993",4,"LINC02647"
"ENSG00000224091",4,"ENSG00000224091"
"ENSG00000224853",4,"LINC00393"
"ENSG00000225605",4,"ENSG00000225605"
"ENSG00000225683",4,"PACRG-AS3"
"ENSG00000226005",4,"LINC02660"
