"gene","n_detected_iso","n_annotated_iso","frac_detected"
"ENSG00000073536",7,7,1
"ENSG00000073578",18,19,0.947
"ENSG00000073584",42,51,0.824
"ENSG00000073598",1,1,1
"ENSG00000073605",15,15,1
"ENSG00000073614",11,11,1
"ENSG00000073670",4,5,0.8
"ENSG00000073711",5,5,1
"ENSG00000073712",13,15,0.867
"ENSG00000073734",1,6,0.167
"ENSG00000073737",5,9,0.556
"ENSG00000073756",5,6,0.833
"ENSG00000073792",8,11,0.727
"ENSG00000073803",13,15,0.867
"ENSG00000073849",21,24,0.875
"ENSG00000073861",1,2,0.5
"ENSG00000073905",1,1,1
"ENSG00000073910",13,14,0.929
"ENSG00000073921",24,24,1
"ENSG00000073969",25,26,0.962
"ENSG00000074047",10,12,0.833
"ENSG00000074054",17,17,1
"ENSG00000074071",3,3,1
"ENSG00000074181",6,6,1
"ENSG00000074201",12,12,1
"ENSG00000074211",5,9,0.556
"ENSG00000074219",10,10,1
"ENSG00000074266",14,14,1
"ENSG00000074276",6,7,0.857
"ENSG00000074317",6,6,1
"ENSG00000074319",12,12,1
"ENSG00000074356",7,7,1
"ENSG00000074370",10,15,0.667
"ENSG00000074410",6,6,1
"ENSG00000074416",12,13,0.923
"ENSG00000074527",8,8,1
"ENSG00000074582",21,21,1
"ENSG00000074590",3,4,0.75
"ENSG00000074603",15,16,0.938
"ENSG00000074621",9,12,0.75
"ENSG00000074657",26,26,1
"ENSG00000074660",7,8,0.875
"ENSG00000074695",5,5,1
"ENSG00000074696",12,12,1
"ENSG00000074706",6,13,0.462
"ENSG00000074755",11,11,1
"ENSG00000074771",1,1,1
"ENSG00000074800",16,16,1
"ENSG00000074803",10,14,0.714
"ENSG00000074842",4,4,1
"ENSG00000074855",3,4,0.75
"ENSG00000074935",11,11,1
"ENSG00000074964",9,9,1
"ENSG00000074966",6,6,1
"ENSG00000075035",13,13,1
"ENSG00000075043",17,48,0.354
"ENSG00000075073",2,2,1
"ENSG00000075089",12,13,0.923
"ENSG00000075131",6,6,1
"ENSG00000075142",9,10,0.9
"ENSG00000075151",20,23,0.87
"ENSG00000075188",9,9,1
"ENSG00000075213",7,7,1
"ENSG00000075218",4,4,1
"ENSG00000075223",9,9,1
"ENSG00000075234",6,7,0.857
"ENSG00000075239",22,22,1
"ENSG00000075240",7,7,1
"ENSG00000075275",13,13,1
"ENSG00000075290",1,1,1
"ENSG00000075292",25,27,0.926
"ENSG00000075303",8,8,1
"ENSG00000075336",6,6,1
"ENSG00000075340",13,14,0.929
"ENSG00000075388",1,2,0.5
"ENSG00000075391",8,8,1
"ENSG00000075399",6,7,0.857
"ENSG00000075407",7,7,1
"ENSG00000075413",61,80,0.762
"ENSG00000075415",16,16,1
"ENSG00000075420",11,12,0.917
"ENSG00000075426",3,4,0.75
"ENSG00000075429",3,3,1
"ENSG00000075461",1,1,1
"ENSG00000075539",20,21,0.952
"ENSG00000075568",9,9,1
"ENSG00000075618",5,5,1
"ENSG00000075624",22,23,0.957
"ENSG00000075643",2,2,1
"ENSG00000075651",16,16,1
"ENSG00000075673",2,2,1
"ENSG00000075702",40,40,1
"ENSG00000075711",62,71,0.873
"ENSG00000075785",18,18,1
"ENSG00000075790",16,16,1
"ENSG00000075826",12,13,0.923
"ENSG00000075856",17,17,1
"ENSG00000075884",5,13,0.385
"ENSG00000075886",2,2,1
"ENSG00000075891",11,12,0.917
"ENSG00000075914",10,11,0.909
"ENSG00000075945",6,6,1
"ENSG00000075975",13,14,0.929
"ENSG00000076003",3,3,1
"ENSG00000076043",18,19,0.947
"ENSG00000076053",8,8,1
"ENSG00000076067",8,8,1
"ENSG00000076108",17,17,1
"ENSG00000076201",9,9,1
"ENSG00000076242",37,38,0.974
"ENSG00000076248",13,14,0.929
"ENSG00000076258",5,5,1
"ENSG00000076321",5,5,1
"ENSG00000076344",8,8,1
"ENSG00000076351",8,9,0.889
"ENSG00000076356",6,6,1
"ENSG00000076382",16,16,1
"ENSG00000076513",9,10,0.9
"ENSG00000076554",25,29,0.862
"ENSG00000076555",15,15,1
"ENSG00000076604",16,16,1
"ENSG00000076641",4,4,1
"ENSG00000076650",4,4,1
"ENSG00000076662",13,13,1
"ENSG00000076685",25,27,0.926
"ENSG00000076706",14,17,0.824
"ENSG00000076716",1,1,1
"ENSG00000076770",13,14,0.929
"ENSG00000076826",4,4,1
"ENSG00000076864",11,12,0.917
"ENSG00000076924",3,4,0.75
"ENSG00000076928",25,27,0.926
"ENSG00000076944",22,23,0.957
"ENSG00000076984",6,8,0.75
"ENSG00000077009",5,5,1
"ENSG00000077044",13,14,0.929
"ENSG00000077063",11,12,0.917
"ENSG00000077080",5,6,0.833
"ENSG00000077092",20,23,0.87
"ENSG00000077097",26,26,1
"ENSG00000077147",7,7,1
"ENSG00000077150",18,20,0.9
"ENSG00000077152",11,12,0.917
"ENSG00000077157",18,19,0.947
"ENSG00000077232",22,23,0.957
"ENSG00000077235",13,13,1
"ENSG00000077238",17,19,0.895
"ENSG00000077254",17,18,0.944
"ENSG00000077264",8,11,0.727
"ENSG00000077274",1,1,1
"ENSG00000077279",13,13,1
"ENSG00000077312",11,11,1
"ENSG00000077327",9,9,1
"ENSG00000077348",6,6,1
"ENSG00000077380",24,25,0.96
"ENSG00000077420",2,3,0.667
"ENSG00000077454",10,10,1
"ENSG00000077458",13,13,1
"ENSG00000077463",15,15,1
"ENSG00000077498",3,3,1
"ENSG00000077514",9,10,0.9
"ENSG00000077522",22,25,0.88
"ENSG00000077549",15,15,1
"ENSG00000077585",5,5,1
"ENSG00000077616",10,10,1
"ENSG00000077684",12,14,0.857
"ENSG00000077713",4,4,1
"ENSG00000077721",14,14,1
"ENSG00000077782",51,58,0.879
"ENSG00000077800",6,8,0.75
"ENSG00000077935",2,2,1
"ENSG00000077942",17,18,0.944
"ENSG00000077943",3,3,1
"ENSG00000077984",1,1,1
"ENSG00000078018",19,19,1
"ENSG00000078043",16,16,1
"ENSG00000078053",9,9,1
"ENSG00000078061",5,5,1
"ENSG00000078070",13,14,0.929
"ENSG00000078081",4,5,0.8
"ENSG00000078098",13,13,1
"ENSG00000078114",21,24,0.875
"ENSG00000078124",32,35,0.914
"ENSG00000078140",7,7,1
"ENSG00000078142",15,16,0.938
"ENSG00000078177",5,5,1
