"gene_id","n_LRonly_isoforms","gene_name"
"ENSG00000044115",1,"CTNNA1"
"ENSG00000047579",1,"DTNBP1"
"ENSG00000048052",1,"HDAC9"
"ENSG00000048740",1,"CELF2"
"ENSG00000049283",1,"EPN3"
"ENSG00000049540",1,"ELN"
"ENSG00000049618",1,"ARID1B"
"ENSG00000049768",1,"FOXP3"
"ENSG00000050438",1,"SLC4A8"
"ENSG00000050748",1,"MAPK9"
"ENSG00000051128",1,"HOMER3"
"ENSG00000051382",1,"PIK3CB"
"ENSG00000051523",1,"CYBA"
"ENSG00000053747",1,"LAMA3"
"ENSG00000054356",1,"PTPRN"
"ENSG00000054938",1,"CHRDL2"
"ENSG00000054967",1,"RELT"
"ENSG00000055118",1,"KCNH2"
"ENSG00000055208",1,"TAB2"
"ENSG00000055609",1,"KMT2C"
"ENSG00000055957",1,"ITIH1"
"ENSG00000056487",1,"PHF21B"
"ENSG00000057593",1,"F7"
"ENSG00000058056",1,"USP13"
"ENSG00000058091",1,"CDK14"
"ENSG00000059145",1,"UNKL"
"ENSG00000060140",1,"STYK1"
"ENSG00000060642",1,"PIGV"
"ENSG00000062096",1,"ARSF"
"ENSG00000063438",1,"AHRR"
"ENSG00000063587",1,"ZNF275"
"ENSG00000064042",1,"LIMCH1"
"ENSG00000064225",1,"ST3GAL6"
"ENSG00000064651",1,"SLC12A2"
"ENSG00000064787",1,"BCAS1"
"ENSG00000064835",1,"POU1F1"
"ENSG00000064933",1,"PMS1"
"ENSG00000065268",1,"WDR18"
"ENSG00000065534",1,"MYLK"
"ENSG00000065618",1,"COL17A1"
"ENSG00000065717",1,"TLE2"
"ENSG00000065911",1,"MTHFD2"
"ENSG00000065989",1,"PDE4A"
"ENSG00000066032",1,"CTNNA2"
"ENSG00000066136",1,"NFYC"
"ENSG00000066248",1,"NGEF"
"ENSG00000066294",1,"CD84"
"ENSG00000066629",1,"EML1"
"ENSG00000067066",1,"SP100"
"ENSG00000067182",1,"TNFRSF1A"
"ENSG00000067208",1,"EVI5"
"ENSG00000067221",1,"STOML1"
"ENSG00000067445",1,"TRO"
"ENSG00000067646",1,"ZFY"
"ENSG00000068028",1,"RASSF1"
"ENSG00000068912",1,"ERLEC1"
"ENSG00000068971",1,"PPP2R5B"
"ENSG00000068985",1,"PAGE1"
"ENSG00000069018",1,"TRPC7"
"ENSG00000069431",1,"ABCC9"
