gene	H2	non_ase	H1
ENSG00000255152	no	yes	no
ENSG00000117602	no	yes	no
ENSG00000182263	no	yes	no
ENSG00000121207	no	yes	no
ENSG00000137168	no	yes	no
ENSG00000132164	no	yes	no
ENSG00000136450	no	yes	no
ENSG00000073670	no	yes	no
ENSG00000081248	no	yes	no
ENSG00000130813	no	yes	no
ENSG00000154175	no	yes	no
ENSG00000170027	no	yes	no
ENSG00000204950	no	yes	no
ENSG00000080608	no	yes	no
ENSG00000114251	no	yes	no
ENSG00000176244	no	yes	no
ENSG00000189057	no	yes	no
ENSG00000112742	no	yes	no
ENSG00000100053	yes	yes	yes
ENSG00000103316	no	yes	no
ENSG00000135919	no	yes	no
ENSG00000148602	no	yes	yes
ENSG00000168502	yes	yes	yes
ENSG00000177301	no	yes	no
ENSG00000187033	no	yes	no
ENSG00000197959	no	yes	no
ENSG00000205683	no	yes	yes
ENSG00000274391	no	yes	no
ENSG00000131771	no	yes	no
ENSG00000136960	no	yes	no
ENSG00000166793	no	yes	no
ENSG00000144381	no	yes	no
ENSG00000156508	no	yes	no
ENSG00000163406	no	yes	no
ENSG00000168078	no	yes	no
ENSG00000157680	no	yes	no
ENSG00000179088	no	yes	no
ENSG00000090097	no	yes	no
ENSG00000103942	no	yes	no
ENSG00000117592	no	yes	no
ENSG00000132780	no	yes	no
ENSG00000196090	no	yes	no
ENSG00000213977	no	yes	no
ENSG00000185527	yes	yes	yes
ENSG00000182256	no	yes	no
ENSG00000123737	no	yes	no
ENSG00000125871	no	yes	no
ENSG00000049130	yes	yes	yes
ENSG00000033122	no	yes	no
ENSG00000196569	no	yes	no
ENSG00000237289	no	yes	no
ENSG00000135090	no	yes	no
ENSG00000153044	no	yes	no
ENSG00000147140	no	yes	no
ENSG00000204291	no	yes	no
ENSG00000152527	no	yes	no
ENSG00000142945	no	yes	no
ENSG00000160460	no	yes	no
ENSG00000274641	no	yes	no
ENSG00000077312	no	yes	no
ENSG00000177453	no	yes	no
ENSG00000177674	no	yes	no
ENSG00000125743	no	yes	no
ENSG00000184445	no	yes	no
ENSG00000053371	no	yes	no
ENSG00000056050	no	yes	no
ENSG00000111716	no	yes	no
ENSG00000138778	no	yes	yes
ENSG00000169679	no	yes	no
ENSG00000176771	no	yes	no
ENSG00000111674	no	yes	no
ENSG00000071991	no	yes	no
ENSG00000054356	no	yes	no
ENSG00000101198	yes	yes	yes
ENSG00000129951	no	yes	no
ENSG00000130822	no	yes	no
ENSG00000276043	no	yes	no
ENSG00000213694	yes	yes	yes
ENSG00000165480	no	yes	no
ENSG00000196866	no	yes	no
ENSG00000139144	no	yes	no
ENSG00000161960	no	yes	no
ENSG00000166387	no	yes	no
ENSG00000149090	no	yes	no
ENSG00000168453	no	yes	yes
ENSG00000118242	no	yes	no
ENSG00000169933	no	yes	no
ENSG00000133321	no	yes	no
ENSG00000123416	no	yes	no
ENSG00000111229	no	yes	no
ENSG00000117525	no	yes	no
ENSG00000094804	no	yes	no
ENSG00000106483	no	yes	no
ENSG00000140873	no	yes	no
ENSG00000173175	no	yes	yes
ENSG00000179270	yes	yes	yes
ENSG00000180592	no	yes	no
ENSG00000183317	no	yes	yes
ENSG00000278570	no	yes	no
ENSG00000104419	no	yes	no
ENSG00000117650	yes	yes	yes
ENSG00000118503	no	yes	no
ENSG00000168672	no	yes	no
ENSG00000197153	no	yes	no
ENSG00000213123	no	yes	no
ENSG00000128944	yes	yes	no
ENSG00000076864	no	yes	no
ENSG00000089041	no	yes	no
ENSG00000271723	no	yes	no
ENSG00000261873	no	yes	no
ENSG00000175334	no	yes	no
ENSG00000169554	no	yes	no
ENSG00000196277	no	yes	no
ENSG00000140563	no	yes	no
ENSG00000154262	no	yes	no
ENSG00000168496	no	yes	no
ENSG00000177679	no	yes	no
ENSG00000182512	no	yes	no
ENSG00000117318	no	yes	no
ENSG00000149100	no	yes	no
ENSG00000154734	no	yes	no
ENSG00000154856	no	yes	no
ENSG00000163914	yes	yes	yes
ENSG00000041357	no	yes	no
ENSG00000167088	no	yes	no
ENSG00000198830	no	yes	no
ENSG00000076382	no	yes	no
ENSG00000099901	no	yes	no
ENSG00000113594	no	yes	no
ENSG00000145423	no	yes	no
ENSG00000149926	no	yes	no
ENSG00000154473	no	yes	no
ENSG00000163754	no	yes	no
ENSG00000167210	no	yes	no
ENSG00000197442	no	yes	no
ENSG00000118513	no	yes	no
ENSG00000116133	no	yes	no
ENSG00000134343	yes	yes	no
ENSG00000182010	yes	yes	yes
ENSG00000161381	yes	yes	yes
ENSG00000128951	no	yes	no
ENSG00000196975	no	yes	no
ENSG00000111206	no	yes	no
ENSG00000144802	yes	yes	yes
ENSG00000243449	no	yes	no
ENSG00000113645	no	yes	no
ENSG00000274997	no	yes	no
ENSG00000114346	no	yes	no
ENSG00000153233	no	yes	no
ENSG00000177807	no	yes	no
ENSG00000182534	no	yes	no
ENSG00000116670	no	yes	no
ENSG00000141198	no	yes	no
ENSG00000148053	no	yes	yes
ENSG00000169231	no	yes	no
ENSG00000180596	no	yes	no
ENSG00000157456	no	yes	no
ENSG00000107159	no	yes	no
ENSG00000211448	no	yes	no
ENSG00000198794	no	yes	no
ENSG00000128052	no	yes	no
ENSG00000163328	yes	yes	no
ENSG00000156076	no	yes	no
ENSG00000113810	no	yes	no
ENSG00000104147	no	yes	no
ENSG00000161542	no	yes	no
ENSG00000111665	no	yes	no
ENSG00000165078	no	yes	no
ENSG00000171320	no	yes	yes
ENSG00000119969	no	yes	no
ENSG00000104361	no	yes	no
ENSG00000019991	no	yes	no
ENSG00000101265	no	yes	no
ENSG00000110958	no	yes	no
ENSG00000135899	no	yes	no
ENSG00000139151	no	yes	no
ENSG00000140488	no	yes	no
ENSG00000163746	no	yes	no
ENSG00000198554	yes	yes	no
ENSG00000076248	no	yes	no
ENSG00000109674	no	yes	no
ENSG00000026652	no	yes	no
ENSG00000140534	no	yes	no
ENSG00000196358	no	yes	no
ENSG00000258947	yes	yes	yes
ENSG00000150510	no	yes	no
ENSG00000163535	no	yes	no
ENSG00000163710	yes	yes	yes
ENSG00000182054	no	yes	no
ENSG00000184661	no	yes	no
ENSG00000108107	no	yes	no
ENSG00000156959	no	yes	no
ENSG00000107954	no	yes	no
ENSG00000133256	no	yes	no
ENSG00000184305	no	yes	no
ENSG00000105968	no	yes	no
ENSG00000145819	no	yes	no
ENSG00000120533	no	yes	no
ENSG00000090932	yes	yes	yes
ENSG00000119715	no	yes	no
