gene	non_ase	H1	H2
ENSG00000187134	yes	no	no
ENSG00000146242	yes	no	no
ENSG00000197702	yes	yes	yes
ENSG00000100060	yes	no	no
ENSG00000164142	yes	no	no
ENSG00000132639	yes	yes	yes
ENSG00000130226	yes	yes	yes
ENSG00000104967	yes	yes	yes
ENSG00000075340	yes	no	no
ENSG00000008300	yes	no	no
ENSG00000171951	yes	no	no
ENSG00000204410	yes	no	no
ENSG00000164742	yes	no	no
ENSG00000170312	yes	no	no
ENSG00000140323	yes	yes	yes
ENSG00000164076	yes	no	no
ENSG00000177519	yes	no	no
ENSG00000284874	yes	no	no
ENSG00000172348	yes	no	no
ENSG00000135439	yes	no	no
ENSG00000135272	yes	no	yes
ENSG00000171786	yes	no	no
ENSG00000188486	yes	no	no
ENSG00000131724	yes	no	no
ENSG00000260903	yes	no	no
ENSG00000108176	yes	no	no
ENSG00000090889	yes	no	no
ENSG00000153721	yes	no	no
ENSG00000111962	yes	yes	no
ENSG00000100095	yes	no	no
ENSG00000054356	yes	no	no
ENSG00000138771	yes	yes	yes
ENSG00000174799	yes	no	no
ENSG00000123473	yes	yes	no
ENSG00000156970	yes	no	no
ENSG00000160097	yes	no	no
ENSG00000068489	yes	yes	yes
ENSG00000148798	yes	no	no
ENSG00000126787	yes	yes	yes
ENSG00000105499	yes	no	no
ENSG00000266028	yes	no	no
ENSG00000176014	yes	no	no
ENSG00000102158	yes	no	no
ENSG00000164104	yes	no	no
ENSG00000134247	yes	no	no
ENSG00000139767	yes	yes	yes
ENSG00000083857	yes	yes	yes
ENSG00000177425	yes	no	no
ENSG00000163346	yes	yes	yes
ENSG00000136770	yes	no	no
ENSG00000018236	yes	no	no
ENSG00000184545	yes	no	no
ENSG00000155363	yes	no	no
ENSG00000170209	yes	no	no
ENSG00000182916	yes	no	no
ENSG00000112280	yes	yes	yes
ENSG00000105251	yes	no	no
ENSG00000186007	yes	no	no
ENSG00000113319	yes	yes	no
ENSG00000101144	yes	no	no
ENSG00000073910	yes	yes	no
ENSG00000080986	yes	no	no
ENSG00000163646	yes	yes	yes
ENSG00000146670	yes	yes	yes
ENSG00000091436	yes	no	yes
ENSG00000173598	yes	no	no
ENSG00000136854	yes	no	no
ENSG00000171791	yes	yes	no
ENSG00000070808	yes	no	no
ENSG00000134569	yes	no	no
ENSG00000071967	yes	yes	yes
ENSG00000171224	yes	no	no
ENSG00000138039	yes	no	no
ENSG00000154096	yes	no	no
ENSG00000142227	yes	no	no
ENSG00000125744	yes	yes	yes
ENSG00000074317	yes	no	no
ENSG00000196431	yes	no	no
ENSG00000163347	yes	yes	yes
ENSG00000116117	yes	no	yes
ENSG00000164451	yes	yes	yes
ENSG00000165169	yes	no	no
ENSG00000137203	yes	yes	no
ENSG00000167123	yes	yes	yes
ENSG00000134363	yes	no	no
ENSG00000134107	yes	no	no
ENSG00000057019	yes	yes	yes
ENSG00000106089	yes	no	no
ENSG00000168542	yes	no	no
ENSG00000144857	yes	yes	yes
ENSG00000134115	yes	no	no
ENSG00000198756	yes	no	no
ENSG00000099250	yes	no	no
ENSG00000152253	yes	no	no
ENSG00000138778	yes	yes	yes
ENSG00000197712	yes	no	no
ENSG00000008735	yes	no	no
ENSG00000128564	yes	no	no
ENSG00000148677	yes	no	no
ENSG00000087495	yes	no	no
ENSG00000167306	yes	no	no
ENSG00000101098	yes	no	no
ENSG00000116147	yes	no	no
ENSG00000167670	yes	no	no
ENSG00000152910	yes	no	yes
ENSG00000165458	yes	yes	yes
ENSG00000219438	yes	no	no
ENSG00000178202	yes	no	no
ENSG00000116852	yes	yes	yes
