gene	non_ase	H1	H2
ENSG00000137285	yes	no	no
ENSG00000092020	yes	no	no
ENSG00000115255	yes	no	no
ENSG00000036672	yes	no	no
ENSG00000105894	yes	no	no
ENSG00000286522	yes	no	no
ENSG00000163646	yes	no	no
ENSG00000081248	yes	no	no
ENSG00000164398	yes	no	no
ENSG00000260802	yes	no	no
ENSG00000125534	yes	no	no
ENSG00000133101	yes	no	no
ENSG00000203727	yes	no	no
ENSG00000213977	yes	no	no
ENSG00000164645	yes	no	no
ENSG00000135773	yes	no	no
ENSG00000113739	yes	no	no
ENSG00000177853	yes	no	no
ENSG00000107099	yes	no	no
ENSG00000138207	yes	no	no
ENSG00000183117	yes	no	no
ENSG00000178078	yes	no	no
ENSG00000197921	yes	no	no
ENSG00000198838	yes	no	no
ENSG00000155886	yes	no	no
ENSG00000112041	yes	no	no
ENSG00000271723	yes	no	no
ENSG00000082146	yes	no	no
ENSG00000100583	yes	no	no
ENSG00000101198	yes	no	no
ENSG00000105954	yes	no	no
ENSG00000114999	yes	no	no
ENSG00000115414	yes	no	no
ENSG00000123975	yes	no	no
ENSG00000128512	yes	no	no
ENSG00000142669	yes	no	no
ENSG00000151917	yes	no	no
ENSG00000154258	yes	no	no
ENSG00000162407	yes	no	no
ENSG00000172809	yes	no	no
ENSG00000187164	yes	no	no
ENSG00000205111	yes	no	no
ENSG00000290147	yes	no	no
ENSG00000144847	yes	no	no
ENSG00000095015	yes	no	no
ENSG00000196277	yes	no	no
ENSG00000167100	yes	no	no
ENSG00000170264	yes	no	no
ENSG00000171786	yes	no	no
ENSG00000179915	yes	no	no
ENSG00000122884	yes	no	no
ENSG00000187109	yes	no	no
ENSG00000262655	yes	no	no
ENSG00000150275	yes	no	no
ENSG00000186951	yes	no	no
ENSG00000137463	yes	no	no
ENSG00000105438	yes	no	no
ENSG00000108830	yes	no	no
ENSG00000115548	yes	no	no
ENSG00000196569	yes	no	no
ENSG00000128016	yes	no	no
ENSG00000155530	yes	no	no
ENSG00000010292	yes	no	no
ENSG00000108828	yes	no	no
ENSG00000137563	yes	no	no
ENSG00000160460	yes	no	no
ENSG00000141562	yes	no	no
ENSG00000099617	yes	no	no
ENSG00000120068	yes	no	no
ENSG00000136928	yes	no	no
ENSG00000137727	yes	no	no
ENSG00000151892	yes	yes	no
ENSG00000183049	yes	no	no
ENSG00000076554	yes	no	no
ENSG00000079150	yes	no	no
ENSG00000105193	yes	no	no
ENSG00000115423	yes	no	no
ENSG00000135406	yes	no	no
ENSG00000139151	yes	no	no
ENSG00000144730	yes	no	no
ENSG00000156976	yes	no	no
ENSG00000178104	yes	no	no
ENSG00000277075	yes	no	no
ENSG00000163909	yes	no	no
ENSG00000075391	yes	no	no
ENSG00000113805	yes	no	no
ENSG00000138161	yes	no	no
ENSG00000113083	yes	no	no
ENSG00000099139	yes	no	no
ENSG00000112319	yes	no	no
ENSG00000168807	yes	no	no
ENSG00000144331	yes	no	no
ENSG00000110042	yes	no	no
ENSG00000148600	yes	no	no
ENSG00000150510	yes	no	no
ENSG00000152556	yes	no	no
ENSG00000059915	yes	no	no
ENSG00000164611	yes	no	no
ENSG00000187187	yes	no	no
ENSG00000243725	yes	no	no
ENSG00000116017	yes	no	no
ENSG00000132872	yes	no	no
ENSG00000138463	yes	no	no
ENSG00000172456	yes	no	no
ENSG00000196866	yes	no	no
ENSG00000004468	yes	no	no
ENSG00000122877	yes	no	no
ENSG00000146938	yes	no	no
ENSG00000183077	yes	no	no
ENSG00000123358	yes	no	no
ENSG00000156508	yes	no	no
ENSG00000051382	yes	no	no
ENSG00000118513	yes	no	no
ENSG00000122406	yes	no	no
ENSG00000132164	yes	no	no
ENSG00000133874	yes	no	no
ENSG00000152061	yes	no	no
ENSG00000136518	yes	no	no
ENSG00000138336	yes	no	no
ENSG00000168502	yes	no	no
ENSG00000198963	yes	no	no
ENSG00000137965	yes	no	no
ENSG00000126106	yes	no	no
ENSG00000074211	yes	no	no
ENSG00000083845	yes	no	no
ENSG00000106483	yes	no	no
ENSG00000112599	yes	no	no
ENSG00000078549	yes	no	no
ENSG00000114200	yes	no	no
ENSG00000198570	yes	no	no
ENSG00000110025	yes	no	no
ENSG00000145808	yes	no	no
ENSG00000172350	yes	no	no
ENSG00000133794	yes	no	no
ENSG00000166582	yes	no	no
ENSG00000081985	yes	no	no
ENSG00000129951	yes	no	no
ENSG00000063177	yes	no	no
ENSG00000034510	yes	no	no
ENSG00000100167	yes	no	no
ENSG00000101977	yes	no	no
ENSG00000105559	yes	no	no
ENSG00000180616	yes	no	no
ENSG00000182732	yes	no	no
ENSG00000156171	yes	no	no
ENSG00000105370	yes	no	no
ENSG00000108370	yes	no	no
ENSG00000129221	yes	no	no
ENSG00000137804	yes	no	no
ENSG00000137942	yes	no	no
ENSG00000182197	yes	no	no
ENSG00000188517	yes	no	no
ENSG00000140386	yes	no	no
ENSG00000132932	yes	no	no
ENSG00000170832	yes	no	no
ENSG00000198626	yes	no	no
ENSG00000274641	yes	no	no
ENSG00000105202	yes	no	no
ENSG00000221983	yes	no	no
ENSG00000100129	yes	no	no
ENSG00000165899	yes	no	no
ENSG00000079739	yes	no	no
ENSG00000112186	yes	no	no
ENSG00000115252	yes	no	no
ENSG00000119185	yes	no	no
ENSG00000154265	yes	no	no
ENSG00000169752	yes	no	no
ENSG00000185668	yes	no	no
ENSG00000123104	yes	no	no
ENSG00000135605	yes	no	no
ENSG00000125691	yes	no	no
ENSG00000132681	yes	no	no
ENSG00000161960	yes	no	no
ENSG00000179403	yes	no	no
ENSG00000114268	yes	no	no
ENSG00000127928	yes	yes	no
ENSG00000167693	yes	no	no
ENSG00000135390	yes	no	no
ENSG00000137857	yes	no	no
ENSG00000196154	yes	no	no
ENSG00000100122	yes	no	no
ENSG00000112562	yes	no	no
ENSG00000130741	yes	no	no
ENSG00000152076	yes	no	no
ENSG00000153930	yes	no	no
ENSG00000173914	yes	no	no
ENSG00000177679	yes	no	no
ENSG00000196453	yes	no	no
ENSG00000005882	yes	no	no
ENSG00000163710	yes	no	no
ENSG00000071082	yes	no	no
ENSG00000204740	yes	no	no
ENSG00000244752	yes	no	no
ENSG00000185049	yes	no	no
ENSG00000163406	yes	no	no
ENSG00000204950	yes	no	no
ENSG00000000460	yes	no	no
ENSG00000115556	yes	no	no
ENSG00000140937	yes	no	no
ENSG00000140044	yes	no	no
ENSG00000198794	yes	no	no
ENSG00000087266	yes	no	no
ENSG00000106078	yes	no	no
ENSG00000116679	yes	no	no
ENSG00000127472	yes	no	no
ENSG00000144868	yes	no	no
ENSG00000159399	yes	no	no
ENSG00000162599	yes	no	no
ENSG00000171992	yes	no	no
ENSG00000174099	yes	no	no
ENSG00000196090	yes	no	no
ENSG00000196431	yes	no	no
ENSG00000147613	yes	no	no
ENSG00000188243	yes	no	no
ENSG00000116741	yes	no	no
ENSG00000137166	yes	no	no
ENSG00000211448	yes	no	no
ENSG00000172687	yes	no	no
ENSG00000186472	yes	no	no
ENSG00000166925	yes	no	no
ENSG00000114648	yes	no	no
ENSG00000116525	yes	no	no
ENSG00000146276	yes	no	no
ENSG00000163251	yes	no	no
ENSG00000183066	yes	no	no
ENSG00000213398	yes	no	no
ENSG00000115290	yes	no	no
ENSG00000147432	yes	no	no
ENSG00000118402	yes	no	no
ENSG00000140743	yes	no	no
ENSG00000144857	yes	no	no
ENSG00000175928	yes	no	no
ENSG00000176406	yes	no	no
ENSG00000185909	yes	no	no
ENSG00000189057	yes	no	no
ENSG00000092964	yes	no	no
ENSG00000116830	yes	no	no
ENSG00000118579	yes	no	no
ENSG00000147408	yes	no	no
ENSG00000171150	yes	no	no
ENSG00000179088	yes	no	no
ENSG00000124721	yes	no	no
ENSG00000139144	yes	no	no
ENSG00000092200	yes	no	no
ENSG00000133321	yes	no	no
ENSG00000117650	yes	no	no
ENSG00000171450	yes	no	no
ENSG00000183943	yes	no	no
ENSG00000105220	yes	no	no
ENSG00000073050	yes	no	no
ENSG00000100060	yes	no	no
ENSG00000112799	yes	no	no
ENSG00000131469	yes	no	no
ENSG00000139266	yes	no	no
ENSG00000147614	yes	no	no
ENSG00000152583	yes	no	no
ENSG00000158373	yes	no	no
ENSG00000170604	yes	no	no
ENSG00000175643	yes	no	no
ENSG00000181458	yes	no	no
ENSG00000108255	yes	no	no
ENSG00000116670	yes	no	no
ENSG00000118242	yes	no	no
ENSG00000278570	yes	no	no
ENSG00000142156	yes	no	no
ENSG00000164104	yes	no	no
ENSG00000145721	yes	no	no
