isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000265094.9	3.63971	12.22808	21.2829	105.96506
ENST00000265109.8	261.96186	270.55336	98	301.80604
ENST00000265113.9	34.29081	12.00122	0	5.00346
ENST00000265239.11	11.97897	13.23412	12	39.16356
ENST00000265322.8	47	70.58423	7.63636	56.94915
ENST00000265333.8	26.93726	23.48866	79.67815	179.99095
ENST00000265393.10	459.65044	318.64132	164.0534	687.79259
ENST00000265437.9	26.84002	10.40483	1.73856	8.68095
ENST00000265465.8	59.3734	47.49927	5.0765	28.30918
ENST00000265594.9	95.30087	97.89972	18.87093	85.85216
ENST00000265654.6	1.13159	1.40899	1.1842	2.56631
ENST00000265800.9	1.66719	2.93229	0	0
ENST00000265857.8	83	72	17	155
ENST00000265865.3	4.25031	4.87592	0	9.26871
ENST00000266041.9	5.75	1.16571	9.7269	24.75
ENST00000266068.5	0	0	13.14745	69.60163
ENST00000266880.11	0	0	9.52595	1e-5
ENST00000267079.6	99.89146	111.05435	29.49301	83.61092
ENST00000267219.12	7.77156	0	17.05602	83.08663
ENST00000267430.10	26.22775	19.36404	0	16.86563
ENST00000267484.10	115.8109	153.90827	34.43268	145.35613
ENST00000267512.9	0	0	14.17679	19.04959
ENST00000267811.9	265.35782	218.14681	39.69623	165.28268
ENST00000267996.11	50.20146	38.82473	0	0
ENST00000268182.10	393.88226	260.91437	39.67478	257.09904
ENST00000268251.13	331.11143	390.2895	26.69186	233.45973
ENST00000268676.11	5.33631	4.10065	10.22243	17.06853
ENST00000269137.11	124.2309	111.12044	12.08536	79.35311
ENST00000269243.8	585.96378	384.93949	40.54496	105.39751
ENST00000269503.9	37.86472	26.24056	18.79118	405.63772
ENST00000269571.10	93.52626	93.20123	0	0
ENST00000269601.10	263.7302	290.52682	184.11606	765.19275
ENST00000270301.12	0	3.28977	0	0
ENST00000270443.8	40.42229	49.55261	0	49.73316
ENST00000270460.11	305.70874	243.8698	92.55039	354.42237
ENST00000271002.15	128.19958	106.13184	0	5.58523
ENST00000272771.10	258.29354	131.54167	4.80802	36.41706
ENST00000272972.7	4.73301	0	0.14286	6.16428
ENST00000274000.10	152.00579	158.2238	69.53764	215.7886
ENST00000274056.11	15.84685	8.5441	48.63377	98.89477
ENST00000274181.7	86.06897	68.49073	3.26878	11.46145
ENST00000274254.9	44.88981	47.59007	9.23197	63.4263
ENST00000274255.11	259.40334	234.31889	22.78696	107.43992
ENST00000274376.11	632.37793	183.12757	79.50665	206.69333
ENST00000275036.11	909.95131	731.29325	113.4646	522.67512
ENST00000275159.11	165.13809	78.24081	48.93112	148.57562
ENST00000275517.8	123	137.94269	1.26583	9
ENST00000275607.13	95.07484	56.414790000000004	0	1.90473
ENST00000276202.9	18	20.49995	7.67208	7.09784
ENST00000276204.10	0	4.15937	23.01624	113.56545
ENST00000276390.7	320.09756	405.98732	196.52893	993.20387
ENST00000277082.9	6.44551	2e-5	0	25.82626
ENST00000277120.8	0	0	1.75308	10.40497
ENST00000277632.8	74.27391	84.77778	49.19247	212.01063
ENST00000277817.10	16.45791	10.92631	31.86414	32.42833
ENST00000277945.12	107.73564	55.11434	8.11381	19.99963
ENST00000278071.6	10.12972	19.84311	25.11777	89.18095
ENST00000278187.7	2	2.33333	0	0
ENST00000278353.10	110.20889	71.60555	65.50866	319.89931
ENST00000278886.11	281.52944	342.06689	132.09882	365.82391
ENST00000279147.9	78.53515	45.97171	7.81901	48.33769
ENST00000279873.12	197.92871	181.34146	25.54365	97.42551
ENST00000280082.4	0	3	0	2
ENST00000280083.7	36.91618	49.71985	31.49329	73.89097
ENST00000280241.12	17.59574	27.05344	167.44262	447.16842
ENST00000280772.7	56.84735	54.7234	220.89726	440.51467
ENST00000280987.9	100.47866	67.05595	62.84445	249.9593
