isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000261947.4	10.80355	20.34556	21.02875	31.62489
ENST00000262094.10	0.96605	2.61108	0	0.41697
ENST00000262126.9	97.30477	80.25295	206.87247	141.59747
ENST00000262135.9	1.78825	4.01117	5.29974	3.0123
ENST00000262160.11	76.40373	79.69118	94.19207	71.60835
ENST00000262173.7	0.33025	0.51684	12.39095	3.85974
ENST00000262188.13	20.01516	12.56507	0	2.60892
ENST00000262233.11	42.70361	47.08648	15.40524	13.2008
ENST00000262318.12	0.35099	0.92252	0	0.35274
ENST00000262406.10	4.26897	2.21653	7.59465	5.45224
ENST00000262547.9	0.38853	0	0.67939	0.65777
ENST00000262584.7	1161.55994	1289.54639	358.26989	834.21397
ENST00000262593.10	4.67593	4.18165	5.5798	11.45438
ENST00000262738.9	3.32139	7.36294	1.12912	3.27388
ENST00000262752.5	10.02272	18.47975	9.74915	9.86907
ENST00000262765.10	2.28402	7.00524	0	0.16645
ENST00000263097.9	113.1102	109.41493	23.48404	34.75171
ENST00000263246.8	10.03869	10.81726	0.87358	2.65424
ENST00000263441.11	3.24526	0	1.75666	0
ENST00000263574.9	15.04098	30.49647	12.47878	5.19041
ENST00000263578.10	8.14826	8.22604	4.49358	12.26878
ENST00000263688.4	47.55613	42.77322	20.26879	20.0803
ENST00000263710.8	2.41883	12.28828	17.32581	20.28548
ENST00000263934.10	6.16845	6.30995	0.9871	1.92528
ENST00000263991.9	6.1651300000000004	5.45212	21.27744	12.81055
ENST00000263997.11	10.62261	12.56147	5.68548	7.66897
ENST00000264093.9	5.50768	5.83706	7.30205	8.87579
ENST00000264160.8	2.48835	1.5371	1.85247	6.4762
ENST00000264312.12	60.63192	50.42677	50.25927	43.2928
ENST00000264501.8	6.6545	9.54748	30.89085	52.40563
ENST00000264554.11	20.81964	16.28104	31.21743	47.00755
ENST00000264723.9	11.59077	6.90507	0.51499	0.92262
ENST00000264758.11	28.98542	27.8351	2.33545	1.98663
ENST00000264775.9	1.67642	1.26308	0.53205	0.34785
ENST00000264963.9	17.7004	16.9465	8.95677	8.83744
ENST00000265026.8	11.76259	14.22778	46.11086	48.05128
ENST00000265094.9	0.43952	1.61687	7.0098	8.63721
ENST00000265109.8	31.63337	35.77418	32.2776	24.6002
ENST00000265113.9	4.14081	1.58687	0	0.40783
ENST00000265239.11	1.44653	1.74989	3.95236	3.19222
