"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"17678","MFSD4BP1","MFSD4BP1",0,1.00000206836194,5.99999887596027,0
"17679","MFSD5","MFSD5",165.002913363248,326.34605456352,265.276009578821,187.87808614794
"17680","MFSD6","MFSD6",320.817410019001,130.1070202916,122.801521741557,211.992218344331
"17681","MFSD6L","MFSD6L",0,1.00000206836194,5.99999887596027,0
"17682","MFSD8","MFSD8",433.27882586846,395.147143867405,398.001220664215,607.047434455866
"17683","MFSD9","MFSD9",401.601263276898,205.270670487322,183.887599953981,568.635976578592
"17684","MGA","MGA",926.106531514978,945.984574627413,887.08081399543,1301.51084063338
"17685","MGAM","MGAM",16.3785549558635,29.6794870789506,40.6695050522832,14.5436403022476
"17686","MGAM2","MGAM2",0.999994715321423,20.355823376989,32.0934311929769,14.0000213263907
"17687","MGARP","MGARP",245.612853180103,1724.40200871462,1232.72088600382,1368.0301445369
"17688","MGAT1","MGAT1",243.629564648422,682.023924798016,579.010062859962,359.137021786289
"17689","MGAT2","MGAT2",155.559077376897,365.632297422254,304.712126608722,187.411664487691
"17690","MGAT2P1","MGAT2P1",0,2.00000413672387,7.81642409352302,0
"17691","MGAT2P2","MGAT2P2",0,0,0,1.00000152331362
"17692","MGAT3","MGAT3",461.168539784093,208.926841177741,180.749801854184,404.787820332124
"17693","MGAT4A","MGAT4A",293.538830902894,153.029215251393,187.371923260047,491.21268929778
"17694","MGAT4B","MGAT4B",449.835685254213,366.920951378319,365.554407188701,457.344306680195
"17695","MGAT4C","MGAT4C",712.575741847335,771.104665028685,962.775550340965,689.439532759337
"17696","MGAT4D","MGAT4D",0,16.002476966266,25.9999903673027,0
"17697","MGAT4EP","MGAT4EP",23.8558941575393,25.784901354393,24.4495482810232,45.8093880193129
"17698","MGAT4FP","MGAT4FP",0,0,4.0000040124987,1.00000152331362
"17699","MGAT5","MGAT5",493.325356096346,311.102537468566,221.45813510083,423.922674763514
"17700","MGAT5B","MGAT5B",557.666773081319,64.2073727610434,69.7879508500791,568.8779334512
"17701","MGLL","MGLL",1587.48419131574,1404.24687882418,1554.49014696813,1915.21174290965
"17702","MGME1","MGME1",106.341301017859,285.971219259205,233.379876469853,287.253268072199
"17703","MGMT","MGMT",17.9999957238307,175.016140215005,71.6746039570767,275.245715367014
"17704","MGP","MGP",93.0833612705384,107.390981249276,230.018551969326,69.023563644008
"17705","MGRN1","MGRN1",2263.49214143341,1803.11211500084,1153.3864992892,1724.86934983928
"17706","MGST1","MGST1",140.105840043266,245.397727671079,242.667843415857,129.920496027793
"17707","MGST2","MGST2",119.665272152641,36.0101096123801,54.0002898807291,113.378848283489
"17708","MGST3","MGST3",2237.53568905928,1837.60737498539,1760.43647556361,3457.3043013312
"17709","MIA","MIA",2.00769637313722,7.00131278578589,5.05553661920471,12.2390224721381
