platform,sample,junctions_0,junctions_1,junctions_2,junctions_3,junctions_4,junctions_5,junctions_6,junctions_7,junctions_8,junctions_9,junctions_10
Short read,D180-2,0.5632399071877174,0.3403251380240082,0.091138530326261,0.0051365821439142,0.0001531802387498,4.496903560691067e-06,9.517256213102788e-07,1.0468981834413069e-06,1.6655198372929877e-07,0.0,0.0
Short read,D180-3,0.5772375513461628,0.3286248754171751,0.0886391305066044,0.0052747988585467,0.0002145684680291,6.638903532104564e-06,1.676490790935496e-06,6.258898952825851e-07,1.3411926327483968e-07,0.0,0.0
Short read,D180-4,0.5505079944237473,0.3486189807610761,0.0949952163374544,0.0055986394575936,0.0002664702092348,8.192781221670259e-06,2.3554246012301995e-06,1.7204840565507542e-06,4.301210141376886e-07,0.0,0.0
Short read,D180-5,0.5811369101477147,0.3267663364214728,0.0869275031373263,0.0049587837447149,0.0001946627699042,8.841274890620168e-06,4.066986449685277e-06,2.365041033240895e-06,5.083733062106597e-07,2.2103187226550423e-08,0.0
Short read,D180-6,0.5229516403669988,0.3703646310406094,0.1004699679263394,0.0059945859363349,0.0002061182702668,7.597700806508195e-06,3.63174554680597e-06,1.4036807941642706e-06,3.564903604226719e-07,6.684194257925098e-08,0.0
Short read,D25-1,0.5121201191612094,0.3790919874744631,0.1034241579446916,0.0052365061914779,0.0001259248275537,1.2040620961312342e-06,1.0033850801093617e-07,0.0,0.0,0.0,0.0
Short read,D25-2,0.5226432152099696,0.3715212811199554,0.1005826110461728,0.0051243813669803,0.0001271304913148,1.2606990323994848e-06,1.2006657451423664e-07,0.0,0.0,0.0,0.0
Short read,D25-3,0.5178153031374343,0.3739023901845045,0.102962280678258,0.0051883624005013,0.0001307662498433,8.524819855974515e-07,4.4867472926181664e-08,0.0,0.0,0.0,0.0
Short read,D25-4,0.5153693030212865,0.374897822055022,0.1041983342276726,0.0054000997781935,0.0001331753930261,1.2233406391376917e-06,4.2184159970265226e-08,0.0,0.0,0.0,0.0
Short read,D280-B1,0.5402765192418838,0.3566934519308424,0.0969600588224383,0.0058416718935503,0.0002209178267142,5.947410172760488e-06,1.0010492369992902e-06,3.925683282350158e-07,3.9256832823501576e-08,0.0,0.0
Short read,D280-C1,0.5467396161924698,0.351717382440005,0.0961100403741745,0.0052804598643526,0.0001450767086689,4.719810066357878e-06,1.7323647434571986e-06,6.89410459130926e-07,2.828350601562774e-07,0.0,0.0
Short read,D65-2,0.5567617651025021,0.3476318869074482,0.0908514659491039,0.0045983035525739,0.0001511405759045,4.316939283369952e-06,7.87066278183472e-07,2.1465443950458329e-07,1.1925246639143516e-07,0.0,0.0
Short read,D65-3,0.5089189529073508,0.3860505462834895,0.099832359217706,0.0050248136033502,0.000166003556379,5.6263800788027755e-06,9.630740675428177e-07,5.575691969984733e-07,1.774083808631506e-07,0.0,0.0
Short read,D65-5,0.540985277845444,0.3601110371053765,0.0939651676862807,0.0047727015556332,0.0001590971334605,5.31120458890201e-06,7.435686424462814e-07,3.983403441676507e-07,2.390042065005905e-07,2.6556022944510048e-08,0.0
Short read,D65-6,0.516850500450357,0.3801915402431705,0.0978651089744877,0.0049215724338391,0.0001642585026727,5.85724390456151e-06,6.508048782846123e-07,3.718885018769213e-07,1.3945818820384546e-07,0.0,0.0
Long read,EP1-BRN3B-RO,0.4361219759857516,0.1286789391956825,0.0957084854131182,0.0911175827333068,0.0674455224331446,0.0557841193080412,0.0369992996469028,0.0289091045627841,0.0250568288588028,0.019753992780094,0.014424149082371
Long read,EP1-WT_ROs_D45,0.3510487848545,0.1066300272497211,0.0967202721771079,0.1146273514097385,0.0891439675608838,0.0791409731064868,0.048459168036721,0.0387683673207319,0.0292561823665532,0.0271238200379434,0.0190810858796121
Long read,EP1-WT_hRO_2,0.4664284695010664,0.1146818947231357,0.1007217513985536,0.0953763852120388,0.0661337646147331,0.0566662098760354,0.0308706656993583,0.024451397504591,0.0185220830518631,0.0151997221292082,0.0109476562894158
Long read,H9-BRN3B-RO,0.4817574526083505,0.1248473931472448,0.0935777812170804,0.0851122372053779,0.0606075117699039,0.0469039985222093,0.031785640467501,0.024718965147105,0.0222913144848451,0.01589148223406,0.0125062231963215
Long read,H9-BRN3B_hRO_2,0.4346411862931948,0.1041047227672894,0.0920091489084369,0.1027452596770462,0.0752101688984084,0.0651581565730403,0.0383506130391027,0.0310191415456265,0.023411564661798,0.0195455754441465,0.0138044621919098
Long read,H9-CRX_ROs_D45,0.3903370573772116,0.1049331952867925,0.1029469066444338,0.111243130160711,0.0819271879281781,0.0701634354473294,0.0430989825288493,0.0328564114425437,0.0251618191920977,0.0219418846330798,0.0153899893587727
Long read,H9-CRX_hRO_2,0.4489322504079501,0.1097856259316896,0.0894519622610869,0.0984411294039697,0.0727124536933822,0.0616768914626279,0.0365886793826873,0.0295464241444385,0.0214945446397054,0.018494525214476,0.0128755134579858
