"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000136709",-0.357572833754077,7.14619655696037,3.71466057262744,0.0741232097659833,0.101738327611963
"ENSG00000130768",-0.959006780271737,1.49428515935857,3.71423592219287,0.0742554195763927,0.10190947316104
"ENSG00000136059",0.817403426640266,1.16691896619597,3.71103209224262,0.0743202725176525,0.101988151635543
"ENSG00000204291",-1.04778675777441,1.73641934320202,3.7104343225137,0.0743766925142717,0.102055242998425
"ENSG00000164181",0.550054492747108,1.63742021988321,3.70693184521189,0.0744271673701152,0.102114164038318
"ENSG00000278129",0.335705199047603,4.71219549983579,3.70193531824315,0.0745684090009424,0.102297592671941
"ENSG00000026508",-0.549019676798589,3.88212031978603,3.70128952253899,0.0745931113460695,0.102320545973804
"ENSG00000115274",0.677212758596724,2.32437443292255,3.70136924216797,0.0746002386980326,0.102320545973804
"ENSG00000149474",0.484160208492116,4.96485760084047,3.69767130634545,0.0747175463041727,0.102471073824421
"ENSG00000110060",0.389332984893851,3.89358567896578,3.69721828919398,0.0747349345440274,0.102484551073426
"ENSG00000105829",0.409908642873937,5.18986438374038,3.6964855222221,0.0747589280804963,0.102507082569858
"ENSG00000113845",0.421950075425797,6.02293689096838,3.69212548645639,0.0749118670174456,0.102684877048732
"ENSG00000147400",-0.306575156620013,6.33543020169005,3.69201931558627,0.0749157145671054,0.102684877048732
"ENSG00000135972",0.29317011336155,5.44775852747878,3.6919768626365,0.0749172590937337,0.102684877048732
"ENSG00000109929",-0.287272996245615,6.05743850536685,3.69192932419546,0.074918898416328,0.102684877048732
"ENSG00000117600",-0.653699668989035,4.64485822051264,3.69113337676834,0.0749481813123572,0.102714625834953
"ENSG00000023318",-0.210128336319628,6.5167508811921,3.68007282996708,0.0753376644371981,0.103237964187826
"ENSG00000117069",-0.772774115782211,3.47649516874579,3.6785283795152,0.0753985213411973,0.103310913693751
"ENSG00000005075",0.348766101841966,6.54010434723669,3.67623002545666,0.0754740457023703,0.103403943743043
"ENSG00000167900",-0.588420811672149,4.42531404442944,3.67470051956448,0.0755302343900013,0.103470466638577
