"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000130699",337,262,140,92,116,89,70,92,116,95,114,84,87
"ENSG00000130702",544,335,2039,1332,1475,1186,670,1214,1370,469,820,485,454
"ENSG00000130703",681,565,957,787,788,1151,727,1061,1183,1246,1398,1147,1151
"ENSG00000130706",1022,1044,3541,2576,2845,2224,2358,2381,2408,2267,2506,1728,2127
"ENSG00000130707",586,468,3850,3143,2862,1995,2316,1868,1897,881,894,869,821
"ENSG00000130713",636,487.99999,2309,1985,1814,2331,2484,2224,2099,1880,1620,1632,1808
"ENSG00000130714",423.99999,448.99999,1124,990,848,1317,849,1272,1403,1848,2094,1607,1553
"ENSG00000130717",538.00001,514.00001,1242,1078,862,1530,1811,1713,1575,1840,1861,1669,1976
"ENSG00000130720",527.99999,439.00001,101,58,66,227,158,248,255,36,50,45,36
"ENSG00000130724",1040,1028.00001,2678,2064,2128,3814,4210,3533,3577,2180,2314,1998,1914
"ENSG00000130725",1221,1168,198,115,145,94,138,116,119,96,123,78,117
"ENSG00000130726",2201,2173.99999,6196,3611,3867,3126,3863,3605,3237,2556,2517,2174,2714
"ENSG00000130731",1076.00002,974,1058,831,967,894,1323,936,1056,830,914,795,1070
"ENSG00000130733",242,228,912,807,713,720,741,571,640,503,577,562,579
"ENSG00000130734",186,208.99998,153,94,162,107,196,133,84,105,80,112,331
"ENSG00000130741",3350,4140,9542,9279,7975,9087,7476,7626,8046,5828,5670,5513,6572
"ENSG00000130748",837,656,126,139,390,364,1052,458,254,155,142,246,688
"ENSG00000130749",455.00001,432,465,387,308,324,268,377,375,284,284,259,338
"ENSG00000130751",92,54,35,38,42,114,125,155,102,16,14,31,37
"ENSG00000130762",122,92,612,483,484,291,230,344,295,301,344,235,297
"ENSG00000130764",487,417,626,498,418,334,380,351,351,385,323,337,355
"ENSG00000130766",176,174,1167,1124,1011,815,482,929,821,720,821,638,808
"ENSG00000130768",15,17,2733,2335,1871,460,436,380,462,9,11,22,15
"ENSG00000130770",2598.99999,2381,5678,4655,4576,3891,4748,3666,3458,3614,3712,3626,3683
"ENSG00000130772",146,172,173,111,109,190,200,189,174,129,120,107,143
"ENSG00000130779",1190,1061.00001,607,528,528,938,565,834,989,1028,1122,802,904
"ENSG00000130787",125,125,219,190,203,405,298,496,560,668,874,590,627
"ENSG00000130803",301,299,1191,1089,903,1410,664,1374,1259,1132,1365,940,1089
"ENSG00000130810",304,80,931,760,824,618,580,693,791,668,695,541,636
"ENSG00000130811",1253,1195.99999,4334,3100,3055,2883,3477,2696,2906,2659,2758,2203,2287
"ENSG00000130813",41,48,644,532,493,198,159,192,195,61,76,61,72
"ENSG00000130816",2385,2608,4567,3965,3613,4492,2548,4740,4907,4696,4732,3209,4249
"ENSG00000130818",237,354,1515,1430,1085,1781,1019,1434,1580,1341,1475,1191,1311
"ENSG00000130821",387,249,878,434,452,828,1046,1031,978,529,652,489,579
"ENSG00000130822",30.99999,23,28,41,40,216,193,220,245,166,218,134,195
"ENSG00000130826",854.00001,967.00001,4819,4351,3853,3346,2483,3110,3586,3045,2675,2503,2813
"ENSG00000130827",432,331,154,119,113,199,180,209,251,294,412,245,291
"ENSG00000130830",294.00001,300,661,565,520,51,14,20,12,63,120,75,45
"ENSG00000130844",315,575.99999,1851,1719,1412,1618,881,1583,1865,722,849,674,772
"ENSG00000130856",511,615,281,189,181,295,154,313,280,312,333,226,279
"ENSG00000130876",53,47,11,9,17,51,72,56,35,3,4,1,6
"ENSG00000130881",509,491,198,149,148,116,139,119,113,257,270,196,305
"ENSG00000130921",519.99999,701,542,394,428,758,631,700,754,615,685,555,545
"ENSG00000130935",727,806,2737,2673,2201,2285,1699,2008,2144,2410,1888,1853,2280
"ENSG00000130939",866,1131.99999,3171,3148,2619,4572,2163,4141,4337,3064,2899,2265,2547
"ENSG00000130940",1024,974,115,76,73,333,223,349,321,236,365,201,189
"ENSG00000130956",600,473,36,46,25,63,75,65,52,141,123,90,125
"ENSG00000130957",14,16,6,4,4,16,11,22,14,16,17,19,8
"ENSG00000130958",326,266,65,51,49,93,84,78,41,45,56,74,58
"ENSG00000130962",143.00001,318.99999,500,479,382,273,178,159,235,455,391,466,484
"ENSG00000130985",3069,3676.99999,22041,19483,16503,21779,14183,21809,22810,28750,29825,22361,24517
"ENSG00000130997",36,18,27,4,19,16,28,25,8,22,34,18,26
"ENSG00000131013",777,927,764,734,603,1240,812,860,938,1277,1099,1184,1196
"ENSG00000131016",3495,4629.00001,1397,1450,1288,1970,1255,2042,1643,1523,1391,1125,1817
"ENSG00000131018",848,860.00001,61,57,64,98,38,94,50,704,880,701,482
"ENSG00000131019",101,101,133,111,125,253,124,189,202,397,416,284,437
"ENSG00000131023",847,1078,580,725,506,945,379,711,802,1393,1102,1061,953
"ENSG00000131037",87.00001,95.00001,135,136,154,207,373,223,210,337,305,292,319
"ENSG00000131043",456,454,1613,1401,1264,1574,1132,1379,1433,1661,2014,1530,1562
"ENSG00000131044",112.00001,254.99999,12,1,0,10,9,13,5,66,89,85,62
"ENSG00000131051",3563.00001,5387.00001,4173,4079,3400,5706,3515,5096,5419,8170,7708,6396,7156
"ENSG00000131061",142,101,292,220,181,144,97,138,181,205,171,126,199
"ENSG00000131067",304,342,383,263,327,427,257,333,417,386,449,370,382
"ENSG00000131069",241.99998,344,699,718,517,817,576,693,858,835,970,926,900
"ENSG00000131080",71,80,617,555,469,193,78,142,181,302,322,295,295
"ENSG00000131089",540.99999,1278,858,744,644,1612,1212,1354,1735,1860,2022,1618,1729
"ENSG00000131100",656.99999,659,1612,1282,1283,1544,1814,1301,1329,1188,1082,1210,962
"ENSG00000131115",461,1121,443,365,383,635,398,492,633,616,652,589,546
"ENSG00000131116",1303,1568,188,147,167,272,298,271,314,915,1093,819,929
"ENSG00000131127",444,787,474,544,407,643,377,545,621,756,729,715,767
"ENSG00000131143",4834,4810,9575,7922,7894,8766,14783,7774,7391,7867,7754,7938,7333
"ENSG00000131148",505.99999,445,226,206,318,375,692,488,271,167,134,213,699
"ENSG00000131149",1726,1207,806,525,601,845,587,854,824,1075,1215,894,1061
"ENSG00000131153",1205,1649,2031,1743,1708,3492,4275,3290,3180,4193,3941,3904,4112
"ENSG00000131165",585.00002,565.99998,2254,1993,1743,2326,1791,2517,2497,2744,3226,2130,2637
"ENSG00000131171",971,1399,1300,1410,1130,1634,1149,1274,1308,3271,2647,3057,3137
"ENSG00000131174",2067,2270,3233,2990,2514,1967,3595,1988,1820,3106,2984,3768,3455
"ENSG00000131187",37.99999,19.99999,222,181,186,167,219,155,151,57,102,46,52
"ENSG00000131188",178,178,121,70,74,138,185,113,104,68,41,43,65
"ENSG00000131196",53,17.99999,152,146,165,233,170,256,311,112,81,74,150
"ENSG00000131236",1457,1487.00001,7208,6747,5911,6230,5677,5264,5660,4819,5054,4502,4930
"ENSG00000131238",907.00001,1021.00001,9971,8809,7803,9217,9270,6912,7746,6557,6141,6274,6310
"ENSG00000131242",145,223,608,506,416,501,447,424,485,312,345,277,390
"ENSG00000131263",520,545,861,988,770,1460,771,1092,1144,1661,1463,1422,1361
"ENSG00000131269",702,597,868,846,610,1375,798,1000,1176,1000,849,816,873
"ENSG00000131323",443.00001,659,195,94,107,100,79,116,121,462,437,334,452
"ENSG00000131351",349,418,364,343,261,465,508,482,451,306,296,237,278
"ENSG00000131368",950.99998,1252.99998,1986,1477,1316,1273,1195,1150,1154,1283,1438,1194,1098
"ENSG00000131370",202,130,74,59,47,56,79,73,73,97,57,100,163
"ENSG00000131373",422.00001,477.99999,2100,1949,1602,1599,1677,1467,1493,635,796,623,688
"ENSG00000131374",2384,2999.99999,1449,1489,1081,2008,889,1644,1851,2584,2597,2243,2287
"ENSG00000131375",767.00001,775.99999,423,512,369,791,441,609,734,905,814,835,858
"ENSG00000131378",255,173,94,72,73,34,16,16,29,199,194,150,236
"ENSG00000131381",353.99999,364,1461,1343,1058,1819,930,1635,2014,1711,2052,1435,1599
"ENSG00000131389",719,317.00001,2983,3399,2819,2154,990,1847,1948,364,341,231,376
"ENSG00000131400",14,14,21,12,25,24,17,15,40,12,13,10,9
"ENSG00000131408",278,305,1349,1018,944,906,837,931,1075,670,774,491,565
"ENSG00000131409",531,446,7,5,3,30,22,47,43,56,53,49,54
"ENSG00000131435",255,206,295,274,242,531,644,565,546,627,649,580,746
"ENSG00000131437",1138,1338.99999,338,341,313,660,323,524,546,1012,953,867,1014
"ENSG00000131446",525,476,2073,1928,1737,2047,1742,2017,2040,1008,1089,887,1150
"ENSG00000131459",105,103,7375,6723,5920,1143,801,956,1137,1076,1214,913,1056
"ENSG00000131462",915,832,6322,5136,4490,4573,4105,4442,4727,4359,4069,3603,3817
"ENSG00000131467",679,721,7869,7684,6464,6812,4695,6658,6712,5049,4734,3946,5048
"ENSG00000131469",16222,19396.99999,9530,8527,8635,7022,10414,7183,6054,6583,6779,6916,6836
"ENSG00000131470",256.00001,347.99999,499,455,330,669,475,667,615,871,669,550,721
"ENSG00000131473",1580.00001,2081,13205,13153,10717,11762,7161,10921,11552,9299,9080,7085,8059
"ENSG00000131475",849,1033,3345,2998,2499,3295,3464,3018,3057,2168,2370,2208,2092
"ENSG00000131477",289.99999,272.00001,261,209,229,228,226,215,231,72,93,57,82
"ENSG00000131480",27,25,56,83,46,66,41,101,46,56,73,67,25
"ENSG00000131495",1539,1666,1600,1398,1464,1600,3251,1613,1466,1897,1936,2064,1903
"ENSG00000131503",2209,2189.00001,2284,2378,2133,3821,2171,3683,3649,3943,3417,3224,3908
"ENSG00000131504",474,418,1602,1534,1588,1489,779,1401,1489,1358,1341,1116,1636
"ENSG00000131507",1650,1925,463,583,558,759,786,579,513,1256,1144,1529,1630
"ENSG00000131508",2093.00001,2401.99999,1342,1354,1264,1750,1326,1645,1618,1752,1663,1808,2300
"ENSG00000131558",1326,2245,2162,2167,1853,3646,1956,2939,3024,3730,4010,3412,3565
"ENSG00000131584",506,466.00001,32,22,28,24,27,52,37,103,159,112,176
"ENSG00000131591",266.00001,267,444,277,292,485,422,543,675,489,567,466,534
"ENSG00000131620",741.99999,350,119,135,106,13,0,8,17,25,30,24,26
"ENSG00000131626",1148.00001,1335,703,518,532,446,334,473,474,426,387,353,445
"ENSG00000131652",235,223.99999,3515,2655,2432,1629,1828,1763,1808,2057,1940,1748,1860
"ENSG00000131653",648,533,1848,1662,1500,1289,863,1334,1316,1335,1458,1036,1348
"ENSG00000131669",341.99999,280,2207,1750,1601,1070,959,932,961,1356,1255,1284,1492
"ENSG00000131697",817,918,354,315,288,605,322,618,670,1020,963,789,885
"ENSG00000131711",10247.99999,11100,6542,6252,5292,17773,9212,15591,15192,44041,47228,33028,35271
"ENSG00000131724",414,177,412,347,395,324,241,243,173,426,317,431,837
"ENSG00000131725",675,315,830,965,784,650,333,527,562,729,710,631,572
"ENSG00000131730",14,60,34,32,24,3,3,6,0,7,12,4,7
"ENSG00000131732",537.99999,667,468,436,428,707,777,562,601,700,631,735,651
"ENSG00000131747",5875,7201,12905,13991,11386,22327,10826,18179,20443,25488,21754,19533,22044
"ENSG00000131748",574,434,1492,1240,1048,1226,1020,1151,1427,1272,1338,1054,1260
"ENSG00000131759",653,480,110,112,84,170,114,196,145,1292,1416,1093,1165
"ENSG00000131771",55,60.99999,214,176,172,132,128,143,120,22,15,11,16
"ENSG00000131773",517.00001,676,87,72,69,226,251,180,205,86,108,68,96
"ENSG00000131778",2320,1386.99999,2332,2218,1735,2251,1727,1901,2005,1961,1823,1573,1756
"ENSG00000131779",258,313,461,322,313,511,508,440,547,735,872,774,733
"ENSG00000131781",122,41,16,17,15,24,24,9,21,22,11,19,12
"ENSG00000131788",413,437.00001,1677,1725,1336,2359,1426,2360,2542,1298,1346,1068,1309
"ENSG00000131791",236,207,1183,1136,915,1539,1021,1224,1495,941,927,902,913
"ENSG00000131828",898.00001,919.99999,4134,3744,3409,3430,2460,3233,3350,3054,3093,2608,3019
"ENSG00000131831",84.00001,70,3,2,3,221,125,170,135,18,24,23,14
"ENSG00000131844",52.00002,1026.99999,3395,3305,2725,2191,1178,1986,2174,2041,1889,1549,1930
"ENSG00000131845",89,107,439,556,489,885,376,665,521,447,502,359,363
"ENSG00000131848",196.00001,421.99999,237,201,171,180,136,170,151,308,315,247,294
"ENSG00000131849",116,80,9,13,7,35,11,14,25,71,69,64,48
"ENSG00000131871",749,677,675,640,610,677,682,515,566,597,592,507,640
"ENSG00000131873",470,373,316,232,222,199,170,191,200,192,146,156,154
"ENSG00000131876",652,858.99999,4785,4097,3827,3627,3545,3252,3181,2312,2365,2103,2369
"ENSG00000131899",588,637,590,393,407,765,613,925,836,1416,1278,918,1332
"ENSG00000131931",154,219,382,413,326,511,534,401,372,416,360,441,392
"ENSG00000131941",201,151,839,855,702,923,585,747,967,549,597,529,531
"ENSG00000131943",376,407.00001,259,252,232,559,627,501,438,542,531,568,520
"ENSG00000131944",124,125,132,108,102,109,136,152,137,209,184,164,200
"ENSG00000131951",173.00001,387,25,37,28,40,19,28,22,85,93,91,58
"ENSG00000131966",1238.99999,1424,1386,1388,1020,1671,1878,1217,1312,2173,2151,2627,2190
"ENSG00000131979",44,34,52,62,60,63,49,72,40,15,14,15,29
"ENSG00000131981",507,219,120,101,80,172,308,128,125,54,123,114,74
"ENSG00000132002",1058,1013,2196,2013,1810,3437,3394,3312,3435,3230,3008,2137,2494
"ENSG00000132003",296,288,113,99,99,99,78,107,110,62,65,46,40
"ENSG00000132004",123,183.99999,818,584,567,979,1117,926,950,1316,1266,1176,1176
"ENSG00000132005",485.99999,395,57,59,34,79,46,69,109,82,81,46,70
"ENSG00000132010",58,102,100,49,62,184,105,124,89,112,139,114,123
"ENSG00000132016",118.99999,116,77,46,41,76,89,107,100,294,332,192,241
"ENSG00000132017",394,372,268,226,204,294,190,275,291,236,327,220,329
"ENSG00000132024",327.99999,241,603,631,473,542,326,694,603,312,426,330,394
"ENSG00000132031",30,18,50,55,59,28,32,16,13,9,3,8,26
"ENSG00000132109",61,69,399,332,306,332,332,333,356,237,251,225,252
"ENSG00000132122",995,614,154,191,206,543,353,442,370,628,459,581,648
"ENSG00000132128",933,923,3872,3297,2858,4173,2800,3969,4362,6459,6618,5232,5678
"ENSG00000132141",89.99999,140,57,44,53,123,151,158,84,223,182,198,157
"ENSG00000132153",1667.00001,1709.99999,4772,4112,3861,5175,3463,4966,5437,6585,7228,5554,6228
"ENSG00000132155",1208.99999,1244.99999,3806,3333,3081,4664,3449,4356,4560,5468,5498,4481,4810
"ENSG00000132182",616.00001,579,3125,2535,2618,2968,1544,2798,2974,4020,3684,2836,4014
"ENSG00000132196",158.99999,209.99999,1126,808,805,1074,1359,854,934,789,791,859,838
"ENSG00000132199",667.99999,1053.99998,723,535,597,480,310,421,558,637,756,639,634
"ENSG00000132205",219,76,116,63,73,21,36,30,26,41,35,39,33
"ENSG00000132254",385,355,1159,964,952,1447,1592,1345,1372,1667,1772,1569,1543
"ENSG00000132256",226.00001,280.99999,1245,1121,927,406,316,336,330,545,494,502,498
"ENSG00000132275",281,326,571,471,475,659,592,520,598,913,923,830,793
"ENSG00000132286",556,472.99999,1363,1315,1170,1652,1864,1591,1564,1445,1389,1311,1257
"ENSG00000132294",465,613,740,959,861,772,383,600,548,264,194,289,312
"ENSG00000132300",725.00001,978,4742,4320,3621,4370,2725,3562,4258,3670,3308,3127,3207
"ENSG00000132305",1371,1453,4978,4616,3959,5129,3527,4383,4845,5885,5321,4723,5391
"ENSG00000132313",246,269.00001,931,746,802,799,660,721,664,774,700,693,737
"ENSG00000132321",132,61,231,194,155,227,168,231,228,197,123,114,125
"ENSG00000132323",447.99999,592,485,400,401,592,930,645,473,889,720,896,1101
"ENSG00000132326",186,160,64,68,61,122,88,117,94,60,67,72,87
"ENSG00000132329",58,15,12,19,10,0,8,4,2,125,269,122,94
"ENSG00000132330",366.99999,404,2182,1993,1748,1095,846,1004,1094,917,1000,806,905
"ENSG00000132334",80,35,37,54,36,33,16,35,42,71,131,74,113
"ENSG00000132341",7090.00001,8924.00001,27490,24847,22782,26850,30963,23517,23862,22736,19442,19363,21176
"ENSG00000132356",296,405,500,558,407,537,273,399,415,720,525,687,653
"ENSG00000132359",66.99999,132,790,642,549,202,81,199,239,81,101,50,96
"ENSG00000132361",312,163,471,488,618,282,231,367,234,304,225,252,554
"ENSG00000132376",166.99999,223.99999,529,404,432,615,470,560,608,880,777,752,726
"ENSG00000132382",288.00001,223,3595,3445,2926,1611,779,1780,1933,1448,1499,999,1428
"ENSG00000132383",1045.00001,1095,6119,5901,4880,11052,7566,9913,10831,8534,7582,6925,7686
"ENSG00000132386",498,897,583,404,422,1089,1041,957,1056,1355,1653,1208,1287
"ENSG00000132388",791.99999,1101,1765,2260,2255,2438,1703,2139,1960,1755,1137,1841,2612
"ENSG00000132394",255,284,485,441,438,442,325,448,429,1181,1050,958,1253
"ENSG00000132405",879,858,2065,1976,1896,2328,1621,2566,2216,2383,2524,2447,2798
"ENSG00000132406",379,474,588,622,492,959,1238,691,742,763,682,813,786
"ENSG00000132423",104,121,778,681,565,449,448,365,413,443,357,389,432
"ENSG00000132424",3187.00002,4382.99999,3223,2544,2500,4061,2492,3799,3812,3397,3910,2993,3266
"ENSG00000132432",1031.99999,1421,2419,2019,1917,1395,1358,1508,1423,1155,996,953,1142
"ENSG00000132434",423,478,397,381,382,336,277,331,295,1021,878,896,1331
"ENSG00000132436",167.99999,184.00001,241,307,218,1013,505,787,832,537,472,524,553
"ENSG00000132437",80,70.00001,4,2,1,4,4,5,1,130,123,114,136
"ENSG00000132463",1014,989.00001,895,768,702,893,1089,842,757,878,741,863,873
"ENSG00000132466",4004,3986,2570,2141,2139,2902,1728,2699,2343,2615,2526,2123,2593
"ENSG00000132467",362,376,541,432,373,310,230,331,335,237,221,181,245
"ENSG00000132471",519.99999,537.00001,1413,1105,992,1357,914,1262,1484,1282,1785,1034,1275
"ENSG00000132475",6356.99999,7835.99999,20533,18310,15851,35238,36096,30856,33224,42669,43416,40489,41980
"ENSG00000132478",642,620,572,530,495,800,586,795,820,1021,927,825,957
"ENSG00000132485",1894.99999,2513,2064,2237,1748,3510,2528,2752,2914,2617,2193,2332,2528
"ENSG00000132507",3354,2883.99999,16472,14493,13955,10806,14081,10772,10616,7268,6359,6610,8101
"ENSG00000132510",840,632,145,136,149,358,268,397,416,457,508,350,470
"ENSG00000132522",759.99999,671.00002,960,631,671,767,681,677,795,1011,1159,791,1004
"ENSG00000132535",548.99999,682.99999,138,90,75,180,114,180,253,135,190,124,148
"ENSG00000132541",797,735.99999,742,764,559,714,804,588,634,672,567,616,708
"ENSG00000132549",1516.99999,3404,845,800,716,1303,490,1115,926,1310,1481,1159,1165
"ENSG00000132561",100,141,403,324,274,302,189,263,371,83,207,153,76
"ENSG00000132563",671,752,174,122,111,121,158,125,144,148,191,134,237
"ENSG00000132570",264,309,167,194,141,115,104,100,105,422,412,424,403
"ENSG00000132581",466.99999,489,1315,984,948,1329,1872,1151,1384,1227,1344,1323,1259
"ENSG00000132589",592,714,5049,4322,3964,7731,6039,7792,7822,4217,3955,3258,3826
"ENSG00000132591",425,435.00001,3570,3009,2730,2993,2503,2942,3104,3010,2921,2505,2820
"ENSG00000132600",1054.00002,793.00001,1905,1418,1223,1310,1266,1417,1420,1622,1760,1512,1680
"ENSG00000132603",249,173,1395,1426,1160,1104,1468,1000,1044,602,484,560,534
"ENSG00000132604",498,516,238,193,146,207,225,199,207,221,198,172,251
"ENSG00000132612",981,1032,936,831,842,1156,1367,1391,1010,964,745,749,1628
"ENSG00000132613",408.00001,288,44,48,11,21,11,10,15,65,104,39,68
"ENSG00000132622",34,21,50,48,68,85,74,120,63,9,0,7,24
"ENSG00000132623",89,164,648,614,512,530,245,494,443,486,441,342,365
"ENSG00000132635",404,344,446,392,363,555,563,564,627,822,947,721,809
"ENSG00000132639",253.99999,258,52,37,31,48,24,40,36,480,649,537,441
"ENSG00000132640",810.00002,1388.00001,1057,1073,1033,2073,1289,1789,1866,1758,1702,1763,1753
"ENSG00000132646",2666,2990,4322,3969,3596,4061,5046,3817,3390,5107,4229,4656,4801
"ENSG00000132661",419,399,579,494,471,957,1811,760,798,1241,1148,1328,1254
"ENSG00000132664",369.99998,486,403,391,387,511,438,430,421,428,375,410,446
"ENSG00000132669",1173.99999,1391,13,10,16,53,37,49,38,208,263,239,325
"ENSG00000132670",2396,2283,686,637,525,841,762,777,811,1209,1139,1063,1139
"ENSG00000132676",934,1120,2030,1776,1658,1617,1554,1284,1421,1786,1674,1503,1572
"ENSG00000132680",809,993,484,424,365,488,475,411,468,380,425,316,388
"ENSG00000132688",2013,1680,1064,672,727,962,1084,997,995,3233,3149,2395,3366
"ENSG00000132694",574,720,801,615,534,705,479,739,648,697,877,541,585
"ENSG00000132716",1128.00001,1369.99999,1698,1701,1531,1710,1007,1648,1672,1453,1963,1309,1449
"ENSG00000132718",380,1729,697,687,581,3702,2177,2722,3200,9753,10160,8889,8741
"ENSG00000132740",371.99999,250,546,415,451,591,359,656,551,657,668,482,625
"ENSG00000132749",106,161,461,468,425,190,168,200,193,19,21,22,47
"ENSG00000132763",155,141,181,121,109,160,118,173,180,243,215,176,167
"ENSG00000132768",128,121,2686,2220,1765,1407,1190,1506,1533,1096,882,808,1017
"ENSG00000132773",182,210,611,509,499,491,487,448,523,799,728,668,770
"ENSG00000132780",3958.00001,4439.00001,12354,11463,10363,12028,6823,12133,12468,9229,8598,6978,8396
"ENSG00000132781",346.00002,437,1894,1431,1249,1998,1955,1892,2228,1750,1562,1493,1593
"ENSG00000132792",928.99999,966,2170,1963,1776,3143,2202,2914,3329,2912,2897,2332,2708
"ENSG00000132793",87.99999,39,200,108,139,156,113,203,252,171,202,156,177
"ENSG00000132801",90,48,126,106,96,123,136,110,118,143,172,112,113
"ENSG00000132819",410,327,328,189,211,184,283,258,256,151,147,108,141
"ENSG00000132821",230,281,6,2,6,31,43,38,28,23,34,19,41
"ENSG00000132823",428,435,1225,1093,1037,2029,3387,1825,1672,2137,2001,2562,2128
"ENSG00000132824",485,619,2435,2548,1979,2613,1517,1967,2433,2033,2097,1963,1827
"ENSG00000132825",45,52,13,17,9,5,4,0,2,14,30,27,25
"ENSG00000132842",2416.00001,2308.00002,2690,2484,2096,3395,1785,3027,3136,2557,2346,2121,2271
"ENSG00000132846",376,288,102,92,79,100,68,80,86,151,158,115,119
"ENSG00000132849",558,595.99999,1569,1514,1349,1371,456,1001,1113,334,291,258,275
"ENSG00000132854",91,192,13,8,9,21,5,19,9,23,17,34,34
"ENSG00000132872",498,992,56,60,45,5,3,0,8,1196,1593,1340,1024
"ENSG00000132879",204,190,353,257,258,299,195,280,296,261,279,208,239
"ENSG00000132881",46,37,45,32,35,72,79,58,69,63,54,59,55
"ENSG00000132906",222,271,535,333,427,418,313,371,432,465,523,451,414
"ENSG00000132912",760,1002.99999,1315,1316,1109,2164,1072,1792,1733,3216,2982,2734,2789
"ENSG00000132932",156.99999,172,388,347,319,330,135,317,283,437,565,389,402
"ENSG00000132938",39,50,16,5,14,38,32,39,29,36,35,21,13
"ENSG00000132950",644,548.00001,181,169,121,262,218,233,233,489,392,380,413
"ENSG00000132952",666,509.00001,614,616,597,975,704,825,828,904,934,880,891
"ENSG00000132953",456,564,1346,1549,1095,1408,438,1194,1351,1050,935,770,861
"ENSG00000132963",1998.00001,2407,4908,4648,4128,3635,4369,3215,3042,2942,2688,2698,3010
"ENSG00000132964",966,1030,235,235,220,444,467,425,363,432,391,415,485
"ENSG00000132970",1381,1156,192,253,201,722,632,826,706,1334,1135,1196,1608
"ENSG00000133019",22,48,342,256,305,32,30,32,38,24,36,26,34
"ENSG00000133026",5837.00001,3951.00002,12407,12344,10589,15909,6940,15358,15626,14135,13735,9577,11697
"ENSG00000133027",566.99999,714.00001,1608,1155,1080,1219,1220,1085,1249,1491,1473,1321,1469
"ENSG00000133028",425,447,1679,1481,1395,1068,964,1001,1002,878,794,786,836
"ENSG00000133030",2003.00001,2194,765,484,484,618,522,644,611,981,914,773,742
"ENSG00000133056",319,208,356,272,317,726,353,735,715,1145,1261,966,1170
"ENSG00000133059",512,526,977,842,771,1263,755,1017,1006,1349,1290,1071,1164
"ENSG00000133065",302,131,1310,1244,1116,1256,670,1278,1358,849,1084,748,827
"ENSG00000133067",15,16,15,12,18,31,1,11,8,0,5,0,0
"ENSG00000133069",377,253.00001,64,34,45,53,81,60,60,153,160,115,187
"ENSG00000133083",1129,1494.99999,829,847,716,71,43,78,87,656,730,568,603
"ENSG00000133101",105,249,14,19,23,7,11,12,16,734,646,554,679
"ENSG00000133103",484.99999,999,707,704,496,1385,954,955,1076,1521,1450,1509,1454
"ENSG00000133104",1183.99999,1470,1091,1155,1097,2244,1535,1877,2062,4148,3721,3491,4089
"ENSG00000133107",30,83,498,486,402,766,566,817,807,337,241,258,246
"ENSG00000133111",345,348,34,24,39,56,61,77,42,55,43,52,95
"ENSG00000133112",18259,19942,8495,7613,7321,10873,16891,10014,9082,8908,8702,9525,9130
"ENSG00000133114",635.00001,740.99999,449,402,407,652,430,509,597,646,570,526,516
"ENSG00000133119",749,764,1575,1642,1334,1882,1572,1512,1680,1897,1497,1795,1841
"ENSG00000133121",164,172,142,83,68,78,31,65,75,88,134,63,100
"ENSG00000133124",221,305,157,125,100,1359,893,1126,1102,1040,715,822,966
"ENSG00000133131",279,94,230,152,185,234,117,199,186,424,501,434,503
"ENSG00000133134",1117,822,1820,1643,1496,2653,3344,2217,2037,3301,3441,3309,3260
"ENSG00000133138",67,31,532,477,468,352,134,227,230,294,325,286,299
"ENSG00000133142",1629,3500.99999,1132,954,933,1487,1081,1381,1190,1346,1366,1092,1174
"ENSG00000133169",1884,1421,1306,1179,1074,1186,1443,1208,1122,3120,3109,2573,2973
"ENSG00000133193",342.00001,428,1048,960,825,1306,1072,1187,1226,852,740,828,807
"ENSG00000133195",162,256.99999,518,401,340,328,182,241,310,303,306,261,290
"ENSG00000133216",1690,1056,269,206,191,1063,900,1000,1021,2023,2158,1606,1984
"ENSG00000133226",2984,2914.99999,4411,4043,3695,5664,3076,5470,5356,3681,3879,2772,3497
"ENSG00000133243",845.00001,714.99999,593,392,410,574,584,605,616,531,532,391,594
"ENSG00000133247",210.99999,245,80,66,125,202,141,213,209,177,157,135,255
"ENSG00000133250",267,232,34,46,45,47,49,77,76,67,63,52,97
"ENSG00000133256",390,317,258,206,231,678,555,559,486,240,189,265,217
"ENSG00000133265",418,446.99999,2287,1547,1524,1354,1403,1344,1405,1844,1979,1602,1810
"ENSG00000133275",890.00001,846,319,227,223,258,325,381,292,263,268,223,245
"ENSG00000133302",1125.00001,1740,408,365,303,600,353,474,536,596,580,570,634
"ENSG00000133313",863,777,7015,6289,5230,5154,3437,4979,5068,5473,5612,4037,4853
"ENSG00000133315",299,258,61,50,56,50,135,45,38,37,42,35,95
"ENSG00000133316",387,371,2403,1994,1680,1278,1524,1307,1305,1105,1176,1028,1026
"ENSG00000133318",2079,2789.00001,4319,4185,3676,7620,4675,5888,7027,6912,7876,5791,7931
"ENSG00000133392",112,181,81,45,57,31,11,40,45,21,50,19,26
"ENSG00000133393",398,488,1117,1009,827,948,710,741,825,785,674,760,745
"ENSG00000133398",444,488,597,515,430,634,603,577,643,760,720,650,731
"ENSG00000133401",106,154,343,214,254,112,72,138,157,45,52,49,33
"ENSG00000133422",424,443.00001,744,506,467,553,476,601,494,442,561,443,533
"ENSG00000133424",767.99999,2340.00001,851,685,643,537,517,472,499,334,387,311,294
