"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000113595",445.99999,479,295,294,287,497,328,375,386,588,529,560,484
"ENSG00000113597",894,812,423,383,317,423,617,340,354,503,437,497,503
"ENSG00000113615",397,441,1044,1185,845,911,344,821,778,1007,954,837,856
"ENSG00000113621",677,717,410,371,302,444,349,336,383,952,890,914,925
"ENSG00000113638",764,597,215,282,232,701,502,493,588,1167,1032,1159,937
"ENSG00000113643",827,1030,3251,3353,2647,3459,2871,2929,3052,1787,1529,1563,1766
"ENSG00000113645",426.00001,350.99999,180,147,128,91,73,102,65,109,102,131,122
"ENSG00000113648",3038.99999,3124,2501,2434,2459,4162,4060,3396,3297,10341,9446,9443,10821
"ENSG00000113649",2115.99999,2428.00001,3440,3227,2963,4539,2545,4243,4386,3351,3287,2886,3571
"ENSG00000113657",1093,1071,8590,8192,6945,15989,9783,15162,16929,10153,11699,8088,9369
"ENSG00000113658",1086.99999,1243,1824,1993,1584,2959,1380,2288,2333,2040,1864,2061,1975
"ENSG00000113712",2337,2438,4972,4836,3970,6390,4365,5280,5650,6480,6229,5924,6378
"ENSG00000113716",457,504.00001,1107,1210,986,1517,881,1311,1517,1164,1096,1094,1348
"ENSG00000113719",1225.99999,1281.00001,779,753,753,737,452,670,606,1321,1284,1121,1561
"ENSG00000113721",426.00001,383,402,458,303,451,179,461,419,255,326,331,219
"ENSG00000113732",894.99999,940.00001,2042,1737,1524,2195,2557,2187,2173,1455,1651,1459,1369
"ENSG00000113734",158,221,242,210,186,216,338,177,186,581,610,608,561
"ENSG00000113739",320,137,2401,1857,1775,1923,1216,1744,2112,2205,2405,1678,2167
"ENSG00000113742",391.00001,373.00001,221,309,218,203,120,156,183,382,487,348,364
"ENSG00000113758",2244,2101.00001,7930,6932,6284,7603,5764,8077,8792,10730,12335,8424,9988
"ENSG00000113761",521.99999,426,1064,911,825,1432,1179,1223,1357,1998,1944,1693,1695
"ENSG00000113763",81,53,47,43,31,114,82,107,118,132,153,64,168
"ENSG00000113790",16,50,88,107,97,103,39,88,95,65,68,68,63
"ENSG00000113810",3993,4632.99998,1808,1892,1542,2935,1757,2522,2494,3741,2834,3048,4007
"ENSG00000113811",1170,1471,967,929,924,1434,2154,1332,1164,1818,1856,2063,1847
"ENSG00000113812",280,275,778,795,585,980,521,743,889,1177,1043,1001,977
"ENSG00000113838",283,422,530,578,474,811,759,673,706,953,897,946,914
"ENSG00000113845",1151,827,2542,2104,1960,1876,2230,1754,1686,1754,1845,1838,1708
"ENSG00000113851",456,736.00001,920,877,799,1769,1798,1319,1439,1542,1742,1989,1709
"ENSG00000113916",125,94.00001,78,61,67,198,141,199,191,226,192,205,229
"ENSG00000113966",424,420.00001,202,151,110,249,228,166,210,251,232,289,257
"ENSG00000113971",422,365,143,135,118,197,164,201,206,181,139,167,205
"ENSG00000114019",484.99999,467.99999,1973,1758,1729,1514,816,1384,1503,4248,5148,3924,3969
"ENSG00000114021",452,534,1168,922,773,652,810,518,536,829,873,967,813
"ENSG00000114023",875.00001,1180,5481,4730,4470,10382,12868,8974,8839,3070,3239,3246,2890
"ENSG00000114026",555.00002,596,792,648,664,867,887,822,905,988,971,877,815
"ENSG00000114030",984.00001,1301.99999,1821,2122,1604,2699,1453,2357,2261,3781,3495,3180,3392
"ENSG00000114054",576.99999,842,2855,2627,2380,3299,3065,2867,2956,2401,2166,2152,2278
