variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
14	4819	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.1454326190365534
15	3718	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.11220553591573057
16	3050	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.09204596141554014
17	2238	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.06754061037638649
18	1719	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.05187770743387327
19	1526	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.046053159711512866
20	1208	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.036456236521302456
21	931	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.02809665248454684
22	767	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.023147295870727634
23	636	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.019193846380420827
24	542	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.016357020028597624
25	409	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.012343212530805218
26	328	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.009898713227638415
27	266	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.008027614995584811
28	249	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.007514571931957211
29	214	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.00645830680095921
30	176	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.005311504658732808
31	153	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.004617387572648407
32	138	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.004164702516506406
33	132	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.003983628494049606
34	103	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0031084373855084046
35	99	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0029877213705372047
36	66	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.001991814247024803
37	63	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0019012772357964026
38	58	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0017503822170824024
39	49	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0014787711833972022
40	41	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0012373391534548019
41	40	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.0012071601497120018
42	45	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	0.001358055168426002
