H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5	14	7	5	5	17	9	9	9	11	2	2	0	12	4
22	20	51	54	16	32	23	25	25	30	25	22	18	13	52	46
3	3	12	28	9	4	5	4	1	1	2	0	4	2	10	4
8	21	47	67	13	13	6	9	19	8	13	13	4	3	29	37
10	22	50	71	13	14	6	9	20	9	13	13	4	3	29	39
5	5	23	28	2	4	1	3	5	9	5	4	4	1	3	2
68	82	185	221	57	61	97	126	80	75	53	69	17	13	71	87
74	80	200	170	51	64	169	205	69	75	37	64	12	12	65	72
32	40	84	68	19	27	93	113	31	40	21	30	2	3	34	41
0	0	0	1	1	2	0	1	1	0	1	0	0	2	1	1
1	1	2	3	0	3	1	3	1	3	1	2	3	0	5	1
3	4	14	17	4	6	14	7	4	9	6	7	2	4	15	12
1	1	6	5	4	1	4	3	2	3	1	3	2	1	6	1
9	8	42	51	8	11	7	9	1	3	2	2	1	4	24	20
32	18	263	240	21	25	8	10	0	3	7	2	2	1	6	5
1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
7	5	139	133	7	5	3	1	0	1	0	0	0	0	2	0
15	11	81	79	10	14	15	13	33	28	15	17	7	3	15	26
51	46	95	79	50	52	69	72	73	72	48	50	17	21	62	58
7	9	17	26	5	3	15	26	17	23	14	16	5	8	17	20
0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
2	0	0	1	0	0	1	2	0	2	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
208	185	299	325	183	199	442	357	141	154	155	149	66	56	272	285
0	1	1	1	1	0	1	1	4	2	8	2	0	0	2	3
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1	0	0	2	0	0	1	2	0	0	0	0	4	3
0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	3
2	3	1	1	0	0	0	0	0	2	0	0	0	0	5	3
2	0	2	1	0	1	0	2	2	1	0	1	0	1	2	3
4	6	3	8	2	4	2	2	6	3	2	3	2	2	11	6
2	5	6	7	0	0	1	1	4	1	2	0	1	1	8	5
7	12	28	46	7	4	12	8	9	18	12	9	5	5	40	40
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	2	1	2	1	0	1	1	0	1	0	0	0	4	1
0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
357	315	506	415	351	281	819	725	233	213	228	194	64	56	437	412
3	2	1	2	4	3	3	1	5	0	2	4	0	0	0	0
2	6	12	6	4	5	9	8	15	3	7	11	2	0	7	10
2	0	4	2	0	2	5	1	9	2	3	3	1	0	2	3
58	52	150	171	56	55	88	118	71	55	54	70	19	15	109	114
2	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
8	13	28	27	9	15	11	5	16	7	6	18	11	6	49	44
1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
141	133	336	353	136	106	350	332	143	161	143	140	58	58	266	280
11	7	9	9	8	7	6	6	10	8	12	14	4	4	28	33
3	2	1	0	4	2	1	0	7	1	1	2	0	0	5	0
0	0	1	0	0	1	0	0	4	0	0	1	0	0	3	1
2	1	4	3	2	2	1	0	1	3	1	2	0	0	3	2
