isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000259818.8	2261.70274	6818.07951	3365.41407	3189.77379	5136.91855
ENST00000260045.8	105.47401	543.74855	151.88973	169.80969	445.04659
ENST00000260058.9	18.73125	135.40053	21.99576	19.92008	95.84723
ENST00000260600.9	116.29749	51.51829	82.63373	74.48321	157.46917
ENST00000260777.14	1e-5	3.20506	5.09369	3.94134	0
ENST00000260983.8	0	16.89049	1e-5	0	17.55991
ENST00000261015.5	63.43633	1e-5	52.17073	69.08805	32.59767
ENST00000261168.9	98.99225	213.88823	278.86124	217.80225	411.183
ENST00000261600.11	100.04475	314.80105	120.41107	80.91071	273.7124
ENST00000261681.9	53.37008	94.91677	97.82844	94.34374	76.36618
ENST00000261692.7	378.70607	1912.25815	373.04051	471.12212	1488.00059
ENST00000261708.9	195.55366	382.7115	195.03137	195.98475	341.5029
ENST00000261799.9	214.221	215	196.87345	209.63387	227.24233
ENST00000261951.9	112.43359	482.39079	123.2903	140.72223	429.5844
ENST00000261978.9	46.82927	70	59	33	101.15068
ENST00000262074.8	78.98806	65.2776	92.07358	81.56921	70.70062
ENST00000262105.6	161.55783	57.88653	41.05257	132.52113	86.08974
ENST00000262146.9	112.33974	191.29523	152.42478	101.63321	159.14681
ENST00000262173.7	13.68244	3.19308	22.84416	70.76573	2e-5
ENST00000262188.13	58.50172	183.34507	70.58189	47.26432	144.21467
ENST00000262319.11	41.96558	208.45029	57.10244	50.80505	203.84431
ENST00000262506.8	127.77987	347.40123	165.56851	144.9685	358.45552
ENST00000262519.14	48.20222	134.37255	117.3263	90.21443	203.54721
ENST00000262547.9	0	24.17804	0	0	23.95164
ENST00000262584.7	7728.88394	14170.58876	9646.1278	7220.14025	13959.61992
ENST00000262662.5	17.16823	2.91281	9.21898	3.61022	5.86656
ENST00000262710.5	216.61327	61.54843	186.42532	104.97864	371.08682
ENST00000262713.7	109.13453	281.86048	80.67927	130.14126	251.90066
ENST00000262738.9	121.78621	59.12589	17.69014	24.50348	101.22543
ENST00000262765.10	10.6352	70.65852	8.84763	4.64567	19.34287
ENST00000262768.11	203.08203	709.05881	270.21374	132.13313	963.81703
ENST00000262803.10	26.93462	199.85219	44.11296	60.30256	158.23329
ENST00000262858.8	0	2.59113	1.77638	2.95751	11.46466
ENST00000262903.9	73.05505	166.9445	81.38018	100.16857	137.08911
ENST00000262960.14	63.03162	169.85007	69.28626	34.12681	198.84676
ENST00000263083.12	29.51983	100.45106	89.61667	36.374	61.53689
ENST00000263084.7	84.10489	241.28573	69.18077	93.15755	300.949
ENST00000263119.10	97.0081	109.48536	126.44522	108.59318	109.87907
ENST00000263317.9	2.37417	20.56951	0	1.47277	32.3982
ENST00000263390.8	19.02374	82.98684	12.63416	33.07298	40.4999
ENST00000263441.11	44.45022	0	24.03364	21.04376	0
ENST00000263461.11	195.80128	324.01526	193.52282	234.02226	295.2059
ENST00000263468.13	207.33013	306.341	179.09511	136.11475	176.48391
ENST00000263512.5	12.56995	63.89468	11.95545	7.81062	73.82395
ENST00000263574.9	100.79213	81.66618	98.27681	56.39812	261.57228
ENST00000263666.9	171.56893	168.86343	150.69105	223.47338	119
ENST00000263710.8	23.49454	93.92668	52.23908	148.65161	5e-5
ENST00000263733.5	172.62452	144.86451	191.94805	192.58445	163.85824
ENST00000263846.8	68.27858	925.16732	133.60467	68.55792	646.92361
ENST00000263956.8	162.73659	277.3277	209.55516	197.29513	217.32912
ENST00000263991.9	73.10136	105.4816	77.8819	70.57598	78.04143
ENST00000264005.10	19.60062	7.67529	14.28098	10.37667	25.17992
ENST00000264051.8	48.49284	8.56022	20.09198	10.8	55.8647
ENST00000264057.7	69.44963	180.8688	72.91481	23.0964	192.37147
ENST00000264059.8	8.36633	118.90644	11.66771	15.01979	113
ENST00000264221.6	17.22104	4e-5	146.45733	3e-5	1459.01284
ENST00000264344.10	135.4588	256.21805	168.90369	75.63223	168.41022
ENST00000264447.9	431.25882	1636.13023	539.48238	498.38191	878.86766
ENST00000264485.11	17.90542	115.7268	17.45236	13.69378	62.54683
ENST00000264499.9	147.55973	203.35917	162.59693	154.02909	132.77489
ENST00000264554.11	70.45646	226.27666	86.42941	86.14008	186.84583
ENST00000264658.11	312.29628	286.18447	312.14802	312.07797	273.58152
ENST00000264670.11	114.32415	191.94301	84.44224	69.93867	203.82965
ENST00000264748.6	119.24045	91.82804	107.31106	87.16561	177.17617
ENST00000264758.11	144.79243	330.11571	106.5965	194.38046	404.81975
ENST00000264805.9	16.26898	27.62187	19.34672	19.6811	5.4395
ENST00000264868.9	0	33.9339	0	0	4.93248
ENST00000265104.5	3.5	0	2.79607	5	0
ENST00000265136.12	0	0	4.84988	4.88905	11.99237
ENST00000265175.5	331.90051	327.795	478.44088	309.42815	340.66665
ENST00000265229.12	53.9426	98.9826	66.80464	57.68228	63.65776
ENST00000265272.9	108.40645	558.1716	117.18749	142.43585	447.3352
ENST00000265293.9	65.27951	85.34329	69.96579	81.86015	104.10781
ENST00000265333.8	176.57477	100.17446	208.72355	173.65447	159.66404
ENST00000265350.9	85.64626	172.63776	82.78274	85.88913	161.46729
ENST00000265351.12	211.49034	560.40284	237.48877	243.27303	520.88389
ENST00000265393.10	271.29519	1362.05511	528.01646	462.76207	951.25928
ENST00000265437.9	6.90197	12.84774	4.47963	2.40972	3.68192
ENST00000265460.9	123.62934	36.25736	72.92261	163.54159	40.6053
ENST00000265620.11	3.4e-4	344.70957	100.01371	208.66965	230.90529
ENST00000265651.8	151.0529	304.9229	157.13305	182.80494	259.41484
ENST00000265663.12	19.47732	123.46384	9.41902	18.49338	158.19596
ENST00000265728.6	85.29936	451.06643	141.80085	115.86472	404.04988
ENST00000265755.7	19.09987	77.1793	19.45271	16.57661	102.1899
ENST00000265800.9	0	1.3251	0	0	0
ENST00000265801.6	32.22308	44.3401	52.57952	20.97681	50.69256
ENST00000265849.12	0	0	0	18.3009	0
ENST00000265865.3	6.92627	11.90159	19.66798	5.47085	0
ENST00000265881.10	117.3607	334.28469	139.63046	111.69651	390.3124
ENST00000265960.8	53.17679	176.89854	62.46928	17.19519	259.94766
ENST00000265970.11	168.74156	122.53384	180.03832	192.37578	83.46577
ENST00000265978.8	26.14849	102.38019	35.81417	51.47169	121.4411
ENST00000265993.13	176.76962	420.32622	234.61453	269.33996	446.22707
ENST00000266014.11	154.46375	337.3283	203.2951	162.50689	299.0377
ENST00000266022.9	94.09557	243.70032	97.95611	84.73053	194.20511
ENST00000266039.7	8.43773	0	0	0	0
ENST00000266041.9	2.1094	12.5	0.83043	0	15.8967
ENST00000266068.5	82.06567	0	78.19878	79.70091	0
ENST00000266458.10	278.47169	312.15321	281.10385	199.40763	214.65299
ENST00000266682.10	37.35423	206.76742	59.77486	59.94361	144.08277
ENST00000266971.8	21.06388	82.48211	34.26769	33.71705	65.34276
ENST00000267219.12	64.52494	72.37626	10.90724	97.72982	50.01165
ENST00000267229.11	11.75751	55.47797	22.41112	27.63439	33.63918
ENST00000267430.10	21.57678	148.76435	21.8152	29.22501	89.44442
ENST00000267488.9	10.44229	57.94798	38.60186	31.59634	41.12953
ENST00000267836.10	79.17962	274.78416	58.21266	78.94451	469.24524
ENST00000268043.8	17.35524	145.25981	17.43346	15.07773	126.55835
ENST00000268049.11	6.81862	4e-5	33.37362	15.00729	4e-5
ENST00000268124.11	0	6.46909	1e-5	7.28099	2.79583
ENST00000268148.13	20.82905	75.8528	31.15224	80.86549	51.84906
ENST00000268206.12	71.10519	265.95418	91.03225	103.71311	182.24448
ENST00000268489.10	111.77968	411.46331	35.34805	98.3069	353.76475
ENST00000268676.11	16.58462	24.30234	6.78324	38.97869	19.12589
ENST00000268763.10	3.49658	0	0	0	1.29129
ENST00000268896.10	23.30826	76.6624	51.50872	42.75079	76.49166
ENST00000268989.8	65.65588	15.50262	44.37901	12.88308	43.02601
ENST00000269095.9	72.55651	88.01468	149.10794	102.33759	72.62063
ENST00000269137.11	52.23497	337.34146	88.89145	93.74338	282.10756
ENST00000269243.8	401.16403	1455.09663	461.17913	322.90278	1349.37404
ENST00000269305.9	26.03384	34.49998	0	33.55252	9.82726
ENST00000269439.12	156.57296	408.75095	161.49793	103.80271	322.42609
ENST00000269445.10	170.20318	289.03035	226.1666	161.92864	308.17986
ENST00000269571.10	56.14905	158.27934	25.51704	41.83574	163.80979
ENST00000270061.12	59.70383	134.34335	45.23084	55.86895	143.40128
ENST00000270457.8	0	4	0	0	1.41399
ENST00000270460.11	269.10791	398.44836	230.24212	206.35687	643.92868
ENST00000271651.8	6.0926	0	5.45628	53.89067	2.65588
ENST00000271883.9	19.12807	64.30487	43.96075	50.45556	77.99082
ENST00000272163.9	391.68765	1368.78961	415.33043	430.69366	996.20501
ENST00000272317.11	1012.55348	868.31996	1301.19021	1137.43362	964.3256
ENST00000273062.7	103.22831	273.99999	112.69547	73.61078	356.69803
ENST00000273368.8	9.01802	30.12605	18.66756	11.92594	19.25866
ENST00000274030.11	0	0	4.41658	4.44391	1e-5
ENST00000274569.9	50.48803	102.2921	63.60167	30.04675	120.96404
ENST00000274867.9	12.65107	3.90335	0	10.28362	20.7541
ENST00000274979.12	3.37554	1.13133	1.61249	7.81883	4.05115
ENST00000275233.12	30.74864	196.46683	58.43235	46.16991	193.61093
ENST00000275428.9	145.79852	458.60884	194.95428	145.28	384.51537
ENST00000275607.13	25.0514	2.46822	27.44102	45.79186	3.02469
ENST00000275884.10	68.9851	196.43992	61.08248	81.20084	111.28666
ENST00000276052.10	369.74773	0	144.9134	395.00289	2e-5
ENST00000276393.8	4.60193	0	0	15.50886	1.94898
ENST00000276431.9	50.88403	67.5158	83.62752	15.98523	77.98246
ENST00000276480.11	1e-5	32.60399	0	0	7.53867
ENST00000276533.4	1.78	35.54552	0	0	37.6488
ENST00000276609.8	136.8537	4.84266	54.49958	35.31134	6.0216
ENST00000276646.14	62.63102	40.17274	37.90278	34.7371	17.15684
ENST00000276898.3	0	1.97819	95.53669	104.02846	0
ENST00000277010.9	100.27148	448.58016	152.54524	99.24271	448.69161
ENST00000277540.7	91.11393	160.28667	66.1761	84.91521	172.47093
ENST00000277632.8	117.60403	238.07027	154.73519	81.25193	255.98202
ENST00000278071.6	43.90443	38.52483	63.81891	46.65047	41.99575
ENST00000278198.2	106.10838	50.71846	53.42954	68.75726	48.28941
ENST00000278407.9	97.65303	472.77115	159.03752	143.40054	562.66343
ENST00000278826.11	73.38845	157.15614	63.6641	64.38186	146.95912
ENST00000278836.10	98.20698	92.63288	82.66363	109.35386	139.74143
ENST00000278886.11	210.57254	350.57483	219.26623	223.68338	276.9768
ENST00000279024.9	12.85035	2.36647	10.87365	58.1561	4.67824
ENST00000279027.9	26	9.54272	19.14867	45	7.49918
ENST00000279394.7	76.44768	110.75813	66.49582	83.1541	104.59133
