isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
ENST00000259605.11	66.87403	11.47221	61.75626	45.59017
ENST00000259711.11	37.9111	23.15829	19.22406	11.76563
ENST00000260128.8	97.30495	91.82831	62.01013	21.28776
ENST00000260382.10	219.28469	596.9982	187.18525	356.26387
ENST00000260570.8	103.49047	93.65681	145.03778	72.08182
ENST00000260810.10	84.1697	449.33333	130.38609	454.25087
ENST00000261017.9	343.19313	562.125	217.61673	520.56965
ENST00000261018.12	12.16436	55.22446	21.43072	54.69454
ENST00000261178.9	3.38851	16.25372	0	11.62725
ENST00000261183.8	0.66312	546.24656	145.43461	276.87231
ENST00000261377.11	63.27721	65.72851	73.08117	62.12532
ENST00000261441.9	185.40657	3.41481	196.22951	4.2212
ENST00000261569.11	27.38367	41.68438	19.83513	31.59683
ENST00000261600.11	171.06474	314.80105	162.54968	273.7124
ENST00000261609.13	94.28483	115	92.5984	148
ENST00000261716.8	1220.25743	1120.08414	1197.05706	897.81346
ENST00000261735.4	1040.79977	1237.72551	789.91476	1390.99702
ENST00000261741.10	405.40022	220.2251	284.73645	251.60044
ENST00000261749.11	266.50348	285.73824	325.26284	242.99184
ENST00000261799.9	243.17691	215	99.5284	227.24233
ENST00000261837.12	1073.42658	216.14901	1931.86689	210.3331
ENST00000261862.8	18.81539	34.7125	30.32106	15.51659
ENST00000261891.7	10.74857	4.30937	15.42676	0.28918
ENST00000261908.11	316.12926	370.06028	262.54666	470.34401
ENST00000261973.12	2095.36464	1545.09241	1528.33373	1258.44359
ENST00000262052.9	180.05938	111.30969	154.98226	83.64675
ENST00000262124.15	216.98186	369.98396	155.01854	291.67096
ENST00000262135.9	29.43096	97.53267	21.17143	101.98012
ENST00000262146.9	226.16675	191.29523	314.34112	159.14681
ENST00000262197.7	16.27142	13.05054	9.2559	21.69116
ENST00000262300.13	26.68908	89.649	8.02859	153.6945
ENST00000262315.14	41.40727	129.72018	16.65562	172.40553
ENST00000262406.10	439.62473	8.68194	642.49273	30.35368
ENST00000262407.6	50.24879	23.89094	57.24956	29.16399
ENST00000262442.9	3.65105	32.31663	24.83665	12.12436
ENST00000262464.9	609.37549	1109.95715	350.97522	960.49173
ENST00000262506.8	236.79308	347.40123	183.97528	358.45552
ENST00000262539.7	0	4.60948	5.40638	0
ENST00000262593.10	103.08342	43.26667	69.54717	84
ENST00000262607.3	6.99614	0	3.25796	2.55932
ENST00000262608.13	692.90324	403.71437	475.55327	328.25649
ENST00000262631.11	36.23617	0	15.14487	3.72581
ENST00000262650.11	24.67559	9.28037	6.94549	0
ENST00000262662.5	266.48343	2.91281	12.38286	5.86656
ENST00000262710.5	738.78436	61.54843	583.2386	371.08682
ENST00000262738.9	118.53578	59.12589	85.24132	101.22543
ENST00000262891.9	409.38059	375.29589	306.43239	445.75166
ENST00000262960.14	154.53028	169.85007	185.96491	198.84676
ENST00000263062.8	232.07032	84.49091	18.67723	7.02543
ENST00000263083.12	4.32216	100.45106	50.65297	61.53689
ENST00000263084.7	352.91926	241.28573	324.84723	300.949
ENST00000263119.10	258.3027	109.48536	304.03436	109.87907
ENST00000263257.6	455.71251	244.13684	342.58448	170.49724
ENST00000263274.12	110.95475	597.15955	75.28948	577.86641
ENST00000263280.11	189.46621	291.36705	231.25227	290.47837
ENST00000263441.11	31.78304	0	46.64917	0
ENST00000263512.5	41.6564	63.89468	31.34118	73.82395
ENST00000263574.9	67.80206	81.66618	63.3898	261.57228
ENST00000263630.13	464.87233	512.35515	474.30149	316.10702
ENST00000263650.12	48.98793	53.76739	31.7862	98.15514
ENST00000263666.9	204.8645	168.86343	207.85764	119
ENST00000263710.8	236.12742	93.92668	136.33939	5e-5
ENST00000263776.9	9.96971	13	3.59803	15.77269
ENST00000263834.9	30.74294	4.27238	14.16241	1.08123
ENST00000264057.7	414.19075	180.8688	560.8919	192.37147
ENST00000264059.8	25.97286	118.90644	11.32684	113
ENST00000264157.10	297.63919	530.66119	324.722	398.0682
ENST00000264183.9	416.89384	889.42447	898.39764	759.15654
ENST00000264344.10	257.83693	256.21805	216.58659	168.41022
ENST00000264400.7	461.23327	173.87998	431.53803	190.32433
ENST00000264444.7	219.29965	113.0339	242.93382	98
ENST00000264499.9	418.9535	203.35917	543.2262	132.77489
ENST00000264515.11	74.68354	154.28571	103.91489	215.35714
ENST00000264663.9	41.50954	128.61056	23.73252	78.10654
ENST00000264669.10	91.32041	49.53467	99.03807	48.23161
ENST00000264709.7	660.43673	337.91277	393.48335	239.31067
ENST00000264805.9	36.6687	27.62187	10.61836	5.4395
ENST00000264811.9	0	0	0	0
ENST00000264914.10	158.18582	187.7517	175.0546	218.78419
ENST00000264951.8	221.14245	121.22433	121.78587	219.39766
ENST00000264992.8	55.80361	67.49104	0.66667	22.56568
ENST00000265052.10	49.91544	6.9037	10.02078	41.06405
ENST00000265080.9	509.26797	99.46379	839.48268	109.3795
ENST00000265113.9	674.86334	123.06987	391.0069	98.36522
ENST00000265136.12	48.66397	0	149.88879	11.99237
ENST00000265295.9	242.69785	458.13712	162.25633	465.63653
ENST00000265316.9	230.01398	46.60466	276.73732	50.95575
ENST00000265381.7	39	27	59	33
ENST00000265393.10	1494.3559	1362.05511	834.86943	951.25928
ENST00000265421.9	138.09664	161.25849	150.02797	106.36205
ENST00000265450.5	68.29788	1e-5	48.5224	0.30972
ENST00000265529.7	3.72717	7.63524	4.37043	2.83102
ENST00000265577.11	3.04386	17.12311	0	16.69486
ENST00000265602.11	173.77804	156.50553	217.44145	67.04248
ENST00000265709.14	42.08228	36.70277	34.98582	28.12413
ENST00000265713.8	491.91629	688.1134	392.61864	646.8901
ENST00000265717.5	183.8639	198.88808	286.64207	158.48656
ENST00000265728.6	171.9474	451.06643	83.21164	404.04988
ENST00000265748.7	121.42857	249.30514	35.29768	210.71014
ENST00000265755.7	70.37579	77.1793	54.02258	102.1899
ENST00000265810.8	3.58312	0	8.52325	3.59475
ENST00000265986.11	189.4846	362.63414	233.76302	283.3407
ENST00000265997.5	50.83761	25.11538	43.36329	31.93155
ENST00000266068.5	74.35505	0	101.73432	0
ENST00000266458.10	652.33184	312.15321	932.22545	214.65299
ENST00000266503.10	39.61149	12.62131	32.49306	35.04091
ENST00000266880.11	11.29562	4.19479	41.27226	3.17957
ENST00000266943.11	115.21727	29.67399	170.70873	18
ENST00000267215.8	63.60524	3.98343	13.00663	9.62816
ENST00000267436.9	153.02022	64.13636	128.71731	96.21538
ENST00000267484.10	235.31206	147.98468	312.22573	85.50133
ENST00000268043.8	0	145.25981	0.73745	126.55835
ENST00000268148.13	64.80091	75.8528	50.28607	51.84906
ENST00000268603.9	615.39743	1259.44389	373.63498	1002.33159
ENST00000268676.11	10.18584	24.30234	9.77015	19.12589
ENST00000268699.9	79.26447	34.73381	13.00942	0
ENST00000268711.4	168.96552	205	143	182
ENST00000269051.9	220.84614	217.5237	252.15627	129.54689
ENST00000269197.12	41.87195	63.31272	25.90312	38.64409
ENST00000269299.8	46.69199	43.90001	72.52727	36.63918
ENST00000269439.12	192.12573	408.75095	156.00181	322.42609
ENST00000269445.10	215.65801	289.03035	223.88517	308.17986
ENST00000269571.10	69.48494	158.27934	22.30287	163.80979
ENST00000269844.5	1.46847	0	2.52259	1.23037
ENST00000270139.8	170.25034	127.42312	240.84358	153.35271
ENST00000270176.10	234.17543	214.64077	192.01314	228.40052
ENST00000271373.9	130.40339	19.79065	185.21011	30.05556
ENST00000271411.8	41.17465	62.48927	18.57123	25.52689
ENST00000271620.8	125.45646	95.67712	103.31555	86.55088
ENST00000271651.8	47.85975	0	17.66113	2.65588
ENST00000271883.9	104.77014	64.30487	103.24405	77.99082
ENST00000272274.8	18.55142	23.14367	12.53415	33.00758
ENST00000272321.12	71.03767	78.32004	110.79994	138.4757
ENST00000272322.9	222.30011	297.55914	150.68691	357.89183
ENST00000272433.7	232.47242	43.51331	183.68687	64.49648
ENST00000272438.9	335.77917	403.71181	378.82447	390.70999
ENST00000272746.9	0	25.53265	3.16779	18.96074
ENST00000272902.10	158.64461	125.21553	104.11023	80.70018
ENST00000272907.8	109.02433	59.4602	78.97194	31.74286
ENST00000273009.10	54.79059	5.49273	38.73238	25.26253
ENST00000273130.9	716.29709	831.33818	893.36464	799.467
ENST00000273353.5	0	1.66397	38.44437	0
ENST00000273368.8	9.38187	30.12605	2.91656	19.25866
ENST00000273666.10	79.91998	4.89466	49.76286	8.46639
ENST00000274134.5	10.99773	54.32129	12.10617	26.98871
ENST00000274254.9	37.97468	63.22917	39.02353	40.13256
ENST00000274255.11	228.10636	923.8017	147.65317	741.9728
ENST00000274680.9	91.24839	128.67053	101.04792	107.18089
ENST00000274867.9	7.05957	3.90335	11.49192	20.7541
ENST00000275235.8	3.24661	5.79924	3.32221	1.1453
ENST00000275605.8	120.39062	58.316160000000004	100.36357	91.27858
ENST00000275884.10	172.53518	196.43992	62.30869	111.28666
ENST00000276052.10	394.26353	0	414.39022	2e-5
ENST00000276201.7	309.90695	199.10317	337.56764	183.34043
ENST00000276393.8	27.44842	0	0	1.94898
ENST00000276431.9	56.98778	67.5158	56.93166	77.98246
ENST00000276520.12	122.82424	16.24118	154.05503	24.65317
ENST00000276602.10	201.76004	265.31697	124.70077	178.71361
ENST00000276603.10	654.62473	406.20295	519.06248	323.66013
ENST00000276646.14	29.72466	40.17274	45.47728	17.15684
ENST00000277540.7	117.65636	160.28667	123.85213	172.47093
ENST00000277817.10	109.20228	13.63929	22.12232	26.19736
ENST00000278070.7	163.1586	200.82076	127.44875	232.76865
ENST00000278590.8	9.35185	12.95278	5.91458	17.79767
ENST00000278772.9	25.59237	70.0848	43.53901	39.47611
ENST00000278833.4	2471.27383	15	3203.76703	25
ENST00000278856.9	221.14153	165.454	234.59008	184.99695
ENST00000279024.9	67.05668	2.36647	11	4.67824
ENST00000280241.12	109.9972	50.78116	10.03652	41.65706
ENST00000280346.11	211.34483	372.83796	195.40447	374.46636
ENST00000280560.13	36.44635	23	22.30004	27.62587
ENST00000280969.9	90.33974	355.38279	70.02633	222.42554
ENST00000281129.7	19.72308	3e-5	76.39053	3e-5
ENST00000281405.9	184.33549	299.8421	106.49291	200.93159
ENST00000281523.8	328.15958	500.22011	353.8289	275.52918
ENST00000281923.4	187.56536	56.30137	121.08816	37.62035
ENST00000281961.3	104.28571	133.98366	80.33145	92.17665
ENST00000282007.7	1303.95056	757.92724	894.99959	482.09404
ENST00000282110.8	25.23615	12.03069	20.06473	11.86463
ENST00000282185.8	116.05571	68.41207	31.43469	50.51255
ENST00000282268.7	0	0	5.64705	8.71001
ENST00000282292.9	33.211	41.21229	28.60828	24.49723
ENST00000282369.7	109.37234	147.50685	286.47772	118.79903
ENST00000282397.9	1130.92807	10.77239	924.81189	16.0703
ENST00000282903.10	0	5e-5	1.6e-4	71.29654
ENST00000282999.7	26.81902	3.84454	10.24542	3.89274
ENST00000283254.12	139.2461	78.9129	82.78293	52.89935
ENST00000283256.10	29.12237	0	0	0
ENST00000283268.8	315.09033	272.03214	164.97637	331.98437
ENST00000284440.9	1444.2636	2357.7604	1578.1278	2042.4379
ENST00000284548.16	26.89243	74.09248	21.27761	70.21276
ENST00000284617.7	51.50629	12.20958	57.38677	5.78125
ENST00000284776.11	0	13.26162	40.66838	56.59779
ENST00000284995.11	15.11666	35.93838	22.47164	21.74857
ENST00000285071.9	248.57614	96.41859	230.38719	82.33338
ENST00000285908.5	94.93804	39.0563	79.62536	42.04207
ENST00000286122.11	16.81034	0	5.9882	3.49035
ENST00000286544.5	63.81818	12.89044	48.30679	13.33333
ENST00000286692.8	44.16826	22.64102	73.32269	21.93994
ENST00000287156.9	463.45182	361.18557	413.16537	316.86618
ENST00000287275.6	23	9.16667	18	13.57143
ENST00000287387.7	105.95796	186.80028	102.92467	148.60003
ENST00000287463.8	34.75921	21.14102	13.65001	12.52137
ENST00000288350.8	11.89023	7.24588	0.85717	2.28138
ENST00000288398.10	157.66563	21.8069	266.24231	137.27496
ENST00000288422.4	86.73525	104.60337	65.2415	37.79052
ENST00000288532.11	198.80073	411.07898	155.90214	382.9843
ENST00000289316.2	49	59	56	51.95327
ENST00000289371.11	2423.0219	2502.73444	1837.78126	2563.06953
ENST00000289495.7	37.56332	36.48722	78.25851	33.54021
ENST00000289577.9	72.42587	33.19987	34.04958	14.40228
ENST00000289734.13	46.77001	26.62661	51.67708	20.5451
ENST00000289815.13	21	12.30087	19	8.72277
ENST00000289877.8	22.369	4.89761	30.33277	2.45925
ENST00000290039.6	135.77785	177.97675	80.13257	60.59911
ENST00000290291.10	149.58709	238.81718	69.10247	140.59631
ENST00000290390.9	0	0	0	0
ENST00000290541.7	1652.43153	1764.31206	1275.77656	1706.87473
ENST00000290583.9	488.94149	328.34204	433.63028	285.1475
ENST00000290585.8	102.50359	16.30195	116.78885	6.67907
ENST00000290881.11	113.9638	33.56244	110.94487	42.1319
ENST00000290942.9	4.17937	34.50487	5.25367	14.41858
ENST00000290943.10	0	11.88481	1.41781	21.69537
ENST00000291182.9	44.33393	34.80581	45.92192	70.4618
ENST00000291598.11	16.28878	0	18.56361	1.91989
ENST00000291775.3	136.07864	144.63875	108.55759	58.81152
ENST00000291825.11	23.40631	25.14517	0.39029	6.75728
ENST00000292147.7	93.69669	117.57776	102	145.46368
ENST00000292254.8	93.89471	32.88735	82.27444	11.60375
ENST00000293195.10	35.2755	34.66527	49.07882	61.1877
ENST00000293422.9	3150.30483	4323.23715	2083.63473	4201.37198
ENST00000293618.12	212.46875	36.74155	288.18853	2.87739
ENST00000293831.13	4100.9142	4615.7806200000005	3034.93275	4427.90814
ENST00000294489.10	151.86377	189.21243	71.2261	171.49548
ENST00000294785.10	539.77693	480.61763	483.0836	502.66249
ENST00000295049.9	152.72727	98.7963	116.56477	48.95013
ENST00000295050.12	127.45901	135.4052	127.96628	115.39549
ENST00000295238.11	220.17341	131.34945	196.17166	55.39348
ENST00000295566.8	0	0	0	29.09069
ENST00000295750.5	14.87294	0	4.94248	10.72753
