isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
ENST00000240731.5	4.87375	7.32128	4.56285	4.8081
ENST00000241069.11	11.82659	0.82765	3.08285	0.6874
ENST00000242285.11	17.55068	0.95123	34.47557	1.03093
ENST00000242776.9	21.64871	62.55802	14.36459	60.25442
ENST00000242839.10	6.28492	1.45402	1.0718	1.8123
ENST00000242848.8	3.18504	58.96806	1e-5	52.64848
ENST00000243050.5	1.62926	0	0.87292	0.2461
ENST00000243786.3	2.86549	1.04452	1.81148	5.17018
ENST00000243878.9	7.67692	17.99305	6.84641	17.19968
ENST00000243964.7	9.78858	0.09948	8.33464	0.10942
ENST00000244289.9	1.78395	0.11949	0.88142	0
ENST00000244364.10	6e-5	3e-5	51.33315	28.06861
ENST00000245121.10	0	0.85937	0.18298	1.17018
ENST00000245157.11	3.8776	9.0939	8.12979	8.03928
ENST00000245222.9	8.25994	5.8103	2.37243	3.42395
ENST00000245407.8	7.83737	1.38285	2.76708	1.66052
ENST00000245618.5	0.53956	0.28324	0.08962	0.215
ENST00000246015.8	23.00014	9.60962	16.05347	13.89067
ENST00000246112.9	7.69028	3.35376	4.24839	3.48465
ENST00000246139.9	3.46615	1.56678	3.17834	2.63956
ENST00000246784.8	2.91909	0.66351	2.77935	17.0379
ENST00000246785.7	2.91909	16.34082	0.27492	2.39674
ENST00000247087.10	6.56545	3.45847	4.94496	8.06064
ENST00000247178.6	19.91341	8.418	21.07193	12.79565
ENST00000247194.9	4.2853	2.14378	7.24402	5.18143
ENST00000247226.13	4.81303	5.40221	2.90425	10.70407
ENST00000247295.4	0.19005	0	0.28385	0
ENST00000247815.9	1.75379	1.79594	3.13416	0.67936
ENST00000247933.9	1.07481	4.25268	0.93323	0.58708
ENST00000247956.11	6.66786	8.66232	5.80103	8.35546
ENST00000248104.11	1.03145	0.53122	1.02496	0.47213
ENST00000248139.8	2.26146	2.87142	1.03067	5.2507
ENST00000248484.9	0.20633	0.90369	0.02315	1.8155
ENST00000248553.7	35.07568	60.16218	35.74861	115.93966
ENST00000248594.11	40.65471	50.58822	35.62353	42.79703
ENST00000249269.9	24.07481	44.48892	27.56979	49.86446
ENST00000249377.4	0.63233	7.44346	0	2.78763
ENST00000249837.7	40.70796	47.50139	33.74883	33.57958
ENST00000250056.12	0.60417	16.3388	0	15.39996
ENST00000250173.5	0.59019	0.63506	0.97156	0.08086
ENST00000250237.10	10.13256	10.92008	7.9598	13.37386
ENST00000250377.11	1.49888	1.86258	1.56834	2.78659
ENST00000251507.8	2.64191	0.37854	2.50015	0.31542
ENST00000251607.11	4.75823	8.582	1.44707	8.96914
ENST00000251739.9	0.08143	0	0.35459	0
ENST00000252034.12	7.47434	0.96612	5.4485	0.99576
ENST00000252136.12	4.20754	8.74583	6.16979	13.24661
ENST00000252268.8	7.05252	0.65659	8.33343	0
ENST00000252483.10	20.66564	36.23313	13.39874	43.92126
ENST00000252485.8	26.371	23.65175	22.95184	35.31827
ENST00000252595.12	7.69478	4.4182	1.91559	6.95036
ENST00000252729.7	1.49418	2.98434	0.79955	1.43628
ENST00000252891.8	14.25259	13.4841	11.36861	15.18611
ENST00000252939.9	1.60907	1.06069	2.07719	2.40736
ENST00000253048.10	18.59717	13.54474	19.47175	18.0176
ENST00000253099.11	27.498169999999998	12.39791	23.8065	26.89217
ENST00000253144.13	2.13272	5.12803	1.30257	4.63779
ENST00000253363.11	39.01574	80.29908	22.34987	56.83834
