isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000257566.7	0	3.66667	5.25637	2.41176	8.46379
ENST00000257895.10	53.1111	32.97794	21.03469	21.97748	42.96508
ENST00000257897.7	47.55235	38.57132	18.35286	49.46978	30
ENST00000258052.8	61.5	18	29	78	22.81501
ENST00000258098.6	37.97046	0	0	22.14486	0
ENST00000258173.11	207.3612	113.10823	114.81847	182.0817	83.20738
ENST00000258390.12	8.08973	20.14822	6.7205	30.65583	7.50784
ENST00000258607.10	235.28822	137.53175	0	2e-5	2e-5
ENST00000258770.8	189.03614	89.60063	150.54496	131.18163	73.00474
ENST00000258975.7	161.61944	39.94453	78.61765	186.14057	56.4902
ENST00000259008.7	59.9365	53.42871	49.31963	15.58522	57.69855
ENST00000259119.9	522.42459	325.31202	360.48996	6.15123	648.23486
ENST00000259395.4	16.95565	26.86745	26.83691	15.39072	18.28844
ENST00000259523.10	2.07161	0	0	2.43459	1.08452
ENST00000259711.11	37.9111	30.72109	11.98126	19.22406	15.08425
ENST00000259748.6	39.9875	54.67516	46.78882	41.6577	27.6935
ENST00000260600.9	46.717529999999996	116.29749	82.63373	19.24486	74.48321
ENST00000260777.14	10.23147	1e-5	5.09369	6.13844	3.94134
ENST00000260983.8	9.8233	0	1e-5	2e-5	0
ENST00000261178.9	3.38851	2.67068	4.93628	0	3.90282
ENST00000261336.7	0	1	49.48523	89	6
ENST00000261439.9	27.12758	44.86929	43.05225	17.55972	24.56413
ENST00000261646.11	279.27968	34.15851	55.72849	173.69411	69.33267
ENST00000261655.8	56.17759	41.44188	15.23579	82.32732	24.52348
ENST00000261708.9	321.5155	195.55366	195.03137	306.2061	195.98475
ENST00000261741.10	405.40022	85.91246	71.80743	284.73645	60.2411
ENST00000261835.8	61.79526	18.01433	26.0899	59.50561	39.89708
ENST00000261862.8	18.81539	8	2.87869	30.32106	7.44599
ENST00000261892.11	179.45509	16.32831	13.96185	413.85127	6.5
ENST00000261900.8	246.68394	224.92308	280.6	214.30108	243.21348
ENST00000261908.11	316.12926	279.23136	240.7718	262.54666	303.06604
ENST00000262013.12	998.60097	493.61238	530.72015	873.24569	456.52013
ENST00000262134.10	75.65356	5.4704	11.84553	72.36271	9.11234
ENST00000262135.9	29.43096	29.87875	65.7563	21.17143	38.14256
