isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000250894.8	6.43347	3.12301	0	0.43827	0
ENST00000251849.9	18.76744	15.26624	9.11762	13.28734	7.67499
ENST00000251900.9	2.78536	6.36931	6.36625	7.4918	6.32311
ENST00000252268.8	7.05252	2.81396	1.35514	8.33343	2.12558
ENST00000252487.9	11.79939	3.6257	4.67373	7.5182	3.46207
ENST00000252622.15	38.97149	52.43673	39.92458	0.18968	44.40561
ENST00000252891.8	14.25259	18.05377	14.5031	11.36861	14.0976
ENST00000253099.11	27.498169999999998	6.67941	11.86399	23.8065	9.77725
ENST00000254079.9	20.64632	3.33549	4.41003	14.38005	6.37357
ENST00000254976.7	29.7032	8.42613	11.45322	59.83541	8.44991
ENST00000255006.12	17.3288	29.19031	23.59361	5.69073	23.88572
ENST00000255189.8	0.27871	0.25977	0.1166	0.29929	0.25249
ENST00000255194.11	3.33518	14.17576	16.86893	5.12284	30.07334
ENST00000255448.8	0.97832	0	2.09578	0	3.52182
ENST00000255465.8	0.75123	9.1996	24.38567	1.43669	10.17617
ENST00000255681.7	9.93325	10.76852	12.31286	7.79725	14.12501
ENST00000256062.9	0.61717	0	0	0.89776	1.43192
ENST00000256196.9	9.76993	5.56895	8.02602	8.33831	7.69349
ENST00000256429.8	28.93411	16.89877	18.56444	26.09281	18.23791
ENST00000256830.13	1.30228	1.09667	0.29736	2.59222	0.49229
ENST00000257261.10	0.97816	10.37267	9.56023	0	21.49143
ENST00000257414.12	12.21987	0.76827	3.16466	3.63387	1.00135
ENST00000257566.7	0	0.47624	0.6129	0.15065	1.06849
ENST00000257895.10	3.23807	4.28328	2.45268	1.37282	5.42403
ENST00000257897.7	2.89916	5.00977	2.13998	3.09012	3.78728
ENST00000258052.8	3.74952	2.3379	3.38145	4.87226	2.88023
ENST00000258098.6	2.31498	0	0	1.38328	0
ENST00000258173.11	12.64235	14.69087	13.38804	11.37371	10.50433
ENST00000258390.12	0.49321	2.61692	0.78362	1.91491	0.94781
ENST00000258607.10	14.345	17.86307	0	0	0
ENST00000258770.8	11.52512	11.63762	17.55381	8.19425	9.21632
ENST00000258975.7	9.85358	5.18813	9.16696	11.62725	7.13148
ENST00000259008.7	3.6542	6.93949	5.75076	0.97353	7.28402
ENST00000259119.9	31.85107	42.25258	42.03378	0.38424	81.83493
ENST00000259395.4	1.03375	3.48963	3.12923	0.96138	2.30878
ENST00000259523.10	0.1263	0	0	0.15208	0.13691
ENST00000259711.11	2.31136	3.99016	1.39704	1.20083	1.90428
ENST00000259748.6	2.43795	7.10139	5.45566	2.60214	3.4961
ENST00000260600.9	2.84826	15.1051	9.63524	1.20213	9.40296
ENST00000260777.14	0.62379	0	0.59393	0.38344	0.49757
ENST00000260983.8	0.5989	0	0	0	0
ENST00000261178.9	0.20659	0.34688	0.57558	0	0.4927
ENST00000261336.7	0	0.12988	5.77007	5.55938	0.75746
ENST00000261439.9	1.65391	5.82777	5.01997	1.09687	3.10104
ENST00000261646.11	17.02707	4.43662	6.49804	10.84978	8.75274
ENST00000261655.8	3.42502	5.38261	1.77652	5.14257	3.09591
ENST00000261708.9	19.60209	25.39915	22.74101	19.12713	24.74165
ENST00000261741.10	24.71636	11.15859	8.37288	17.78603	7.605
ENST00000261835.8	3.76752	2.33976	3.04213	3.71701	5.03672
ENST00000261862.8	1.14713	1.03907	0.33566	1.894	0.94
ENST00000261892.11	10.94098	2.12077	1.62798	25.85117	0.82058
ENST00000261900.8	15.03977	29.21374	32.71846	13.38629	30.70393
ENST00000261908.11	19.2737	36.26748	28.07442	16.39995	38.25988
ENST00000262013.12	60.8825	64.11198	61.88292	54.5472	57.63234
ENST00000262134.10	4.61243	0.71051	1.38121	4.52013	1.15037
ENST00000262135.9	1.79434	3.88075	7.6673	1.32247	4.81522
ENST00000262173.7	0	1.77712	2.66367	0	8.93366
ENST00000262188.13	11.52957	7.59839	8.22998	5.66819	5.96678
ENST00000262233.11	31.03786	71.45916	65.39621	47.49	93.50683
ENST00000262302.14	16.83522	19.0709	22.33839	13.70076	21.24452
ENST00000262315.14	2.52451	5.52407	5.8813	1.04039	6.4305
ENST00000262406.10	26.80295	2.82894	0	40.13324	2.56869
ENST00000262442.9	0.2226	0.64942	1.15171	1.55142	0.64683
ENST00000262593.10	6.28477	11.28438	10.99808	4.34426	18.55474
ENST00000262608.13	42.24478	30.83817	22.08612	29.70538	23.61083
ENST00000262631.11	2.20924	1.12186	1.02291	0.94602	0.6134
ENST00000262722.11	12.47325	43.07227	53.97903	6.46249	48.47993
ENST00000262765.10	1.80921	1.38133	1.03165	1.63769	0.58648
ENST00000262873.13	1.38788	7.89176	0.81621	3.66611	3.78109
ENST00000262919.10	17.76527	23.28576	25.79232	17.60789	19.71791
ENST00000263025.9	14.49937	22.52536	27.62487	15.01948	25.16602
ENST00000263033.9	0	0	0.46516	0.1621	0.65936
ENST00000263062.8	14.14881	15.05336	0	1.16667	4.61562
ENST00000263083.12	0.26351	3.83413	10.44946	3.16403	4.59195
ENST00000263084.7	21.51671	10.92382	8.0666	20.29155	11.76046
ENST00000263431.4	0.26228	2.59707	2.38199	1.56162	1.95401
ENST00000263468.13	14.91286	26.92871	20.88281	13.73462	17.1835
ENST00000263630.13	28.34224	31.73989	24.95209	29.62719	41.56335
ENST00000263741.12	2.11206	1.77902	1.6919	2.36767	0.61239
ENST00000264005.10	1.63703	2.54579	1.66519	2.12381	1.30998
ENST00000264057.7	25.2523	9.02034	8.502	35.03605	2.91575
ENST00000264167.11	1.43957	10.03586	0	1.80132	8.38507
ENST00000264181.6	0.06097	0.12988	0.2332	0.06657	0
ENST00000264344.10	15.71975	17.59383	19.69447	13.52906	9.54802
ENST00000264447.9	71.30434	56.0133	62.90462	77.34167	62.91709
ENST00000264498.9	13.90571	7.793	7.19058	11.7434	3.28231
ENST00000264554.11	24.64236	9.15111	10.07783	19.86698	10.87456
ENST00000264723.9	37.05868	9.14937	3.39772	17.63667	3.59747
ENST00000264748.6	6.06381	15.48734	12.51266	5.32395	11.00402
ENST00000264805.9	2.23561	2.11307	2.25586	0.66327	2.4846
ENST00000264868.9	0	0	0	13.62511	0
ENST00000264933.9	35.12931	40.98428	42.57789	26.82981	41.99083
ENST00000264951.8	13.48257	4.2877	29.87131	7.60734	13.95283
ENST00000265113.9	41.14493	10.16016	7.72087	24.4242	4.32037
ENST00000265175.5	21.67706	43.10832	55.78707	25.01149	39.06305
ENST00000265260.8	55.75369	148.34824	97.41359	55.433839999999996	95.56737
ENST00000265333.8	19.2516	22.93411	24.33754	34.61891	21.92261
ENST00000265350.9	7.04609	11.12401	9.65262	6.86801	10.84288
ENST00000265381.7	2.37774	1.16895	0.81621	3.68543	1.13618
ENST00000265393.10	91.10758	35.2367	61.56767	52.15003	58.42034
ENST00000265529.7	0.22724	0.12988	0	0.273	0
ENST00000265654.6	0	0.39648	0.25428	0.45114	0.4168
ENST00000265663.12	12.14487	2.52978	1.09827	5.83362	2.33466
ENST00000265728.6	10.48325	11.07896	16.53423	5.19781	14.62708
ENST00000265748.7	7.40323	4.8089	8.47306	2.20487	6.03976
ENST00000265849.12	0	0	0	0.8646	2.31035
ENST00000265865.3	0.22911	0.89961	2.29332	0.48539	0.69065
ENST00000265960.8	13.32699	6.90677	7.28403	20.46556	2.17077
ENST00000265970.11	9.15825	21.9167	20.99279	10.72776	24.28604
ENST00000266041.9	2.12452	0.27398	0.09683	2.51239	0
ENST00000266503.10	2.41502	1.25528	0.64502	2.02968	0.82671
ENST00000266880.11	0.68867	1.76297	1.05987	2.57807	2.34184
ENST00000267215.8	3.87787	0.08037	0	0.81246	0.35
ENST00000267219.12	9.05892	8.38071	1.2718	13.7066	12.33768
ENST00000267484.10	14.34646	12.09425	10.7333	19.50315	9.43671
ENST00000267836.10	11.5448	10.28411	6.7877	19.65342	9.96617
ENST00000267890.11	18.72652	26.46948	27.37454	32.63715	25.18158
ENST00000268043.8	0	2.25416	2.03277	0.04606	1.90345
ENST00000268711.4	10.30145	17.14459	17.84008	8.93248	14.88836
ENST00000268989.8	2.80829	8.5276	5.17467	3.37874	1.62639
ENST00000269299.8	2.84671	5.57383	8.27255	4.53041	6.94364
ENST00000269701.7	13.06234	8.50944	6.38828	14.33392	8.66296
ENST00000270061.12	7.59215	7.75453	5.274	4.42407	7.05305
ENST00000270301.12	0	0.41768	0.66744	0.13677	0
ENST00000271411.8	2.51033	18.31548	1.53427	1.16005	0.76771
ENST00000271877.11	4.19969	2.15031	3.67887	2.36141	3.40525
ENST00000272274.8	1.13104	0.34669	0.70084	0.78294	1.8315
ENST00000272317.11	53.64871	131.51374	151.72112	22.69566	143.59271
ENST00000272321.12	4.33101	8.50445	12.66833	6.92111	7.87314
ENST00000272322.9	13.55315	21.03232	18.46058	9.41264	18.05456
ENST00000272430.10	1.54939	3.80769	6.3666	2.26231	4.54408
ENST00000273009.10	3.34046	1.45195	1.09003	2.41941	1.40206
ENST00000273062.7	27.36931	13.40763	13.14049	12.37851	9.29282
ENST00000273063.10	3.2877	0	0	1.50318	0
ENST00000273390.9	4.61436	9.44059	10.13978	7.95534	9.09893
ENST00000273482.10	6.66305	4.5819	3.83047	9.51627	4.57049
ENST00000274170.8	0.40601	0	0	0.54636	0
ENST00000274361.3	0	0.49821	0.15605	0.41995	0.48928
ENST00000275015.9	4.84944	2.72755	2.74014	4.12268	2.52485
ENST00000275036.11	77.59805	104.7372	121.87516	51.2385	115.41375
ENST00000275159.11	6.78576	10.15856	11.16272	12.60715	13.02174
ENST00000275428.9	18.94231	18.93679	22.73202	19.36672	18.34054
ENST00000276141.10	0.87163	0.43417	0.85366	1.88382	1.99841
ENST00000276201.7	18.89434	9.33205	5.20513	21.08613	10.39899
ENST00000276500.4	2.62541	1.93041	0.87355	0.56462	1.59977
ENST00000276520.12	7.48832	2.27221	0.52214	9.62303	0.81491
ENST00000276646.14	1.81225	8.13472	4.41953	2.84073	4.38531
ENST00000277010.9	16.60746	13.02359	17.78705	15.18597	12.52867
ENST00000278198.2	11.90131	13.7817	6.22998	23.80464	8.6801
ENST00000278407.9	34.32517	12.68349	18.54406	17.34276	18.10327
ENST00000278826.11	20.47933	9.53193	7.42335	28.73309	8.12774
ENST00000278840.9	39.57387	66.81898	77.76211	21.30741	61.22271
ENST00000278886.11	17.25713	27.34985	25.56684	18.74619	28.2384
ENST00000280346.11	12.88523	17.58958	18.79231	12.20592	14.40257
ENST00000280352.13	0	7.92943	10.35548	10.38993	10.06778
ENST00000280560.13	2.22205	2.53966	2.28175	1.39297	3.92355
ENST00000280876.6	4.95533	2.5694	2.24786	3.24247	2.28609
ENST00000281708.10	11.11405	13.99769	2.50003	22.85332	5.57739
ENST00000282007.7	79.49899	29.7581	28.03477	55.90605	27.0307
