"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000675750",14,16,4,15,9,24,46
"ENST00000676009",18,16,7,18,8,28,49
"ENST00000675108",22,15,16,8,17,42,44
"ENST00000675666",23,9,11,15,4,25,38
"ENST00000674558",23,30,11,22,11,39,49
"ENST00000675334",9,9,3,5,0,11,7
"ENST00000674544",6,7,9,7,5,14,20
"ENST00000675375",9,9,0,1,0,21,22
"ENST00000428079",19,18,1,3,7,18,20
"ENST00000461667",14,26,9,6,6,26,37
"ENST00000495701",3,3,1,4,4,11,10
"ENST00000460038",0,1,0,0,3,4,7
"ENST00000494653",10,3,5,6,3,3,14
"ENST00000378223",14,14,11,15,15,12,19
"ENST00000676046",11,9,5,8,4,14,19
"ENST00000338895",22,18,17,18,14,24,35
"ENST00000491998",24,20,15,16,14,49,33
"ENST00000468793",19,14,8,10,17,23,41
"ENST00000339350",20,19,13,13,6,27,33
"ENST00000477548",22,13,10,14,11,27,18
"ENST00000378209",20,12,8,16,4,20,24
"ENST00000378206",17,10,10,8,10,34,11
"ENST00000475969",6,9,10,10,7,14,19
"ENST00000461150",5,7,4,6,3,5,9
"ENST00000486765",77,79,52,55,48,71,51
"ENST00000474140",121,91,66,51,52,138,53
"ENST00000361605",275,218,98,116,76,149,86
"ENST00000680169",6,9,4,8,1,5,1
"ENST00000679946",2,2,3,3,0,6,0
"ENST00000681823",8,7,1,4,2,5,5
"ENST00000680279",1,4,1,1,3,4,2
"ENST00000680054",6,8,8,0,3,12,6
"ENST00000679703",10,7,2,2,2,12,2
"ENST00000680535",6,4,4,0,2,4,1
"ENST00000378191",39,37,103,77,143,39,53
"ENST00000378190",14,6,11,9,12,10,6
"ENST00000460696",22,28,28,28,19,39,13
"ENST00000378161",27,19,19,19,20,15,25
"ENST00000478423",38,40,22,35,23,39,51
"ENST00000378156",82,83,32,60,40,50,60
