"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000324544",11,19,10,6,2,12,13
"ENST00000474442",2,4,1,1,1,4,4
"ENST00000420484",0,5,4,3,3,17,12
"ENST00000634501",42,28,26,18,11,46,35
"ENST00000636874",26,21,3,12,6,13,11
"ENST00000475805",17,22,25,13,11,42,47
"ENST00000341179",23,31,25,23,13,100,158
"ENST00000372923",29,29,15,22,15,62,94
"ENST00000393594",21,21,22,20,16,44,66
"ENST00000628346",50,44,42,21,24,75,113
"ENST00000636280",87,54,53,32,36,85,66
"ENST00000486160",1,14,12,12,14,21,32
"ENST00000627061",1,1,0,1,2,7,10
"ENST00000706053",30,25,13,15,17,65,76
"ENST00000627543",53,65,35,44,25,153,134
"ENST00000634267",2,6,4,3,4,23,17
"ENST00000441149",10,18,12,24,22,53,47
"ENST00000637094",0,2,2,2,2,7,7
"ENST00000482638",15,17,18,14,16,41,23
"ENST00000637317",16,11,8,9,6,4,10
"ENST00000635859",10,20,13,6,14,37,15
"ENST00000463998",6,13,2,0,7,23,18
"ENST00000630850",28,47,32,34,21,62,114
"ENST00000610329",26,26,31,35,23,55,59
"ENST00000692923",23,25,21,27,28,48,51
"ENST00000685377",28,38,45,31,33,94,112
"ENST00000450617",39,20,11,40,39,77,72
"ENST00000611957",27,44,29,38,38,107,99
"ENST00000686291",31,34,19,33,24,50,81
"ENST00000693185",102,95,54,51,43,135,185
"ENST00000421699",123,122,109,133,94,250,324
"ENST00000687179",30,21,16,8,9,47,39
"ENST00000693514",0,2,6,3,3,19,10
"ENST00000687681",3,11,6,0,0,8,10
"ENST00000639983",3,1,1,4,5,4,12
"ENST00000693736",2,3,0,2,0,6,4
"ENST00000462089",5,17,4,14,7,27,40
"ENST00000496221",9,10,0,12,4,16,9
"ENST00000461031",0,0,10,0,5,7,14
"ENST00000490257",5,10,4,10,6,20,10
"ENST00000691040",12,16,25,13,22,58,69
"ENST00000490628",12,15,2,7,1,33,24
"ENST00000372898",4,4,2,3,4,8,6
"ENST00000608796",123,106,93,93,103,134,152
"ENST00000652598",15,21,20,27,20,38,34
"ENST00000419867",9,12,9,3,5,9,17
"ENST00000418976",134,163,84,94,114,221,279
"ENST00000696406",4,3,2,5,2,8,4
"ENST00000372890",371,393,167,165,162,452,445
"ENST00000460320",1,6,2,3,1,1,5
"ENST00000609948",149,119,51,65,53,106,107
"ENST00000608951",57,60,37,70,44,71,54
"ENST00000300452",295,292,146,165,151,384,319
"ENST00000372875",38,32,17,14,16,44,37
"ENST00000461102",158,137,101,82,89,239,185
"ENST00000300456",152,181,57,54,48,149,143
"ENST00000372870",3,8,2,1,1,16,19
"ENST00000470840",6,7,3,6,7,13,7
"ENST00000372850",66,78,46,51,40,110,104
"ENST00000372853",478,441,199,185,204,476,434
"ENST00000372842",62,89,43,48,44,73,68
"ENST00000372838",65,122,44,28,30,35,34
"ENST00000351030",76,77,30,40,46,52,28
"ENST00000372814",37,24,14,24,25,47,43
"ENST00000444119",258,165,50,94,81,94,68
"ENST00000393527",46,41,23,31,24,37,21
"ENST00000469582",24,20,9,8,2,15,9
"ENST00000444993",33,23,10,6,11,20,15
"ENST00000604420",12,15,4,3,0,5,6
"ENST00000448249",15,9,4,2,7,10,3
"ENST00000372807",40,27,4,11,7,11,7
"ENST00000686232",74,47,20,42,26,28,23
"ENST00000434106",76,64,29,43,33,21,33
"ENST00000372791",30,26,13,8,3,20,14
"ENST00000483070",6,5,0,2,0,0,2
"ENST00000488909",19,21,7,6,13,27,13
"ENST00000683748",10,21,15,15,10,21,19
"ENST00000684314",8,15,5,10,6,9,5
"ENST00000683044",19,28,10,17,19,17,19
"ENST00000494417",6,3,5,3,4,6,5
"ENST00000684331",16,16,12,6,7,7,21
"ENST00000684646",2,6,4,0,3,4,5
"ENST00000683905",22,40,26,25,14,41,42
"ENST00000309971",79,70,33,51,31,62,55
"ENST00000684139",14,17,14,16,8,17,14
"ENST00000372770",5,2,8,0,1,8,4
"ENST00000683288",53,74,37,34,18,30,43
"ENST00000682831",296,189,188,199,185,499,618
"ENST00000684210",29,19,13,10,19,18,11
"ENST00000683331",7,2,5,5,3,15,21
"ENST00000684463",27,26,21,22,11,38,38
"ENST00000372731",177,209,154,140,121,315,389
"ENST00000630804",158,128,98,87,99,248,185
"ENST00000372739",203,206,187,198,158,427,484
"ENST00000625282",20,18,12,17,5,22,32
"ENST00000630866",17,29,16,11,15,44,56
"ENST00000627441",23,42,19,15,14,48,50
"ENST00000704202",21,25,17,11,23,57,51
"ENST00000358161",137,206,152,113,83,208,344
"ENST00000497216",7,18,7,7,3,9,20
"ENST00000636257",5,6,0,0,1,8,0
"ENST00000704203",38,72,33,38,31,92,102
"ENST00000706487",18,25,33,24,22,55,46
"ENST00000635853",36,42,82,68,69,136,107
"ENST00000672130",2,2,0,0,3,4,4
"ENST00000704204",16,38,25,21,19,37,24
"ENST00000472211",1,2,1,0,3,4,4
"ENST00000704206",6,12,17,7,6,24,17
"ENST00000475367",90,76,110,111,115,152,119
"ENST00000635806",13,27,25,14,21,35,29
"ENST00000704207",8,21,10,5,11,12,9
"ENST00000629378",1,0,2,1,3,3,7
"ENST00000637434",15,11,8,5,3,23,30
"ENST00000491712",9,7,0,0,0,11,5
"ENST00000629047",2,5,3,0,2,3,8
"ENST00000629089",0,6,3,10,1,23,7
"ENST00000628614",3,0,3,3,1,8,14
"ENST00000625980",33,33,56,52,34,61,77
"ENST00000636010",3,3,14,6,5,7,5
"ENST00000630763",11,3,0,7,4,11,7
"ENST00000630147",33,55,73,54,44,57,99
"ENST00000372715",913,954,161,244,176,283,205
"ENST00000451652",22,16,0,4,5,13,10
"ENST00000686840",660,558,296,278,312,427,342
"ENST00000372692",1737,1364,719,983,926,1251,1031
"ENST00000691158",545,472,213,275,288,430,265
"ENST00000686568",81,77,38,35,44,69,42
"ENST00000409104",6,10,3,3,4,16,20
"ENST00000322030",5606,4721,1487,2120,1961,4669,3566
"ENST00000372688",28,50,32,25,20,81,90
"ENST00000372686",12,9,10,5,4,18,23
"ENST00000477806",6,14,2,1,7,19,11
"ENST00000480536",594,445,232,255,312,473,288
"ENST00000685073",568,444,218,273,295,459,301
"ENST00000485056",17,6,5,7,7,20,12
"ENST00000291906",174,216,43,57,51,75,45
"ENST00000372667",28,50,29,26,23,26,34
"ENST00000372663",194,237,99,74,71,122,119
"ENST00000467312",21,23,10,6,6,13,14
"ENST00000291900",262,323,177,227,196,435,416
"ENST00000414921",1,4,3,3,3,13,8
"ENST00000427848",4,4,3,3,2,4,2
"ENST00000372648",262,228,99,122,108,263,206
"ENST00000466056",4,4,4,3,4,5,7
"ENST00000223865",15,12,7,6,3,13,16
"ENST00000372642",247,171,100,128,129,366,306
"ENST00000361256",185,156,80,90,103,128,206
"ENST00000467582",6,6,5,6,9,6,8
"ENST00000466556",16,13,8,7,8,16,9
"ENST00000651925",109,90,38,34,54,114,89
"ENST00000302586",57,50,26,31,26,34,40
"ENST00000462722",38,30,30,33,32,43,58
"ENST00000320665",4,9,7,9,2,9,6
"ENST00000483599",27,16,12,12,15,38,43
"ENST00000436267",3,0,4,1,1,3,8
"ENST00000466418",3,0,4,2,0,3,4
"ENST00000427720",7,1,7,5,3,11,12
"ENST00000372600",251,251,134,132,124,427,383
"ENST00000372599",26,45,22,15,22,42,38
"ENST00000259324",40,50,25,25,29,65,62
"ENST00000492784",0,0,3,2,2,3,5
"ENST00000372592",55,66,27,24,19,139,163
"ENST00000412476",14,10,7,5,4,20,35
"ENST00000308941",27,24,5,7,5,33,18
"ENST00000353176",3,8,9,1,4,18,17
"ENST00000426694",0,1,4,0,1,12,14
"ENST00000421063",10,9,3,0,4,21,25
"ENST00000451000",2,5,2,3,0,14,4
"ENST00000424503",2,0,2,1,0,8,6
"ENST00000442837",2,10,2,4,4,9,13
"ENST00000419872",5,13,5,8,5,21,21
"ENST00000372586",188,161,73,92,69,232,215
"ENST00000372577",413,420,145,212,148,360,323
"ENST00000550219",15,6,3,2,2,24,13
"ENST00000464729",12,9,7,11,10,31,21
"ENST00000465344",1,0,2,2,0,8,6
"ENST00000477069",17,17,9,14,11,36,34
"ENST00000467044",5,3,5,7,4,9,13
"ENST00000487952",2,1,3,3,4,2,10
"ENST00000372564",359,298,120,132,117,320,190
"ENST00000479237",48,55,28,40,34,86,74
"ENST00000372559",10,19,8,12,10,10,14
"ENST00000372554",49,38,27,25,18,70,95
"ENST00000461811",39,41,14,12,13,34,17
"ENST00000416629",5,7,1,1,0,2,1
"ENST00000483980",98,62,16,14,12,24,6
"ENST00000416230",10,7,5,4,2,12,5
"ENST00000474534",3,4,0,3,3,8,7
"ENST00000684074",55,59,35,32,47,81,89
"ENST00000439290",35,40,20,16,22,27,31
"ENST00000445183",8,9,6,0,5,18,12
"ENST00000358369",38,41,30,26,22,58,52
"ENST00000483458",1,3,4,2,0,2,4
"ENST00000406974",32,22,20,25,12,23,26
"ENST00000372546",134,104,42,39,54,122,90
"ENST00000327812",35,36,17,26,22,40,32
"ENST00000680523",20,46,20,24,28,46,38
"ENST00000318080",126,100,38,46,41,110,74
"ENST00000679716",43,47,26,33,25,63,51
"ENST00000681689",8,5,5,3,2,8,0
"ENST00000455396",6,1,0,0,0,8,1
"ENST00000681118",36,29,24,27,15,65,62
"ENST00000679520",11,7,8,5,2,14,7
"ENST00000681911",12,5,3,4,2,3,0
"ENST00000681622",17,25,6,8,2,12,9
"ENST00000680093",5,7,3,0,2,7,2
"ENST00000681325",8,6,4,2,1,4,2
"ENST00000681627",4,1,6,1,3,9,3
"ENST00000681040",5,5,4,0,2,4,4
"ENST00000680117",7,1,1,0,1,1,5
"ENST00000458362",7,7,2,1,0,6,1
"ENST00000681725",4,9,3,1,2,4,6
"ENST00000393384",29,43,1,8,13,17,11
"ENST00000358994",82,62,36,32,31,61,47
"ENST00000357197",83,72,41,27,29,56,59
"ENST00000348141",155,135,71,74,69,139,121
"ENST00000347048",114,119,72,72,79,105,64
"ENST00000337738",77,66,24,30,29,64,60
"ENST00000355007",114,122,71,57,54,85,80
"ENST00000393370",312,264,103,102,86,217,166
"ENST00000452489",66,48,33,33,37,61,36
"ENST00000417504",4,3,4,4,3,8,5
"ENST00000423100",12,2,0,0,1,7,3
"ENST00000436883",15,14,2,11,6,20,1
"ENST00000414510",9,4,3,1,5,9,6
"ENST00000372491",381,351,288,414,315,433,334
"ENST00000372486",9,18,14,11,5,10,7
"ENST00000613644",11,17,10,18,5,8,7
"ENST00000617943",46,41,16,17,13,31,28
"ENST00000611055",37,50,11,21,13,18,22
"ENST00000372483",194,212,71,101,79,115,102
"ENST00000459968",27,20,19,10,13,27,19
"ENST00000482347",6,11,5,4,0,2,11
"ENST00000486391",12,4,9,1,1,11,1
"ENST00000372478",14,7,5,6,5,26,30
"ENST00000651030",2,1,3,5,6,11,5
"ENST00000450050",122,141,96,102,78,183,170
"ENST00000277458",156,173,91,83,59,258,266
"ENST00000277459",10,18,6,7,4,16,24
"ENST00000372469",55,3,0,3,1,3,4
"ENST00000481476",14,15,9,7,1,2,9
"ENST00000340607",25,30,11,9,7,7,5
"ENST00000486372",50,45,28,21,25,52,43
"ENST00000259339",119,123,70,81,89,162,150
"ENST00000488169",14,16,12,14,4,15,10
"ENST00000351698",321,276,141,146,121,345,266
"ENST00000651202",39,30,16,15,9,43,31
"ENST00000473604",7,5,1,4,1,9,8
"ENST00000473084",22,19,14,9,11,32,22
"ENST00000372447",620,632,314,345,297,665,713
"ENST00000461762",30,28,8,23,19,44,39
"ENST00000480023",6,8,2,2,4,11,15
"ENST00000461539",9,19,2,2,1,12,5
"ENST00000492991",2,1,3,0,0,12,1
"ENST00000495934",42,68,9,16,16,23,22
"ENST00000494971",3,0,1,2,2,6,5
"ENST00000315480",69,49,40,41,30,64,88
"ENST00000372429",77,59,37,34,45,81,77
"ENST00000358355",43,45,36,37,38,66,62
"ENST00000472108",16,19,28,26,10,27,39
"ENST00000703558",49,61,63,42,38,67,58
"ENST00000446176",146,127,92,80,64,177,121
"ENST00000699492",97,85,81,76,38,154,138
"ENST00000703559",57,41,19,22,26,72,66
"ENST00000449089",64,55,18,34,29,61,57
"ENST00000703532",101,52,33,35,54,105,61
"ENST00000703533",45,27,27,26,25,74,50
"ENST00000355681",20,12,7,10,6,15,11
"ENST00000703560",17,16,13,2,7,12,13
"ENST00000478129",8,5,4,3,1,9,0
"ENST00000462766",18,2,10,8,7,25,12
"ENST00000482107",46,15,44,31,49,50,55
"ENST00000491905",1,6,0,0,0,5,5
"ENST00000372406",112,124,95,83,86,179,143
"ENST00000372410",93,127,66,76,72,144,150
"ENST00000347136",150,146,99,106,100,209,214
"ENST00000493417",15,8,7,14,12,26,16
"ENST00000462907",4,3,3,6,9,7,9
"ENST00000415344",4,5,10,2,3,7,3
"ENST00000372398",449,487,177,165,129,256,211
"ENST00000630865",9,12,6,1,1,4,8
"ENST00000683500",0,8,6,5,6,26,28
"ENST00000624552",5,6,5,0,0,13,19
"ENST00000480829",1,2,3,1,4,2,8
"ENST00000352480",301,352,135,176,136,368,197
"ENST00000372394",53,81,37,42,33,70,40
"ENST00000372393",63,66,28,29,26,63,75
"ENST00000422569",9,12,6,3,0,14,15
"ENST00000467100",58,61,18,25,27,50,59
"ENST00000319725",368,344,163,189,201,450,467
"ENST00000650723",57,52,47,30,42,88,77
"ENST00000699747",13,19,12,5,11,29,28
"ENST00000253008",1,7,1,2,1,2,8
"ENST00000686102",5,0,5,5,1,5,0
"ENST00000685137",16,21,7,7,10,8,10
"ENST00000691284",167,122,77,87,69,109,70
"ENST00000688967",6,3,2,0,1,6,1
"ENST00000691926",7,2,4,3,0,0,4
"ENST00000691104",54,46,19,21,28,55,48
"ENST00000693435",16,13,7,8,11,17,3
"ENST00000691425",16,9,4,5,11,17,17
"ENST00000693610",14,12,13,8,8,13,13
"ENST00000687420",8,6,5,2,4,9,5
"ENST00000372352",11,16,15,7,2,11,17
"ENST00000546165",10,21,9,18,8,20,10
"ENST00000372358",95,96,48,50,39,84,81
"ENST00000688258",30,35,11,18,22,16,21
"ENST00000372351",15,17,9,9,10,18,20
"ENST00000689662",4,2,1,3,1,5,1
"ENST00000430138",5,14,1,7,4,5,4
"ENST00000467138",9,12,15,10,8,4,12
"ENST00000372348",210,226,151,103,64,359,250
"ENST00000318560",358,300,157,139,115,487,320
"ENST00000623824",7,7,4,4,2,10,7
"ENST00000448616",74,82,43,19,13,44,9
"ENST00000444139",14,34,21,18,13,13,3
"ENST00000372338",80,118,28,29,21,51,21
"ENST00000372337",12,5,5,2,2,3,3
"ENST00000486250",98,99,23,14,10,55,4
"ENST00000463475",66,59,17,10,5,23,12
"ENST00000361069",25,40,4,13,10,13,20
"ENST00000678544",22,13,11,22,15,35,32
"ENST00000678758",5,4,1,0,3,2,0
"ENST00000372309",92,108,64,73,87,118,127
"ENST00000372314",83,92,55,51,82,95,99
"ENST00000247291",379,328,177,204,236,351,326
"ENST00000372302",72,75,45,53,63,76,85
"ENST00000372300",74,65,58,46,71,98,89
"ENST00000472942",0,0,3,1,0,8,9
"ENST00000478257",10,6,7,6,14,14,14
"ENST00000372297",2,2,2,5,3,6,3
"ENST00000372301",0,2,2,1,2,2,8
"ENST00000695493",25,23,29,29,31,131,95
"ENST00000695494",19,22,5,14,8,29,21
"ENST00000695495",43,44,23,21,23,68,82
"ENST00000695496",35,35,16,11,12,52,37
"ENST00000695497",58,65,33,24,12,68,51
"ENST00000695498",56,85,32,36,20,79,68
"ENST00000359428",129,126,63,45,50,106,127
"ENST00000411637",90,100,55,37,46,94,122
"ENST00000525561",17,9,13,12,23,34,33
"ENST00000652454",44,50,23,14,15,47,34
"ENST00000651022",2,0,3,2,3,2,10
"ENST00000651639",4,5,2,1,1,7,9
"ENST00000695499",4,1,2,0,0,3,5
"ENST00000525980",2,1,6,4,6,21,13
"ENST00000530630",1,1,0,2,1,5,9
"ENST00000489260",5,0,4,4,10,16,12
"ENST00000524578",40,40,21,22,23,31,48
"ENST00000453861",11,8,3,3,0,8,16
"ENST00000483497",12,7,15,5,14,13,17
"ENST00000695500",30,54,36,23,29,43,35
"ENST00000650694",3,4,7,5,8,9,3
"ENST00000695501",19,25,21,17,31,55,38
"ENST00000530491",4,2,0,0,2,3,6
"ENST00000476004",4,5,3,7,5,7,7
"ENST00000496921",19,17,3,3,5,16,21
"ENST00000247295",6,5,0,9,6,4,8
"ENST00000372269",9,11,6,9,7,0,8
"ENST00000372271",13,9,4,0,3,7,4
"ENST00000704762",7,14,1,5,4,12,14
"ENST00000645295",70,41,48,34,42,37,24
"ENST00000372264",23,35,17,15,19,6,33
"ENST00000682525",15,3,6,6,4,21,14
"ENST00000684596",698,808,273,198,175,677,593
"ENST00000683519",421,561,232,181,151,484,441
"ENST00000682501",575,650,377,310,271,672,552
"ENST00000684694",43,47,19,23,17,65,35
"ENST00000684736",24,34,8,5,5,25,13
"ENST00000683353",7,9,2,0,2,12,14
"ENST00000682662",88,132,61,57,30,91,85
"ENST00000683161",176,205,195,178,188,237,247
"ENST00000684112",184,210,198,200,160,227,243
"ENST00000691540",1,3,4,1,4,7,5
"ENST00000372228",32,36,26,30,27,35,40
"ENST00000341012",59,69,44,47,42,50,45
"ENST00000676640",38,45,35,45,40,62,41
"ENST00000402686",57,59,46,45,40,72,35
"ENST00000684579",16,14,9,12,13,12,16
"ENST00000683392",43,46,41,45,45,101,60
"ENST00000678833",2,21,12,17,6,7,9
"ENST00000679111",10,6,1,5,7,10,2
"ENST00000679023",2,14,8,13,11,7,12
"ENST00000678546",11,16,6,7,8,5,5
"ENST00000404875",8,2,3,2,6,5,2
"ENST00000677295",10,4,8,6,12,6,7
"ENST00000677677",5,3,2,1,1,5,2
"ENST00000678264",14,21,6,9,14,17,24
"ENST00000682813",4,1,0,4,0,6,1
"ENST00000683900",25,25,28,19,32,47,36
"ENST00000684062",5,3,5,4,10,17,8
"ENST00000485278",17,16,6,11,18,16,17
"ENST00000494883",3,6,3,3,2,10,9
"ENST00000684399",3,5,4,7,2,6,9
"ENST00000683231",4,11,0,5,9,6,10
"ENST00000682639",2,5,7,6,7,2,0
"ENST00000372210",61,43,25,17,24,47,38
"ENST00000372211",25,45,19,19,13,37,35
"ENST00000491309",53,44,20,10,24,35,22
"ENST00000372208",37,52,12,17,26,47,32
"ENST00000372215",274,273,50,60,70,221,166
"ENST00000459858",9,8,2,1,0,6,4
"ENST00000482398",12,18,5,1,3,6,0
"ENST00000636672",4,0,2,3,3,12,18
"ENST00000419442",54,80,47,33,35,77,97
"ENST00000372189",71,89,40,43,45,94,89
"ENST00000372195",193,242,65,65,50,194,153
"ENST00000372190",59,81,42,40,31,92,73
"ENST00000683357",149,188,64,46,45,189,156
"ENST00000481260",8,4,1,0,1,1,3
"ENST00000651950",5,7,8,4,4,17,21
"ENST00000357028",34,44,33,25,18,38,65
"ENST00000292035",261,241,128,124,130,254,265
"ENST00000651555",46,41,27,41,37,97,107
"ENST00000650776",23,15,10,8,8,30,18
"ENST00000474263",9,10,7,6,2,9,21
"ENST00000393229",52,103,171,150,234,1013,968
"ENST00000477049",57,44,48,43,57,62,77
"ENST00000436441",112,93,78,54,74,137,88
"ENST00000224140",552,465,240,221,221,718,583
"ENST00000464133",8,12,10,5,14,27,11
"ENST00000474172",9,4,4,6,3,12,11
"ENST00000334270",351,275,149,155,154,390,367
"ENST00000612514",29,25,28,24,18,51,30
"ENST00000461970",6,1,5,3,2,5,4
"ENST00000393216",23,5,4,8,7,11,19
"ENST00000343036",4,1,1,3,4,5,11
"ENST00000263610",0,4,3,1,0,2,7
"ENST00000372155",16,24,14,15,12,24,20
"ENST00000372159",87,81,54,66,39,102,96
"ENST00000310532",22,14,8,7,5,7,21
"ENST00000480876",5,24,2,8,3,10,12
"ENST00000482620",10,25,2,6,4,15,17
"ENST00000483873",16,12,9,3,1,5,12
"ENST00000372146",607,644,265,228,197,596,508
"ENST00000298545",28,22,10,15,10,29,22
"ENST00000476719",5,6,2,2,9,9,3
"ENST00000477396",11,11,4,2,2,8,14
"ENST00000372136",89,80,48,62,52,100,103
"ENST00000356311",24,22,24,37,20,20,31
"ENST00000350499",34,56,27,35,27,44,77
"ENST00000643625",20,25,23,22,18,33,51
"ENST00000490179",11,13,12,13,7,29,20
"ENST00000298552",29,14,11,25,16,26,26
"ENST00000642261",25,11,17,16,14,19,29
"ENST00000643275",14,8,12,12,21,22,15
"ENST00000475903",14,11,3,12,10,22,24
"ENST00000643691",15,10,9,11,7,16,5
"ENST00000645129",13,20,6,6,16,17,27
"ENST00000646440",22,19,16,24,10,27,21
"ENST00000643362",9,12,15,2,7,18,13
"ENST00000440111",7,6,3,5,1,6,7
"ENST00000545250",1,5,7,0,1,3,0
"ENST00000642627",1,15,2,3,0,4,1
"ENST00000644184",11,14,6,8,3,22,8
"ENST00000646625",13,9,7,4,3,12,13
"ENST00000644097",12,8,5,6,0,8,12
"ENST00000644882",6,0,8,4,2,6,14
"ENST00000647534",4,2,4,3,6,8,0
"ENST00000643875",19,9,4,3,3,13,10
"ENST00000647262",16,18,9,17,22,42,27
"ENST00000645901",11,10,15,9,1,7,21
"ENST00000647279",2,5,2,3,0,2,8
"ENST00000642617",2,6,5,2,2,4,5
"ENST00000644319",17,7,3,7,5,12,17
"ENST00000646391",13,1,0,0,0,3,3
"ENST00000647506",32,9,17,20,16,38,24
"ENST00000642745",28,13,5,11,13,38,20
"ENST00000493467",2,1,2,6,2,4,4
"ENST00000642646",14,15,5,5,1,21,18
"ENST00000645150",7,10,5,5,4,5,6
"ENST00000403810",2,5,2,4,2,5,3
"ENST00000642854",4,1,0,3,0,8,5
"ENST00000461879",10,5,8,0,0,1,8
"ENST00000645904",3,3,9,2,8,17,18
"ENST00000646788",7,1,2,0,1,9,2
"ENST00000646831",17,20,18,15,13,21,22
"ENST00000443690",4,3,2,2,3,6,13
"ENST00000372099",43,50,17,17,11,38,38
"ENST00000372097",282,331,111,155,111,257,233
"ENST00000372108",86,87,18,17,23,58,44
"ENST00000342018",53,96,56,49,55,99,63
"ENST00000485692",39,39,22,17,21,41,41
"ENST00000372080",25,24,21,15,14,12,23
"ENST00000482648",57,61,64,48,59,66,81
"ENST00000469972",94,64,51,67,64,88,65
"ENST00000493438",54,52,34,66,33,29,43
"ENST00000372047",69,83,71,78,80,77,58
"ENST00000393160",252,251,106,129,100,245,156
"ENST00000393157",69,38,38,50,41,46,43
"ENST00000372050",81,61,47,52,47,70,43
"ENST00000372062",11,4,8,6,4,6,8
"ENST00000471109",3,5,3,2,2,3,2
"ENST00000647146",6,2,1,5,1,5,2
"ENST00000372040",5,11,0,1,2,0,2
"ENST00000680600",74,47,39,40,28,87,114
"ENST00000453660",79,56,64,69,49,195,241
"ENST00000372022",369,395,218,245,232,617,585
"ENST00000343730",103,124,31,55,48,78,83
"ENST00000610672",39,64,29,29,33,55,56
"ENST00000610888",157,129,54,44,58,121,82
"ENST00000614493",22,22,14,7,15,33,21
"ENST00000482295",5,1,2,4,0,3,0
"ENST00000496554",5,5,5,1,3,3,3
"ENST00000323345",16389,14938,8084,12178,9957,12146,8777
"ENST00000463740",676,1165,803,839,694,758,627
"ENST00000426651",6,16,1,6,7,14,9
"ENST00000468019",93,110,64,61,65,54,34
"ENST00000315731",763,1189,1008,1147,950,998,662
"ENST00000489392",63,55,48,66,63,47,23
"ENST00000492798",17,17,17,31,12,55,33
"ENST00000371974",249,217,127,146,109,276,277
"ENST00000615505",36,46,42,49,57,78,106
"ENST00000495952",5,5,1,2,1,3,7
"ENST00000463965",31,43,21,16,21,37,45
"ENST00000371964",288,310,152,142,137,330,394
"ENST00000495524",3,3,4,3,0,5,8
"ENST00000545297",118,148,85,76,61,153,137
"ENST00000613129",171,234,91,75,94,283,175
"ENST00000618229",111,173,86,88,75,205,157
"ENST00000371989",374,407,142,123,125,457,266
"ENST00000485435",12,5,2,3,2,4,3
"ENST00000371957",14,27,21,18,24,45,48
"ENST00000468046",11,14,14,10,6,15,16
"ENST00000475232",6,6,3,5,4,3,2
"ENST00000477284",12,16,4,5,10,12,11
"ENST00000371935",44,81,58,53,49,59,63
"ENST00000371942",208,235,97,135,97,219,180
"ENST00000454825",3,6,7,2,1,9,4
"ENST00000445916",8,5,1,2,1,11,2
"ENST00000485925",8,5,9,8,3,21,10
"ENST00000371929",23,12,11,11,11,20,21
"ENST00000371916",7,5,15,7,3,11,14
"ENST00000495234",9,0,3,4,1,11,5
"ENST00000356589",8,7,5,6,2,7,15
"ENST00000474918",6,4,7,0,2,6,1
"ENST00000355699",10,10,8,2,9,10,5
"ENST00000371910",7,6,8,7,4,7,10
"ENST00000540581",23,35,17,36,22,38,42
"ENST00000542192",27,27,21,12,23,28,55
"ENST00000291722",92,105,34,54,46,88,109
"ENST00000316948",158,167,67,78,61,183,141
"ENST00000489519",7,3,7,4,8,10,10
"ENST00000444798",0,3,1,1,2,2,9
"ENST00000371899",56,73,26,38,31,71,69
"ENST00000371897",13,18,13,5,15,32,24
"ENST00000485978",17,7,13,12,17,29,30
"ENST00000354484",0,3,2,6,5,8,4
"ENST00000393061",2,5,0,4,5,9,13
"ENST00000651351",3,2,0,3,6,0,3
"ENST00000496132",0,2,2,5,6,3,7
"ENST00000673969",3,2,1,7,12,2,12
"ENST00000393056",7,3,1,4,0,7,9
"ENST00000439388",21,15,18,9,17,13,16
"ENST00000371872",5,8,6,5,14,6,20
"ENST00000298628",10,19,9,23,20,63,76
"ENST00000406606",67,89,36,38,34,68,52
"ENST00000371850",65,68,53,48,19,67,44
"ENST00000371851",168,149,65,43,62,133,76
"ENST00000486113",3,9,2,1,0,2,4
"ENST00000472905",10,12,9,12,4,25,14
"ENST00000603928",371,362,212,273,233,373,418
"ENST00000432807",93,77,75,79,80,141,172
"ENST00000624381",5,13,14,16,12,10,16
"ENST00000599836",2,6,2,2,3,4,6
"ENST00000303407",1370,1239,733,954,854,1416,1165
"ENST00000371834",63,97,44,37,39,131,53
"ENST00000433041",5,6,3,0,1,0,2
"ENST00000608937",5,7,0,4,1,7,5
"ENST00000358625",505,517,225,255,216,491,307
"ENST00000484822",18,19,10,15,10,38,24
"ENST00000481739",139,175,107,129,126,517,241
"ENST00000356384",109,78,89,93,99,329,195
"ENST00000672570",2,4,3,4,1,14,5
"ENST00000371817",116,149,169,234,242,301,376
"ENST00000371820",95,103,154,223,233,240,260
"ENST00000464187",1,3,3,4,7,5,12
"ENST00000460264",0,1,4,4,4,2,8
"ENST00000371806",27,16,15,12,22,79,76
"ENST00000371799",11,5,2,8,5,1,8
"ENST00000277415",188,187,165,134,151,330,224
"ENST00000252854",111,89,45,45,32,184,94
"ENST00000371796",28,27,45,31,32,114,36
"ENST00000371793",248,180,254,202,229,1100,238
"ENST00000392991",82,42,19,28,28,247,43
"ENST00000483042",5,3,2,3,2,4,2
"ENST00000605286",49,54,26,23,13,56,53
"ENST00000604351",32,25,15,9,18,40,46
"ENST00000652373",4,5,5,8,3,15,7
"ENST00000356818",69,83,20,22,17,76,77
"ENST00000401470",20,39,22,29,12,29,44
"ENST00000605660",26,29,20,35,29,46,34
"ENST00000429260",273,221,33,75,52,70,101
"ENST00000371789",40,38,9,11,7,30,24
"ENST00000371791",16,25,8,5,5,6,3
"ENST00000371785",194,229,86,115,104,197,200
"ENST00000462948",24,43,11,23,22,20,18
"ENST00000472852",19,29,17,16,18,27,14
"ENST00000485333",8,36,16,18,11,24,14
"ENST00000488610",21,40,21,25,18,22,17
"ENST00000241600",150,178,78,80,68,146,118
"ENST00000371781",4,9,0,1,1,0,4
"ENST00000277526",2,0,3,93,3,3,51
