groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	RO_D100	RO_D45	RO_D209	log2fold_RO_D45_RO_D100	log2fold_RO_D209_RO_D100	log2fold_RO_D45_RO_D209
ENSG00000105379.10	ENST00000309244.9	37.5800891943377	0.0283798795371124	13.1851329655262	0.00137051803515633	0.0190061400645825	1.45047333292464	1.66387466068551	1.65511883750866	0.72933847718616	0.6996009092332	0.0297375679529601
ENSG00000105379.10	ENST00000354232.8	55.6233598725683	0.0223031513129873	15.0043015423474	0.000551896090544716	0.00963518591409316	1.79991378178062	1.63017232120509	1.63706609729452	-0.575025056923814	-0.551579362997313	-0.0234456939265009
ENSG00000173933.21	ENST00000396053.9	11.6932516163323	0.00548869382690655	9.30241655564333	0.00955005583584102	0.0641947603510811	1.10914634954808	0.975475984669715	1.22812338511841	-0.48857582435884	0.424099248815753	-0.912675073174594
ENSG00000163539.18	ENST00000464961.1	38.484074214794	0.0605756802337782	9.16893172491332	0.0102092014494323	0.0662838802925541	1.64302211068575	1.38272298768047	1.60959272949705	-0.892533687394134	-0.113739784436997	-0.778793902957137
ENSG00000163539.18	ENST00000682230.1	13.333652799011	0.0136934400215689	15.5685593844201	0.000416227033814885	0.00797082258206518	1.06227905091923	1.31068782787069	1.09334142561323	0.88360974567376	0.112602564383637	0.771007181290123
ENSG00000179950.15	ENST00000349157.10	12.6949703605237	0.00835501881129155	8.10229670477871	0.0174023790971098	0.0951077848915958	1.24044947943872	1.13234900714997	1.01940671550634	-0.384187387157608	-0.793891118559176	0.409703731401568
ENSG00000166441.13	ENST00000314138.11	443.136525042857	0.138367957242446	9.41396262169101	0.00903200127612477	0.0623803604620266	2.52899826054454	2.79975217693419	2.49785831316178	0.90140925424565	-0.103762871301413	1.00517212554706
ENSG00000166441.13	ENST00000530022.5	343.646452250332	0.141227594462897	9.22833217590247	0.00991044440101206	0.0655654137477482	2.56908152540658	2.29173036967785	2.60104559361062	-0.924832545716673	0.106459169311352	-1.03129171502802
ENSG00000060237.19	ENST00000315939.11	39.9810068686565	0.138752431495798	8.72103982765566	0.0127717457158656	0.0771830979078993	1.64324581548651	1.76735319016015	1.43677141701707	0.420595352074303	-0.706471570832905	1.12706692290721
ENSG00000060237.19	ENST00000340908.9	47.573618406136	0.134118104952241	8.97029605924703	0.0112752183308742	0.0705121862781539	1.62007122004517	1.50178729110615	1.82045894394693	-0.404072301037772	0.678717897942418	-1.08279019898019
ENSG00000115310.19	ENST00000317610.11	207.368480024376	0.0144434349529101	22.8925999451441	1.06889509386757e-05	0.000450133358870838	2.28871593060415	2.4446559516759	2.2308487046822	0.52027004084114	-0.193294322488436	0.713564363329576
ENSG00000115310.19	ENST00000337526.11	329.329856686436	0.0124295904157239	25.6358760603278	2.71169127731591e-06	0.000159202611535081	2.5131455776104	2.38576225905897	2.56050319859705	-0.424672367683749	0.157777214037306	-0.582449581721056
ENSG00000152767.17	ENST00000319562.11	46.7127985722677	0.0249942487920639	10.3004065826603	0.00579822587797016	0.0458388045824434	1.61988049600655	1.77966809348666	1.60184858640449	0.541680069832057	-0.061405140452278	0.603085210284335
ENSG00000152767.17	ENST00000596580.2	33.3022911253333	0.0264511758662454	10.0288459274924	0.00664146329681803	0.0514060301522819	1.5515526339682	1.35173443137545	1.57439969729984	-0.688343962695079	0.0780310372539148	-0.766374999948994
ENSG00000179010.16	ENST00000320912.8	51.50730509069	0.0242630581486053	11.7125323796322	0.0028619095852152	0.0299785029051292	1.70652778117462	1.78403053886254	1.52911336112584	0.262178292849924	-0.604026972970552	0.866205265820477
