groupID	featureID	featureID.1	groupID.1	gene	transcript
ENSG00000169045	ENST00000442819	ENST00000442819.6	ENSG00000169045.19	0.0395941366755225	0.134408157467106
ENSG00000169045	ENST00000515481	ENST00000515481.5	ENSG00000169045.19	0.0395941366755225	0.0350872396525278
ENSG00000171735	ENST00000303635	ENST00000303635.12	ENSG00000171735.21	0.0466540534800622	0
ENSG00000171735	ENST00000473578	ENST00000473578.5	ENSG00000171735.21	0.0466540534800622	0
ENSG00000174437	ENST00000313432	ENST00000313432.5	ENSG00000174437.18	0.0125224090401518	0
ENSG00000174437	ENST00000539276	ENST00000539276.7	ENSG00000174437.18	0.0125224090401518	0
ENSG00000175203	ENST00000548249	ENST00000548249.6	ENSG00000175203.17	0.00163543670960753	0
ENSG00000175203	ENST00000551142	ENST00000551142.2	ENSG00000175203.17	0.00163543670960753	0
ENSG00000175756	ENST00000338338	ENST00000338338.10	ENSG00000175756.14	0.0332675277181694	0
ENSG00000175756	ENST00000338370	ENST00000338370.7	ENSG00000175756.14	0.0332675277181694	0
ENSG00000177954	ENST00000493224	ENST00000493224.5	ENSG00000177954.14	0.012500909965733	0
ENSG00000177954	ENST00000651669	ENST00000651669.1	ENSG00000177954.14	0.012500909965733	0
ENSG00000179010	ENST00000320912	ENST00000320912.8	ENSG00000179010.16	0.0285732375343161	0
ENSG00000179010	ENST00000382581	ENST00000382581.5	ENSG00000179010.16	0.0285732375343161	0
ENSG00000182534	ENST00000355797	ENST00000355797.7	ENSG00000182534.14	0.0334642601602359	0
ENSG00000182534	ENST00000449428	ENST00000449428.7	ENSG00000182534.14	0.0334642601602359	0
ENSG00000182670	ENST00000399017	ENST00000399017.6	ENSG00000182670.14	0.0156812715213394	1
ENSG00000182670	ENST00000476784	ENST00000476784.5	ENSG00000182670.14	0.0156812715213394	0.00466061781282754
ENSG00000182670	ENST00000492275	ENST00000492275.6	ENSG00000182670.14	0.0156812715213394	0.0620713793268388
ENSG00000182985	ENST00000331581	ENST00000331581.11	ENSG00000182985.19	0.0283113146157874	0
ENSG00000182985	ENST00000542447	ENST00000542447.6	ENSG00000182985.19	0.0283113146157874	0
ENSG00000184613	ENST00000395487	ENST00000395487.6	ENSG00000184613.11	6.37658585623535e-05	0
ENSG00000184613	ENST00000429094	ENST00000429094.7	ENSG00000184613.11	6.37658585623535e-05	0
ENSG00000186468	ENST00000296674	ENST00000296674.13	ENSG00000186468.13	1.12624624759583e-07	0
ENSG00000186468	ENST00000504293	ENST00000504293.5	ENSG00000186468.13	1.12624624759583e-07	0
ENSG00000187109	ENST00000393263	ENST00000393263.7	ENSG00000187109.15	0.00435245951553134	1
ENSG00000187109	ENST00000549596	ENST00000549596.5	ENSG00000187109.15	0.00435245951553134	0.000852972344379466
ENSG00000187109	ENST00000618691	ENST00000618691.5	ENSG00000187109.15	0.00435245951553134	0.00130822298761665
ENSG00000196924	ENST00000360319	ENST00000360319.9	ENSG00000196924.19	0.00167493581182261	0
ENSG00000196924	ENST00000369856	ENST00000369856.8	ENSG00000196924.19	0.00167493581182261	0
ENSG00000197457	ENST00000370053	ENST00000370053.3	ENSG00000197457.10	0.000803476357351717	0
ENSG00000197457	ENST00000540534	ENST00000540534.5	ENSG00000197457.10	0.000803476357351717	0
ENSG00000198589	ENST00000357115	ENST00000357115.9	ENSG00000198589.15	0.00430578135467977	0
ENSG00000198589	ENST00000651943	ENST00000651943.2	ENSG00000198589.15	0.00430578135467977	0
ENSG00000198707	ENST00000675230	ENST00000675230.1	ENSG00000198707.17	0.0342064272998248	0
ENSG00000198707	ENST00000676363	ENST00000676363.1	ENSG00000198707.17	0.0342064272998248	0
ENSG00000203875	ENST00000623910	ENST00000623910.4	ENSG00000203875.13	0.00650313206521734	0
ENSG00000203875	ENST00000654795	ENST00000654795.1	ENSG00000203875.13	0.00650313206521734	0
ENSG00000213024	ENST00000352066	ENST00000352066.8	ENSG00000213024.13	0.029614235806494	0
ENSG00000213024	ENST00000422090	ENST00000422090.2	ENSG00000213024.13	0.029614235806494	0
ENSG00000221983	ENST00000430157	ENST00000430157.6	ENSG00000221983.8	0.000332711517662002	2.94447026363903e-05
ENSG00000221983	ENST00000442744	ENST00000442744.7	ENSG00000221983.8	0.000332711517662002	0.916035678684682
ENSG00000221983	ENST00000597451	ENST00000597451.5	ENSG00000221983.8	0.000332711517662002	0.000983015161298382
ENSG00000245910	ENST00000520944	ENST00000520944.6	ENSG00000245910.9	0.00430212862748315	0
ENSG00000245910	ENST00000686474	ENST00000686474.2	ENSG00000245910.9	0.00430212862748315	0
ENSG00000279990	BambuTx1166	BambuTx1166	ENSG00000279990.1	0.007577764187377	0
ENSG00000279990	BambuTx1167	BambuTx1167	ENSG00000279990.1	0.007577764187377	0
ENSG00000288701	ENST00000682501	ENST00000682501.1	ENSG00000288701.1	0.00767379348322578	0.745516182879634
ENSG00000288701	ENST00000684112	ENST00000684112.1	ENSG00000288701.1	0.00767379348322578	0.446468322865201
ENSG00000288701	ENST00000684596	ENST00000684596.1	ENSG00000288701.1	0.00767379348322578	0.00169802701372356
