gene_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENSG00000088179	305	175	196	114	101	57	257	416
ENSG00000088205	192	405	305	260	221	63	263	576
ENSG00000089006	111	170	242	84	195	23	157	223
ENSG00000089053	185	256	318	164	266	32	169	329
ENSG00000089057	93	174	50	181	41	10	43	98
ENSG00000089248	388	336	616	218	493	39	466	681
ENSG00000089356	0	124	13	93	18	0	4	6
ENSG00000089486	147	270	115	106	123	23	158	292
ENSG00000090006	24	64	82	29	114	3	49	85
ENSG00000090020	37	22	45	28	66	1	34	62
ENSG00000090054	60	33	33	28	16	10	43	68
ENSG00000090060	873	855	1016	661	848	151	909	1307
ENSG00000090097	317	436	207	383	103	40	333	642
ENSG00000091164	376	263	201	248	158	32	195	339
ENSG00000091651	43	65	256	29	184	9	63	99
ENSG00000091656	189	91	153	48	98	54	186	299
ENSG00000092094	111	96	110	85	129	15	84	160
ENSG00000092199	325	260	368	222	284	50	265	386
ENSG00000092531	51	102	121	39	87	5	35	66
ENSG00000092820	32	150	190	71	154	5	59	96
ENSG00000092841	194	139	153	71	109	27	144	179
ENSG00000092964	2148	303	745	158	588	137	1092	2053
ENSG00000094880	245	208	281	108	207	37	172	260
ENSG00000095203	44	72	16	44	33	4	5	27
ENSG00000095261	107	111	130	25	43	2	27	45
ENSG00000095906	149	218	250	128	272	22	146	227
ENSG00000096063	117	82	156	51	121	21	92	214
ENSG00000099330	21	69	22	54	32	6	46	70
ENSG00000099385	303	367	423	205	431	20	141	272
ENSG00000099622	699	792	837	421	499	91	808	1296
ENSG00000099785	96	88	66	55	61	11	87	155
ENSG00000099864	65	47	62	21	43	8	47	112
ENSG00000100106	195	290	219	124	204	16	103	202
ENSG00000100124	209	164	180	99	118	22	83	221
ENSG00000100142	97	84	66	57	50	8	74	114
ENSG00000100207	89	66	65	60	92	10	49	121
ENSG00000100219	72	122	83	50	41	6	41	95
ENSG00000100221	13	41	17	40	18	0	11	42
ENSG00000100225	262	277	303	161	230	43	242	469
ENSG00000100321	327	282	118	226	139	31	271	436
ENSG00000100354	155	137	105	98	77	32	132	233
ENSG00000100359	156	69	129	51	121	34	175	215
ENSG00000100413	68	83	59	31	69	5	28	65
ENSG00000100519	245	105	56	63	44	29	115	260
ENSG00000100612	52	185	38	232	27	2	30	97
ENSG00000100644	49	42	67	32	86	8	23	65
ENSG00000100650	391	371	822	238	429	57	498	608
ENSG00000100722	111	101	53	77	47	26	125	156
ENSG00000100749	113	111	118	74	86	29	85	160
ENSG00000100796	235	115	110	85	96	25	124	299
ENSG00000100813	111	69	97	43	91	17	43	98
ENSG00000100883	61	69	58	47	40	12	78	141
ENSG00000100934	315	329	339	233	239	61	355	537
ENSG00000100979	41	136	306	132	239	15	93	118
ENSG00000101004	258	130	129	87	106	47	280	474
ENSG00000101150	28	25	41	8	28	1	22	38
ENSG00000101210	198	18	44	7	61	10	143	245
ENSG00000101224	27	27	36	9	40	0	22	33
ENSG00000101294	354	169	144	86	134	30	139	196
ENSG00000101489	327	112	45	86	20	96	298	911
ENSG00000101654	90	79	95	64	58	28	87	197
ENSG00000101844	29	34	45	26	36	3	66	112
ENSG00000101849	59	231	195	103	176	19	110	121
ENSG00000102054	237	538	888	301	641	73	498	979
ENSG00000102119	258	275	277	185	272	34	286	477
ENSG00000102225	516	464	681	276	586	54	592	1239
ENSG00000102226	79	106	76	60	58	22	123	213
ENSG00000102230	12	98	59	52	39	3	18	63
ENSG00000102606	255	94	79	55	58	37	133	287
ENSG00000102786	224	273	185	166	173	54	243	523
ENSG00000102805	51	63	58	49	35	4	43	51
ENSG00000102897	63	161	104	109	104	13	51	76
ENSG00000102901	132	57	106	19	67	10	139	197
ENSG00000102974	134	106	161	46	115	21	102	196
ENSG00000103245	60	72	93	46	94	11	66	108
ENSG00000103274	66	94	87	34	86	12	82	144
ENSG00000103423	25	62	48	55	49	7	39	53
ENSG00000103942	142	141	273	93	251	45	165	220
ENSG00000103994	230	306	221	312	176	31	133	303
ENSG00000104064	23	14	23	13	19	2	24	36
ENSG00000104237	1	1054	13	1995	22	0	4	6
ENSG00000104327	16	124	233	21	307	2	36	52
ENSG00000104529	197	144	154	88	131	23	205	328
ENSG00000104691	30	27	40	15	44	3	26	24
ENSG00000104728	31	94	59	32	58	21	61	120
ENSG00000104888	13	413	21	393	20	18	77	140
ENSG00000104957	53	70	79	39	65	7	46	79
ENSG00000104980	112	130	77	78	61	19	121	179
ENSG00000105088	455	367	147	238	96	51	336	733
ENSG00000105176	251	269	461	189	294	27	184	307
ENSG00000105185	129	139	308	88	231	30	175	256
ENSG00000105329	38	93	64	35	126	10	70	67
ENSG00000105379	466	577	536	377	480	102	707	1110
ENSG00000105409	139	141	41	112	33	10	113	309
ENSG00000105705	31	44	27	23	29	5	33	43
ENSG00000105792	157	163	114	121	88	32	158	234
ENSG00000105808	591	159	206	47	54	22	155	271
