gene_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENSG00000139220	120	97	51	71	27	15	88	194
ENSG00000139436	42	45	27	21	27	5	30	52
ENSG00000139624	143	76	33	60	27	13	92	216
ENSG00000139668	375	167	141	90	106	40	192	532
ENSG00000139737	41	233	69	132	72	5	32	76
ENSG00000139842	167	237	193	118	173	25	109	233
ENSG00000139890	190	45	87	22	75	41	247	448
ENSG00000139970	1646	206	239	149	140	111	886	1890
ENSG00000140199	40	63	33	41	36	2	16	54
ENSG00000140262	117	56	256	40	106	19	71	154
ENSG00000140299	189	136	80	131	60	35	268	262
ENSG00000140332	35	54	20	38	20	7	27	54
ENSG00000140395	88	139	171	71	138	10	86	133
ENSG00000140416	280	187	296	194	496	14	129	297
ENSG00000140525	18	56	52	17	44	10	16	35
ENSG00000140575	78	43	61	24	40	10	47	91
ENSG00000141026	188	135	195	117	171	23	123	252
ENSG00000141068	75	128	41	71	42	14	57	137
ENSG00000141298	89	86	123	60	59	7	61	96
ENSG00000141378	70	77	104	56	86	13	76	88
ENSG00000141428	59	61	92	27	72	6	70	118
ENSG00000141447	129	350	251	301	178	22	126	284
ENSG00000141449	98	25	64	23	24	36	139	235
ENSG00000141551	59	72	75	36	55	4	15	28
ENSG00000141562	245	109	181	51	111	51	342	498
ENSG00000141622	448	124	234	79	169	27	269	541
ENSG00000141627	117	60	54	63	41	9	79	120
ENSG00000141736	3	38	55	29	54	0	12	23
ENSG00000142192	142	166	124	96	82	24	86	179
ENSG00000142444	131	103	80	94	96	19	77	162
ENSG00000142875	268	145	146	161	129	16	148	278
ENSG00000143153	587	123	131	101	123	39	201	356
ENSG00000143164	56	48	34	35	20	8	46	70
ENSG00000143179	207	46	120	27	96	17	104	162
ENSG00000143190	50	107	64	80	31	15	39	118
ENSG00000143207	275	231	214	147	182	24	121	307
ENSG00000143228	1	28	231	10	146	1	1	12
ENSG00000143248	10	29	85	18	32	0	2	8
ENSG00000143320	68	404	289	86	165	27	486	490
ENSG00000143376	171	127	105	111	67	40	131	233
ENSG00000143384	282	141	119	124	128	14	114	272
ENSG00000143515	32	13	30	13	29	5	39	58
ENSG00000143612	41	55	67	38	53	5	46	46
ENSG00000143621	57	30	35	10	30	11	54	58
ENSG00000143630	259	21	41	18	34	7	108	245
ENSG00000143669	67	96	32	118	29	8	26	74
ENSG00000143774	551	1357	665	1110	674	89	583	954
ENSG00000143776	93	52	38	40	34	8	45	109
ENSG00000143786	23	23	16	26	9	4	21	28
ENSG00000143793	104	130	128	87	182	20	80	201
ENSG00000143850	440	48	130	43	95	53	399	705
ENSG00000143889	136	99	125	38	104	21	92	206
ENSG00000143995	1013	311	632	197	217	121	1184	1159
ENSG00000144029	166	98	91	74	80	18	163	252
ENSG00000144040	17	101	24	42	34	5	12	21
ENSG00000144381	98	70	187	52	122	4	95	144
ENSG00000144395	6	14	78	7	47	0	6	14
ENSG00000144455	81	115	105	63	65	12	54	101
ENSG00000144560	279	342	306	208	319	35	281	638
ENSG00000144645	62	63	10	85	13	20	69	77
ENSG00000144711	219	292	125	263	124	20	126	379
ENSG00000144744	145	238	217	174	153	21	102	219
ENSG00000145012	61	33	61	22	67	25	83	183
ENSG00000145216	35	30	41	19	36	5	17	40
ENSG00000145439	333	223	441	142	300	78	474	521
ENSG00000145495	2842	1101	1059	481	669	314	1963	2936
ENSG00000145555	21	230	97	125	97	9	44	82
ENSG00000145687	102	112	154	56	121	42	157	320
ENSG00000145736	23	69	60	44	73	17	61	87
ENSG00000146063	33	20	28	22	24	2	19	23
ENSG00000146112	206	41	78	18	69	12	165	210
ENSG00000146416	165	118	161	115	137	22	130	227
ENSG00000146433	149	79	83	71	60	10	77	179
ENSG00000146540	252	561	348	326	356	25	184	473
ENSG00000146648	11	68	106	13	98	2	14	30
ENSG00000146670	9	70	286	9	212	3	4	16
ENSG00000146950	40	94	55	46	46	6	33	56
ENSG00000146963	201	239	134	132	77	25	112	228
ENSG00000147050	133	134	79	49	33	25	95	125
ENSG00000147144	60	30	26	26	18	3	52	90
ENSG00000147255	21	5	3	13	12	5	23	62
ENSG00000147274	772	804	1676	440	1436	92	809	1377
ENSG00000147403	399	832	1264	338	519	51	391	630
ENSG00000147535	67	120	119	71	91	13	85	101
ENSG00000147548	572	217	236	132	172	101	471	685
ENSG00000147642	44	9	25	7	8	5	12	64
ENSG00000147650	132	48	60	32	47	14	57	146
ENSG00000147789	89	65	38	44	21	11	61	116
ENSG00000148057	12	57	30	33	26	3	24	33
ENSG00000148120	114	94	94	74	73	15	64	131
ENSG00000148297	77	66	103	34	64	10	56	136
ENSG00000148341	94	142	171	68	131	13	63	143
ENSG00000148396	94	106	72	61	61	10	75	88
ENSG00000148541	131	50	90	38	39	34	109	202
ENSG00000148835	32	28	32	17	29	5	22	46
ENSG00000148841	1	21	21	11	13	1	4	16
ENSG00000149089	78	149	252	118	140	22	92	144
ENSG00000149196	165	204	445	164	326	30	236	374
ENSG00000149231	81	78	60	63	41	17	87	128
ENSG00000149269	207	103	141	80	73	38	143	334
ENSG00000149483	43	91	65	90	53	8	47	77
ENSG00000149527	13	51	13	38	7	14	61	115
ENSG00000149591	110	4	141	10	360	0	6	7
ENSG00000149600	180	121	62	145	68	29	94	229
ENSG00000149646	9	39	41	24	34	2	11	20
ENSG00000149716	51	39	60	45	56	6	63	94
ENSG00000149761	32	139	68	63	82	8	24	62
ENSG00000149930	222	195	135	150	109	34	133	293
ENSG00000150093	141	79	91	47	68	18	85	106
ENSG00000150510	195	138	20	206	28	8	40	89
ENSG00000150722	71	32	21	10	10	3	10	19
ENSG00000150764	168	121	189	108	134	35	205	370
ENSG00000150779	67	69	100	34	68	10	96	101
ENSG00000151065	52	75	90	52	78	11	84	135
ENSG00000151092	36	65	90	42	44	5	55	80
ENSG00000151135	44	105	69	57	76	3	50	75
ENSG00000151150	493	148	92	127	50	55	211	438
ENSG00000151239	24	31	41	24	25	6	22	44
ENSG00000151276	248	121	123	69	110	34	158	298
ENSG00000151322	74	137	137	73	185	17	30	142
ENSG00000151413	44	34	84	19	40	3	27	63
ENSG00000151532	103	52	50	55	44	16	60	131
ENSG00000151665	54	55	92	51	70	13	39	90
ENSG00000151773	110	73	48	88	59	20	96	171
ENSG00000151789	233	69	194	48	83	64	219	468
ENSG00000151834	528	15	11	5	7	26	70	134
ENSG00000151923	307	230	218	124	176	54	208	382
ENSG00000152061	209	109	49	115	37	38	188	316
ENSG00000152284	20	143	251	58	243	1	18	34
ENSG00000152492	435	222	306	127	246	60	289	454
ENSG00000152795	636	270	613	125	359	89	656	1000
ENSG00000152977	53	856	287	241	248	10	21	80
ENSG00000153037	192	209	149	139	95	29	165	230
ENSG00000153048	197	145	465	55	368	59	320	507
ENSG00000153113	37	63	62	53	76	7	32	43
ENSG00000153187	500	411	457	261	339	49	271	673
ENSG00000153201	904	334	270	276	211	129	605	875
ENSG00000153250	299	164	209	73	258	35	188	443
ENSG00000153317	97	53	77	17	67	11	49	92
ENSG00000153404	28	24	130	11	178	16	74	160
ENSG00000153487	111	133	145	70	134	15	112	206
ENSG00000153560	242	160	198	123	161	20	114	306
ENSG00000153707	279	97	147	45	88	25	78	221
ENSG00000153827	98	71	56	34	34	13	40	107
ENSG00000153896	13	47	88	36	52	8	49	55
ENSG00000153914	429	243	393	182	241	40	232	405
ENSG00000153956	126	50	81	29	27	13	80	232
ENSG00000154102	6	130	11	88	20	1	8	12
ENSG00000154305	162	129	113	86	72	30	126	190
ENSG00000154330	25	82	67	63	54	5	21	57
ENSG00000154518	226	148	210	85	189	25	123	216
ENSG00000154556	250	207	177	139	76	17	99	199
ENSG00000155085	92	36	48	37	33	12	68	95
ENSG00000155366	63	321	183	218	201	14	71	136
ENSG00000155463	44	42	33	39	33	10	39	47
ENSG00000155957	81	316	317	228	280	13	73	147
ENSG00000156206	7	9	11	10	5	1	11	12
ENSG00000156299	118	46	96	21	68	15	80	189
ENSG00000156313	30	114	38	99	17	16	35	50
ENSG00000156381	37	60	59	31	51	3	22	51
ENSG00000156453	58	14	7	9	12	5	36	85
ENSG00000156599	154	224	138	153	122	15	81	210
ENSG00000156642	223	212	127	167	138	14	91	203
ENSG00000156976	445	356	538	188	363	80	574	711
ENSG00000157045	81	76	119	51	118	9	71	124
ENSG00000157077	167	173	175	109	130	23	148	399
ENSG00000157106	945	517	349	290	333	163	658	918
ENSG00000157168	223	121	56	130	39	33	184	301
ENSG00000157191	82	191	159	108	150	50	99	212
ENSG00000157450	193	104	128	83	75	28	171	317
ENSG00000157456	20	70	756	9	512	0	19	52
ENSG00000157540	300	233	151	133	112	41	174	364
ENSG00000157657	104	42	50	21	31	12	36	106
ENSG00000157764	301	129	85	93	58	57	150	341
ENSG00000157800	132	58	62	47	38	17	75	147
ENSG00000157827	521	217	246	96	150	55	295	709
ENSG00000157985	460	486	97	444	108	59	198	419
ENSG00000158023	38	42	52	21	22	7	26	44
ENSG00000158201	27	39	44	46	48	8	14	23
ENSG00000158234	46	36	58	23	47	5	27	62
ENSG00000158286	15	34	7	28	9	5	11	25
ENSG00000158321	865	304	204	184	211	101	409	954
ENSG00000158615	169	103	87	92	132	20	169	235
ENSG00000158691	74	57	64	66	57	14	68	167
ENSG00000158805	46	33	28	19	15	5	14	35
ENSG00000158856	88	8	11	11	13	9	61	93
ENSG00000158966	25	74	83	16	61	5	22	54
ENSG00000158987	123	29	30	11	22	20	92	184
ENSG00000159079	81	240	276	114	151	20	115	199
ENSG00000159147	34	57	68	25	78	5	23	46
ENSG00000159210	197	234	237	174	152	24	122	224
ENSG00000159433	121	161	118	105	103	37	146	268
ENSG00000159593	51	63	131	19	55	3	25	46
ENSG00000159658	58	60	48	50	20	5	40	84
ENSG00000159842	229	111	177	57	173	20	189	329
ENSG00000160202	5	0	199	1	295	0	12	18
ENSG00000160218	79	73	54	49	48	13	52	108
ENSG00000160221	52	22	20	23	24	4	20	23
ENSG00000160226	30	42	31	31	24	2	22	27
ENSG00000160298	2	8	45	6	31	3	3	12
ENSG00000160584	87	68	57	53	52	13	35	73
ENSG00000160688	40	37	44	21	23	6	44	70
ENSG00000160783	160	231	359	100	280	10	84	149
ENSG00000160961	111	99	62	66	39	15	143	241
ENSG00000161011	188	540	234	619	314	25	121	237
ENSG00000161203	48	64	36	40	27	5	30	53
ENSG00000161298	91	71	45	64	43	44	181	428
ENSG00000161558	9	10	13	6	11	6	28	38
ENSG00000161642	95	369	208	407	201	23	215	363
ENSG00000161939	53	55	54	32	47	10	57	105
ENSG00000161999	48	72	80	47	77	0	21	52
ENSG00000162139	65	42	33	27	32	7	66	79
ENSG00000162144	29	48	39	42	46	10	19	60
ENSG00000162174	107	68	64	31	55	6	52	95
ENSG00000162607	91	341	512	202	382	11	118	253
ENSG00000162664	303	404	440	306	297	32	187	412
ENSG00000163110	48	162	295	76	228	16	75	106
ENSG00000163291	53	21	28	31	23	5	53	89
ENSG00000163382	36	32	42	26	32	5	41	81
ENSG00000163607	75	60	105	29	78	13	42	87
ENSG00000163618	393	287	79	215	38	57	264	529
ENSG00000163686	34	23	24	21	21	5	32	44
ENSG00000163689	0	5	7	2	11	2	23	27
ENSG00000163738	94	147	262	99	191	10	59	137
ENSG00000163755	74	115	81	98	94	8	89	137
ENSG00000163875	544	194	199	175	143	70	502	763
ENSG00000163930	199	188	269	116	225	32	191	303
ENSG00000163945	80	87	56	59	61	24	78	141
ENSG00000163947	35	30	32	31	24	4	38	79
ENSG00000163995	56	15	86	6	55	5	16	52
ENSG00000164032	130	132	146	118	109	20	105	205
ENSG00000164051	26	27	29	32	28	3	33	33
ENSG00000164054	297	179	272	148	281	74	531	591
ENSG00000164088	11	11	16	5	17	0	13	11
ENSG00000164104	39	85	519	32	339	8	56	120
ENSG00000164134	48	52	32	35	41	11	50	58
ENSG00000164305	251	99	89	39	59	50	265	498
ENSG00000164402	139	69	49	71	47	15	67	206
ENSG00000164506	429	108	119	80	67	57	337	523
ENSG00000164548	220	178	126	102	80	63	181	297
ENSG00000164733	42	28	20	27	22	9	26	73
ENSG00000164828	141	137	141	75	102	11	76	152
ENSG00000164830	114	179	155	179	122	16	168	223
ENSG00000164889	18	61	68	35	72	4	12	26
ENSG00000164975	333	212	243	156	205	75	391	778
ENSG00000164985	197	266	104	216	85	22	140	280
ENSG00000165156	117	167	184	116	118	33	140	353
ENSG00000165181	1	0	6	0	2	5	2	13
ENSG00000165209	102	69	81	68	52	11	49	109
ENSG00000165219	47	13	8	15	14	9	28	41
ENSG00000165238	103	82	58	60	41	9	50	66
ENSG00000165338	86	77	66	51	59	11	45	99
ENSG00000165671	54	85	111	79	95	10	52	127
ENSG00000165792	184	130	166	86	130	24	202	249
ENSG00000165801	69	120	74	43	70	12	40	106
ENSG00000165819	180	134	237	88	127	17	140	255
ENSG00000165821	150	92	176	56	163	8	168	224
ENSG00000165868	231	92	50	46	38	38	113	268
ENSG00000165915	136	100	71	47	55	15	96	178
ENSG00000166037	121	86	171	65	123	18	137	231
ENSG00000166130	40	140	135	48	91	9	44	81
ENSG00000166140	27	49	27	33	27	5	26	52
ENSG00000166272	37	63	52	42	36	15	36	81
ENSG00000166295	257	486	567	374	484	58	408	597
ENSG00000166402	778	333	203	270	135	83	770	1279
ENSG00000166436	19	12	16	11	4	6	25	41
ENSG00000166508	45	45	106	13	79	11	51	126
ENSG00000166598	104	36	49	34	72	25	102	165
ENSG00000166704	69	84	101	50	57	14	50	153
ENSG00000166793	11	9	12	4	15	5	40	58
ENSG00000166794	152	194	177	99	155	23	113	241
ENSG00000166833	399	111	50	69	40	23	137	353
ENSG00000166900	81	466	45	734	81	15	94	221
ENSG00000166925	42	441	58	214	68	2	46	116
ENSG00000166949	8	51	48	22	39	1	15	11
ENSG00000166963	128	49	119	38	81	15	92	227
ENSG00000167004	192	67	60	38	53	34	116	146
ENSG00000167186	55	63	101	52	76	5	30	73
ENSG00000167220	34	41	59	23	36	12	25	47
ENSG00000167232	370	223	256	142	161	59	337	547
ENSG00000167244	56	760	327	1127	694	5	62	167
ENSG00000167272	49	112	178	63	125	10	53	77
ENSG00000167553	188	81	264	33	356	9	63	123
ENSG00000167614	18	150	96	70	76	10	15	33
ENSG00000167641	14	19	18	12	30	10	95	136
ENSG00000167699	250	238	287	146	191	32	172	298
ENSG00000167842	18	14	39	24	45	0	17	27
ENSG00000167912	17	3	47	11	43	7	25	48
ENSG00000168000	91	100	125	66	72	21	82	126
ENSG00000168003	30	36	35	42	39	13	71	90
ENSG00000168066	177	226	181	160	139	29	154	309
ENSG00000168077	8	125	130	57	82	1	23	33
ENSG00000168209	47	124	87	73	72	15	258	315
ENSG00000168291	132	113	152	82	104	20	134	179
ENSG00000168385	139	177	190	100	160	40	165	291
ENSG00000168393	91	212	519	70	447	9	71	113
ENSG00000168488	77	50	25	36	35	14	55	96
ENSG00000168944	20	27	15	21	9	5	14	28
ENSG00000169045	250	176	221	100	187	42	213	280
ENSG00000169057	92	101	90	76	68	20	53	98
ENSG00000169490	147	201	194	105	152	18	126	159
ENSG00000169756	68	55	81	58	65	8	59	84
ENSG00000169764	170	165	215	108	176	24	111	212
ENSG00000169851	96	25	129	7	92	5	33	63
ENSG00000169862	579	159	193	70	153	24	115	512
ENSG00000169992	349	259	196	150	250	44	262	452
ENSG00000170004	57	27	17	19	28	11	43	81
ENSG00000170035	704	379	790	265	590	75	533	1163
ENSG00000170271	13	32	37	24	36	5	28	20
ENSG00000170473	59	94	154	72	157	7	71	93
ENSG00000170893	45	118	400	133	342	19	129	145
ENSG00000170917	13	53	83	49	73	5	16	24
ENSG00000170949	21	43	29	28	18	12	47	95
ENSG00000171163	84	30	86	26	52	9	92	151
ENSG00000171307	23	21	44	20	35	3	11	37
ENSG00000171533	1051	292	396	214	253	121	545	1229
ENSG00000171552	104	105	32	112	35	5	63	121
ENSG00000171680	38	68	69	30	47	5	26	67
ENSG00000171735	515	755	1180	468	848	243	529	904
ENSG00000171824	133	152	189	79	95	46	115	225
ENSG00000171853	161	92	97	70	121	13	74	204
ENSG00000171862	190	127	73	69	78	17	96	205
ENSG00000171877	109	40	29	33	15	10	59	139
ENSG00000171953	95	105	122	83	66	25	96	136
ENSG00000172071	309	108	53	102	79	91	337	595
ENSG00000172270	127	570	163	558	345	27	193	265
ENSG00000172340	1	100	139	59	108	0	23	18
ENSG00000172687	271	60	271	63	233	21	239	370
ENSG00000172771	28	48	55	50	24	12	32	52
ENSG00000172785	90	165	121	139	68	20	54	105
ENSG00000172922	19	11	22	16	23	11	13	21
ENSG00000172965	10	112	31	44	76	4	10	16
ENSG00000173120	143	88	91	70	73	17	117	224
ENSG00000173171	40	29	64	23	43	2	23	46
ENSG00000173275	64	44	38	26	34	8	52	90
ENSG00000173320	317	168	139	51	106	40	184	330
ENSG00000173327	36	57	53	40	58	5	57	97
ENSG00000173581	108	105	71	64	79	5	53	77
ENSG00000173588	40	35	80	27	53	9	49	53
ENSG00000173611	207	135	145	87	97	31	171	268
ENSG00000173715	67	77	113	42	93	17	70	168
ENSG00000173818	37	51	55	32	52	1	30	53
ENSG00000173889	144	283	87	209	48	26	118	169
ENSG00000173890	8	459	66	527	77	2	9	11
ENSG00000173894	227	62	358	26	254	24	169	347
ENSG00000173933	576	288	470	158	344	85	377	725
ENSG00000173960	132	161	248	122	232	30	149	336
ENSG00000174437	407	140	204	86	139	27	196	368
ENSG00000174442	30	16	46	14	37	5	35	60
ENSG00000174469	555	163	96	84	127	19	77	336
ENSG00000174501	540	158	176	100	125	58	199	418
ENSG00000174606	67	88	109	76	95	20	87	165
ENSG00000174652	44	33	39	6	25	8	56	77
ENSG00000174796	68	51	62	47	54	11	34	117
ENSG00000174827	7	0	3	0	1	0	12	8
ENSG00000175029	262	311	256	225	205	26	180	341
ENSG00000175110	70	42	33	21	31	8	29	48
ENSG00000175161	378	405	398	557	243	56	273	564
ENSG00000175182	98	68	35	33	44	10	75	179
ENSG00000175183	220	656	1126	296	757	66	376	531
ENSG00000175309	81	159	133	92	121	32	113	207
ENSG00000175387	718	742	775	492	526	131	528	989
ENSG00000175416	638	270	104	226	96	55	257	605
ENSG00000175544	0	83	3	88	1	1	4	7
ENSG00000175582	826	241	255	196	203	52	433	839
ENSG00000175611	35	21	34	18	21	5	29	62
ENSG00000175634	170	170	150	126	191	19	151	241
ENSG00000175899	17	89	32	51	37	1	14	20
ENSG00000176102	215	97	349	67	218	28	154	307
ENSG00000176105	38	191	269	124	199	12	98	167
ENSG00000176124	4	26	35	31	43	30	53	91
ENSG00000176406	243	322	26	480	19	37	117	302
ENSG00000176485	13	430	81	392	139	29	181	170
ENSG00000176623	136	147	160	127	96	21	118	194
ENSG00000176731	124	107	120	97	81	24	71	155
ENSG00000176732	13	13	3	4	3	5	9	23
ENSG00000177054	103	108	123	58	86	12	88	177
ENSG00000177182	21	9	102	8	83	5	17	32
ENSG00000177311	49	66	69	26	61	5	43	99
ENSG00000177380	136	66	61	50	35	20	109	218
ENSG00000177463	89	78	44	43	37	13	84	154
ENSG00000177565	186	142	155	101	95	21	85	237
ENSG00000177674	1	48	141	35	127	2	11	11
ENSG00000177853	145	88	124	62	80	49	139	278
ENSG00000177917	91	184	480	110	319	20	110	160
ENSG00000178028	92	93	78	67	82	10	43	85
ENSG00000178104	547	579	147	567	108	60	232	521
ENSG00000178342	5	12	1	21	1	1	11	19
ENSG00000178449	41	97	86	72	82	10	67	66
ENSG00000178467	115	152	99	97	75	20	102	215
ENSG00000178882	20	109	29	28	20	7	33	69
ENSG00000179029	51	188	207	175	150	25	91	253
ENSG00000179085	40	154	170	134	191	19	119	135
ENSG00000179152	50	32	61	49	61	18	71	105
ENSG00000179218	914	570	1409	317	1300	48	668	1046
ENSG00000179299	6	12	24	19	18	5	14	18
ENSG00000179403	66	781	95	350	84	21	89	106
ENSG00000179818	154	89	61	58	45	54	123	265
ENSG00000179950	59	75	85	36	75	6	47	77
ENSG00000180008	41	75	60	41	29	10	37	62
ENSG00000180228	152	130	127	50	87	28	127	227
ENSG00000180398	47	107	44	106	43	10	37	99
ENSG00000181035	67	70	40	51	31	9	43	72
ENSG00000181163	106	60	102	34	70	11	103	142
ENSG00000181404	39	27	16	13	15	2	23	33
ENSG00000181666	39	104	41	110	28	8	42	88
ENSG00000181722	204	197	95	129	63	25	87	182
ENSG00000182010	13	51	234	21	190	1	12	24
ENSG00000182150	158	106	101	78	67	30	70	170
ENSG00000182196	101	349	144	125	174	15	94	150
ENSG00000182287	144	188	370	126	191	30	198	383
ENSG00000182359	12	51	36	56	21	9	48	86
ENSG00000182551	153	307	361	172	298	16	74	148
ENSG00000182600	7	8	7	6	18	0	7	14
ENSG00000182667	128	50	21	29	21	10	40	77
ENSG00000182902	3	7	7	10	6	3	14	26
ENSG00000182944	494	423	457	250	333	72	410	599
ENSG00000182985	256	792	168	1106	120	24	145	345
ENSG00000183044	178	42	177	32	126	30	120	265
ENSG00000183258	64	85	35	43	29	14	51	78
ENSG00000183283	197	389	367	257	266	62	285	402
ENSG00000183648	153	158	127	120	82	15	77	116
ENSG00000183831	27	30	72	35	16	11	26	63
ENSG00000183850	22	17	104	6	67	4	32	40
ENSG00000184083	47	48	39	28	24	5	39	50
ENSG00000184144	958	9	296	3	218	58	515	1288
ENSG00000184304	32	57	52	42	36	3	8	27
ENSG00000184588	315	37	36	17	18	19	84	138
ENSG00000184619	144	139	111	73	68	36	119	276
ENSG00000184752	261	293	259	204	172	48	212	369
ENSG00000184792	27	117	24	143	21	6	24	46
ENSG00000184939	91	42	60	25	55	20	74	226
ENSG00000184990	161	433	937	211	832	25	147	274
ENSG00000185046	146	36	38	33	24	10	67	150
ENSG00000185252	143	37	65	24	41	4	56	159
ENSG00000185361	16	15	21	4	25	4	20	38
ENSG00000185651	202	150	198	72	162	23	126	245
ENSG00000185963	157	71	97	29	63	8	64	171
ENSG00000186007	2	17	5	19	15	1	8	17
ENSG00000186352	2	25	25	18	18	1	26	40
ENSG00000186432	220	139	177	99	156	33	118	249
ENSG00000186468	728	160	350	110	531	29	401	598
ENSG00000186522	37	45	118	23	89	8	53	142
ENSG00000186566	136	105	91	56	59	23	102	177
ENSG00000186960	45	52	13	15	55	8	60	54
ENSG00000187017	1	221	21	191	28	5	9	7
ENSG00000187091	20	33	45	27	29	7	89	176
ENSG00000187147	177	184	153	144	122	7	115	258
ENSG00000187609	113	100	55	48	61	19	94	191
ENSG00000187772	24	6	52	4	68	6	25	50
ENSG00000188051	6	72	34	37	20	3	7	17
ENSG00000188243	89	80	78	52	48	18	128	198
ENSG00000188290	679	761	761	449	578	86	469	938
ENSG00000188343	97	78	238	29	139	20	121	215
ENSG00000188467	2	9	16	7	12	3	8	12
ENSG00000188529	214	159	297	133	208	33	244	366
ENSG00000188738	175	94	124	90	60	79	200	465
ENSG00000188811	68	98	114	47	105	17	37	100
ENSG00000188846	270	265	757	142	639	48	382	568
ENSG00000188938	121	238	187	175	179	9	85	175
ENSG00000189171	6	84	144	59	193	19	132	128
ENSG00000189195	121	82	52	74	22	24	139	225
ENSG00000189337	122	148	57	66	68	10	22	69
ENSG00000189403	1002	1418	3103	679	2064	164	999	1904
ENSG00000196187	1	48	51	24	70	1	9	18
ENSG00000196236	84	111	137	79	96	15	99	136
ENSG00000196262	239	136	285	85	255	26	119	193
ENSG00000196417	124	76	90	46	51	26	157	237
ENSG00000196419	159	179	285	95	218	20	154	219
ENSG00000196498	307	301	179	148	206	13	87	279
ENSG00000196562	393	507	150	91	93	34	122	445
ENSG00000196591	406	118	223	86	139	45	292	440
ENSG00000196642	47	97	58	34	46	4	23	65
ENSG00000196693	95	30	99	25	60	13	89	171
ENSG00000196792	118	93	52	47	32	14	54	113
ENSG00000196914	456	340	165	243	152	45	177	436
ENSG00000196924	125	39	39	20	27	5	82	163
ENSG00000196935	284	127	99	83	68	30	143	357
ENSG00000196951	27	46	33	46	29	9	39	65
ENSG00000196961	162	65	17	47	21	8	43	92
ENSG00000196967	14	95	47	55	49	15	31	80
ENSG00000197013	144	147	134	158	78	24	131	290
ENSG00000197043	90	109	117	63	69	5	38	89
ENSG00000197093	31	6	3	3	3	4	12	28
ENSG00000197111	577	365	433	265	332	96	570	934
ENSG00000197121	121	75	69	30	55	22	146	194
ENSG00000197183	251	138	68	133	68	20	153	401
ENSG00000197321	38	106	99	63	73	31	84	186
ENSG00000197410	23	9	12	6	10	3	33	28
ENSG00000197566	82	33	71	34	43	16	67	95
ENSG00000197653	27	19	9	7	7	4	12	40
ENSG00000197753	38	33	22	29	21	20	62	125
ENSG00000197766	42	18	19	25	13	10	39	53
ENSG00000197822	2	10	13	11	15	2	14	16
ENSG00000197912	136	192	118	128	105	25	137	196
ENSG00000197951	69	43	45	12	28	14	64	117
ENSG00000197989	66	88	45	55	35	16	77	166
ENSG00000198130	92	157	187	105	141	18	86	149
ENSG00000198171	274	409	217	441	205	50	273	601
ENSG00000198216	83	4	10	9	6	20	88	191
ENSG00000198218	171	116	119	77	75	20	115	255
ENSG00000198231	118	71	53	65	46	17	39	104
ENSG00000198276	103	234	74	146	79	20	81	163
ENSG00000198363	217	470	244	352	159	41	139	323
ENSG00000198467	16	64	214	33	246	0	8	16
ENSG00000198521	87	70	166	56	104	14	79	155
ENSG00000198589	76	54	80	30	57	5	43	73
ENSG00000198673	155	21	56	16	19	19	55	147
ENSG00000198825	20	16	44	18	17	2	14	27
ENSG00000198900	370	194	381	123	405	59	318	438
ENSG00000198901	19	38	111	17	89	7	21	31
ENSG00000198910	694	17	45	9	27	40	351	724
ENSG00000203667	234	425	430	300	371	25	124	303
ENSG00000203865	11	48	47	42	35	2	10	17
ENSG00000203950	280	352	562	212	442	64	462	735
ENSG00000203993	52	78	72	49	75	9	29	84
ENSG00000204054	43	24	30	24	40	2	22	47
ENSG00000204104	69	81	121	53	68	14	38	61
ENSG00000204130	216	113	98	65	60	24	114	243
ENSG00000204256	216	182	133	123	143	28	230	408
ENSG00000204348	37	40	47	19	27	5	36	65
ENSG00000204428	107	10	11	25	10	7	39	136
ENSG00000204681	145	74	85	54	57	10	59	92
ENSG00000204991	160	71	52	39	32	20	71	133
ENSG00000205090	103	100	118	113	119	25	165	169
ENSG00000205213	315	321	360	153	301	30	118	312
ENSG00000205277	0	0	10	0	11	2	11	5
ENSG00000205531	109	105	118	53	118	39	72	215
ENSG00000205559	55	54	35	16	20	9	29	47
ENSG00000205581	956	1699	1592	1943	1032	121	721	1855
ENSG00000205629	47	39	43	24	48	12	42	78
ENSG00000205670	37	40	41	30	23	8	65	83
ENSG00000205683	94	82	17	40	11	15	87	183
ENSG00000205758	130	128	129	116	85	42	195	363
ENSG00000206562	150	91	64	65	73	33	130	202
ENSG00000213139	44	19	1793	23	1698	0	4	1
ENSG00000213186	35	30	158	26	108	24	65	123
ENSG00000213347	11	21	49	8	42	0	7	27
ENSG00000213593	95	106	117	101	79	10	67	110
ENSG00000213722	109	94	118	42	126	13	116	201
ENSG00000213741	196	124	339	103	258	25	193	359
ENSG00000213904	14	27	21	11	26	4	16	38
ENSG00000214046	205	274	310	227	204	19	195	347
ENSG00000214078	176	219	192	89	134	70	337	576
ENSG00000214140	10	29	6	21	5	5	21	29
ENSG00000214338	288	36	77	20	59	23	160	296
ENSG00000215252	129	112	100	97	68	33	86	223
ENSG00000217128	78	70	57	62	50	25	84	145
ENSG00000219438	187	162	229	53	182	5	112	291
ENSG00000219545	9	30	22	31	20	7	15	35
ENSG00000219626	130	122	94	104	56	24	106	272
ENSG00000221817	11	29	14	16	15	9	10	21
ENSG00000221983	866	935	1624	563	1479	166	1323	1698
ENSG00000223745	77	70	123	46	74	27	127	259
