isoform_id	H9-FT_1	H9-FT_2	H9-hRGC_1	H9-hRGC_2
ENST00000325110	64.00000068023701	38.000000975592016	13.00000020499	115.00000043673404
ENST00000433297	22.000000088259	27.999999758888002	8.000000197378	47.99999962926401
ENST00000508319	1.9999995845399978	3.999999364255996	0.9999999089229995	0
ENST00000507004	14.000000197326	11.9999994958	3.0000001897660007	15.999999061064008
ENST00000511774	30.999999771461994	22.000000712504008	3.0000001897660007	1.999998965356004
ENST00000343218	22.000000088259	33.000000367240006	3.0000001897660007	29.000000897130008
ENST00000398514	24.999999465069	41.00000049878401	79.000000212869	522.9999972854782
ENST00000512722	0.9999997922699989	0	0.9999999089229995	1.999998965356004
ENST00000310758	2.9999993768099964	9.999999813672	3.0000001897660007	5.000001082497998
ENST00000396045	0	0	1.999999817845999	30.99999986248601
ENST00000396040	1.9999995845399978	0	0	0
ENST00000448602	0	0.999999841063999	0	0
ENST00000424212	0	0.999999841063999	0	0
ENST00000463390	0.9999997922699989	1.999999682127998	0.9999999089229995	0
ENST00000445322	0.9999997922699989	0	0	0
ENST00000479447	0.9999997922699989	0	0	1.000000705713998
ENST00000379454	86.000000768496	78.00000023028001	10.999999924146998	53.99999897140402
ENST00000523897	1.9999995845399978	1.999999682127998	0.9999999089229995	1.999998965356004
ENST00000522919	1.9999995845399978	0.999999841063999	1.999999817845999	1.000000705713998
ENST00000356457	15.999999781865997	11.9999994958	0	1.000000705713998
ENST00000445642	1.9999995845399978	1.999999682127998	0.9999999089229995	1.999998965356004
ENST00000519234	0	0	6.999999825457999	26.99999948570201
ENST00000518441	1.9999995845399978	0.999999841063999	0.9999999089229995	1.000000705713998
ENST00000517856	42.000000591978	28.999999599952	8.000000197378	33.999999533556014
ENST00000389204	5.000000514123003	1.999999682127998	3.0000001897660007	1.000000705713998
ENST00000379449	4.000000721853004	8.999999972608	5.999999916534999	14.000000095708003
ENST00000522343	1.9999995845399978	0.999999841063999	0.9999999089229995	1.999998965356004
ENST00000317198	11.000000820516005	9.999999813672	0.9999999089229995	12.000001130352
ENST00000532400	2.9999993768099964	1.999999682127998	0.9999999089229995	0
