"isoform_id","gene_id","gene_symbol"
"ENST00000700273","ENSG00000080815","PSEN1"
"ENST00000700303","ENSG00000080815","PSEN1"
"ENST00000700305","ENSG00000080815","PSEN1"
"ENST00000700306","ENSG00000080815","PSEN1"
"ENST00000700309","ENSG00000080815","PSEN1"
"ENST00000700310","ENSG00000080815","PSEN1"
"ENST00000700312","ENSG00000080815","PSEN1"
"ENST00000700313","ENSG00000080815","PSEN1"
"ENST00000700322","ENSG00000080815","PSEN1"
"ENST00000559361","ENSG00000080815","PSEN1"
"ENST00000700324","ENSG00000080815","PSEN1"
"ENST00000700375","ENSG00000080815","PSEN1"
"ENST00000700377","ENSG00000080815","PSEN1"
"ENST00000700379","ENSG00000080815","PSEN1"
"ENST00000556066","ENSG00000080815","PSEN1"
"ENST00000700467","ENSG00000080815","PSEN1"
"ENST00000700468","ENSG00000080815","PSEN1"
"ENST00000697915","ENSG00000080815","PSEN1"
"ENST00000544991","ENSG00000133961","NUMB"
"ENST00000555238","ENSG00000133961","NUMB"
"ENST00000556989","ENSG00000133961","NUMB"
"ENST00000555987","ENSG00000133961","NUMB"
"ENST00000554818","ENSG00000133961","NUMB"
"ENST00000554113","ENSG00000119661","DNAL1"
"ENST00000286523","ENSG00000156030","MIDEAS"
"ENST00000478847","ENSG00000156030","MIDEAS"
"ENST00000557214","ENSG00000119725","ZNF410"
"ENST00000556794","ENSG00000156050","FAM161B"
"ENST00000331628","ENSG00000183379","SYNDIG1L"
"ENST00000554070","ENSG00000119682","AREL1"
"ENST00000555330","ENSG00000119682","AREL1"
"ENST00000557688","ENSG00000119682","AREL1"
"ENST00000554973","ENSG00000119616","FCF1"
"ENST00000554612","ENSG00000119689","DLST"
"ENST00000555089","ENSG00000119689","DLST"
"ENST00000354625","ENSG00000198208","RPS6KL1"
"ENST00000554900","ENSG00000198208","RPS6KL1"
"ENST00000554748","ENSG00000119718","EIF2B2"
"ENST00000557648","ENSG00000119684","MLH3"
"ENST00000555537","ENSG00000119638","NEK9"
"ENST00000555961","ENSG00000119638","NEK9"
"ENST00000437176","ENSG00000140044","JDP2"
"ENST00000553438","ENSG00000119650","IFT43"
"ENST00000557493","ENSG00000119699","TGFB3"
"ENST00000621494","ENSG00000089916","GPATCH2L"
"ENST00000380887","ENSG00000119715","ESRRB"
