"gene_id","gene_symbol","n_LRonly_isoforms"
"ENSG00000113810","SMC4",6
"ENSG00000115414","FN1",6
"ENSG00000115935","WIPF1",6
"ENSG00000116127","ALMS1",6
"ENSG00000119866","BCL11A",6
"ENSG00000119969","HELLS",6
"ENSG00000122194","PLG",6
"ENSG00000123094","RASSF8",6
"ENSG00000123143","PKN1",6
"ENSG00000126777","KTN1",6
"ENSG00000128487","SPECC1",6
"ENSG00000128573","FOXP2",6
"ENSG00000128656","CHN1",6
"ENSG00000130226","DPP6",6
"ENSG00000130429","ARPC1B",6
"ENSG00000131089","ARHGEF9",6
"ENSG00000132600","PRMT7",6
"ENSG00000132932","ATP8A2",6
"ENSG00000133424","LARGE1",6
"ENSG00000134278","SPIRE1",6
"ENSG00000134318","ROCK2",6
"ENSG00000134324","LPIN1",6
"ENSG00000135047","CTSL",6
"ENSG00000135597","REPS1",6
"ENSG00000137074","APTX",6
"ENSG00000138448","ITGAV",6
"ENSG00000138674","SEC31A",6
"ENSG00000140153","WDR20",6
"ENSG00000140374","ETFA",6
"ENSG00000141431","ASXL3",6
"ENSG00000147408","CSGALNACT1",6
"ENSG00000147481","SNTG1",6
"ENSG00000148053","NTRK2",6
"ENSG00000149262","INTS4",6
"ENSG00000149970","CNKSR2",6
"ENSG00000150672","DLG2",6
"ENSG00000151414","NEK7",6
"ENSG00000151490","PTPRO",6
"ENSG00000151914","DST",6
"ENSG00000153317","ASAP1",6
"ENSG00000153339","TRAPPC8",6
"ENSG00000153827","TRIP12",6
"ENSG00000153956","CACNA2D1",6
"ENSG00000154240","CEP112",6
"ENSG00000154743","TSEN2",6
"ENSG00000154845","PPP4R1",6
"ENSG00000159216","RUNX1",6
"ENSG00000160191","PDE9A",6
"ENSG00000160216","AGPAT3",6
"ENSG00000160710","ADAR",6
"ENSG00000162129","CLPB",6
"ENSG00000162736","NCSTN",6
"ENSG00000163625","WDFY3",6
"ENSG00000164199","ADGRV1",6
"ENSG00000165181","SHOC1",6
"ENSG00000166352","IFTAP",6
"ENSG00000168066","SF1",6
"ENSG00000168944","CEP120",6
"ENSG00000169224","GCSAML",6
"ENSG00000173559","NABP1",6
"ENSG00000182718","ANXA2",6
"ENSG00000182901","RGS7",6
"ENSG00000184007","PTP4A2",6
"ENSG00000196482","ESRRG",6
"ENSG00000197535","MYO5A",6
"ENSG00000197912","SPG7",6
"ENSG00000198046","ZNF667",6
"ENSG00000198453","ZNF568",6
"ENSG00000198586","TLK1",6
"ENSG00000198707","CEP290",6
"ENSG00000198838","RYR3",6
"ENSG00000204406","MBD5",6
"ENSG00000204580","DDR1",6
"ENSG00000204842","ATXN2",6
"ENSG00000266173","STRADA",6
"ENSG00000001497","LAS1L",5
"ENSG00000008128","CDK11A",5
"ENSG00000010810","FYN",5
"ENSG00000012232","EXTL3",5
"ENSG00000021574","SPAST",5
"ENSG00000038274","MAT2B",5
"ENSG00000038382","TRIO",5
"ENSG00000038945","MSR1",5
"ENSG00000039523","RIPOR1",5
"ENSG00000048707","VPS13D",5
"ENSG00000050405","LIMA1",5
"ENSG00000061938","TNK2",5
"ENSG00000063601","MTMR1",5
"ENSG00000064601","CTSA",5
"ENSG00000064651","SLC12A2",5
"ENSG00000068305","MEF2A",5
"ENSG00000068615","REEP1",5
"ENSG00000070831","CDC42",5
"ENSG00000072134","EPN2",5
"ENSG00000074219","TEAD2",5
"ENSG00000076554","TPD52",5
"ENSG00000077232","DNAJC10",5
"ENSG00000077782","FGFR1",5
"ENSG00000078304","PPP2R5C",5
"ENSG00000078369","GNB1",5
"ENSG00000082898","XPO1",5
"ENSG00000083067","TRPM3",5
"ENSG00000083290","ULK2",5
"ENSG00000086758","HUWE1",5
"ENSG00000089356","FXYD3",5
"ENSG00000090615","GOLGA3",5
"ENSG00000090686","USP48",5
"ENSG00000091039","OSBPL8",5
"ENSG00000092439","TRPM7",5
"ENSG00000100023","PPIL2",5
"ENSG00000100242","SUN2",5
"ENSG00000100503","NIN",5
"ENSG00000101596","SMCHD1",5
"ENSG00000102780","DGKH",5
"ENSG00000103723","AP3B2",5
"ENSG00000104756","KCTD9",5
"ENSG00000105223","PLD3",5
"ENSG00000105227","PRX",5
"ENSG00000105792","CFAP69",5
"ENSG00000106692","FKTN",5
"ENSG00000107099","DOCK8",5
"ENSG00000107521","HPS1",5
"ENSG00000108654","DDX5",5
"ENSG00000109099","PMP22",5
"ENSG00000109265","CRACD",5
"ENSG00000110693","SOX6",5
"ENSG00000110713","NUP98",5
"ENSG00000111731","C2CD5",5
"ENSG00000112964","GHR",5
"ENSG00000113327","GABRG2",5
"ENSG00000113719","ERGIC1",5
"ENSG00000114439","BBX",5
"ENSG00000114541","FRMD4B",5
"ENSG00000114745","GORASP1",5
"ENSG00000115419","GLS",5
"ENSG00000116117","PARD3B",5
"ENSG00000118785","SPP1",5
"ENSG00000119403","PHF19",5
"ENSG00000119408","NEK6",5
"ENSG00000119950","MXI1",5
"ENSG00000120071","KANSL1",5
"ENSG00000120699","EXOSC8",5
"ENSG00000121440","PDZRN3",5
"ENSG00000122299","ZC3H7A",5
"ENSG00000123815","COQ8B",5
"ENSG00000124275","MTRR",5
"ENSG00000126091","ST3GAL3",5
"ENSG00000126453","BCL2L12",5
"ENSG00000128513","POT1",5
"ENSG00000128609","NDUFA5",5
"ENSG00000130396","AFDN",5
"ENSG00000130561","SAG",5
"ENSG00000130640","TUBGCP2",5
"ENSG00000130816","DNMT1",5
"ENSG00000131018","SYNE1",5
"ENSG00000131368","MRPS25",5
"ENSG00000132639","SNAP25",5
"ENSG00000132842","AP3B1",5
"ENSG00000133961","NUMB",5
"ENSG00000134243","SORT1",5
"ENSG00000134508","CABLES1",5
"ENSG00000134532","SOX5",5
"ENSG00000135272","MDFIC",5
"ENSG00000135506","OS9",5
"ENSG00000135931","ARMC9",5
"ENSG00000136040","PLXNC1",5
"ENSG00000137177","KIF13A",5
"ENSG00000137266","SLC22A23",5
"ENSG00000137573","SULF1",5
"ENSG00000137821","LRRC49",5
"ENSG00000138101","DTNB",5
"ENSG00000139154","AEBP2",5
"ENSG00000139304","PTPRQ",5
"ENSG00000139370","SLC15A4",5
"ENSG00000140332","TLE3",5
"ENSG00000140416","TPM1",5
"ENSG00000140443","IGF1R",5
"ENSG00000140694","PARN",5
"ENSG00000141376","BCAS3",5
"ENSG00000142166","IFNAR1",5
"ENSG00000142208","AKT1",5
"ENSG00000143376","SNX27",5
"ENSG00000143514","TP53BP2",5
"ENSG00000143799","PARP1",5
"ENSG00000145147","SLIT2",5
"ENSG00000147044","CASK",5
"ENSG00000148400","NOTCH1",5
"ENSG00000148737","TCF7L2",5
"ENSG00000150867","PIP4K2A",5
"ENSG00000151067","CACNA1C",5
"ENSG00000151322","NPAS3",5
"ENSG00000151835","SACS",5
"ENSG00000152061","RABGAP1L",5
"ENSG00000152601","MBNL1",5
"ENSG00000152942","RAD17",5
"ENSG00000153187","HNRNPU",5
"ENSG00000154978","VOPP1",5
"ENSG00000155506","LARP1",5
"ENSG00000155816","FMN2",5
"ENSG00000156931","VPS8",5
"ENSG00000157388","CACNA1D",5
"ENSG00000157429","ZNF19",5
"ENSG00000157450","RNF111",5
"ENSG00000157796","WDR19",5
"ENSG00000157985","AGAP1",5
"ENSG00000158864","NDUFS2",5
"ENSG00000158887","MPZ",5
"ENSG00000159733","ZFYVE28",5
"ENSG00000160211","G6PD",5
"ENSG00000160789","LMNA",5
"ENSG00000161203","AP2M1",5
"ENSG00000162946","DISC1",5
"ENSG00000163531","NFASC",5
"ENSG00000163635","ATXN7",5
"ENSG00000165699","TSC1",5
"ENSG00000165995","CACNB2",5
"ENSG00000166348","USP54",5
"ENSG00000168014","C2CD3",5
"ENSG00000168137","SETD5",5
"ENSG00000168216","LMBRD1",5
"ENSG00000168310","IRF2",5
"ENSG00000169045","HNRNPH1",5
"ENSG00000169862","CTNND2",5
"ENSG00000170525","PFKFB3",5
"ENSG00000171714","ANO5",5
"ENSG00000172575","RASGRP1",5
"ENSG00000172995","ARPP21",5
"ENSG00000173273","TNKS",5
"ENSG00000173575","CHD2",5
"ENSG00000173692","PSMD1",5
"ENSG00000173852","DPY19L1",5
"ENSG00000174306","ZHX3",5
"ENSG00000174720","LARP7",5
"ENSG00000175115","PACS1",5
"ENSG00000177084","POLE",5
"ENSG00000177119","ANO6",5
"ENSG00000177463","NR2C2",5
"ENSG00000178035","IMPDH2",5
"ENSG00000182568","SATB1",5
"ENSG00000183023","SLC8A1",5
"ENSG00000183873","SCN5A",5
"ENSG00000186409","CCDC30",5
"ENSG00000187098","MITF",5
"ENSG00000196235","SUPT5H",5
"ENSG00000196277","GRM7",5
"ENSG00000196588","MRTFA",5
"ENSG00000196712","NF1",5
"ENSG00000197381","ADARB1",5
"ENSG00000197635","DPP4",5
"ENSG00000198373","WWP2",5
"ENSG00000198689","SLC9A6",5
"ENSG00000198836","OPA1",5
"ENSG00000205085","GARIN1A",5
"ENSG00000213614","HEXA",5
"ENSG00000215277","RNF212B",5
"ENSG00000221914","PPP2R2A",5
"ENSG00000225830","ERCC6",5
"ENSG00000227124","ZNF717",5
"ENSG00000234444","ZNF736",5
"ENSG00000242265","PEG10",5
"ENSG00000243156","MICAL3",5
"ENSG00000248333","CDK11B",5
"ENSG00000257923","CUX1",5
"ENSG00000266714","MYO15B",5
"ENSG00000268350","FAM156A",5
"ENSG00000271793","ENSG00000271793",5
"ENSG00000272333","KMT2B",5
"ENSG00000272602","ZNF595",5
"ENSG00000288558","DUS4L-BCAP29",5
"ENSG00000292327","PPP2R3B",5
"ENSG00000292338","DHRSX",5
"ENSG00000292348","CD99",5
"ENSG00000003249","DBNDD1",4
"ENSG00000004766","VPS50",4
"ENSG00000005302","MSL3",4
"ENSG00000005339","CREBBP",4
"ENSG00000007168","PAFAH1B1",4
"ENSG00000007264","MATK",4
"ENSG00000007516","BAIAP3",4
"ENSG00000011243","AKAP8L",4
"ENSG00000011347","SYT7",4
"ENSG00000012048","BRCA1",4
"ENSG00000021762","OSBPL5",4
"ENSG00000023041","ZDHHC6",4
"ENSG00000027697","IFNGR1",4
"ENSG00000033867","SLC4A7",4
"ENSG00000047617","ANO2",4
"ENSG00000048991","R3HDM1",4
"ENSG00000049618","ARID1B",4
"ENSG00000050748","MAPK9",4
"ENSG00000050767","COL23A1",4
"ENSG00000056487","PHF21B",4
"ENSG00000058056","USP13",4
"ENSG00000058404","CAMK2B",4
"ENSG00000060718","COL11A1",4
"ENSG00000064042","LIMCH1",4
"ENSG00000064225","ST3GAL6",4
"ENSG00000064703","DDX20",4
"ENSG00000064933","PMS1",4
"ENSG00000065883","CDK13",4
"ENSG00000066032","CTNNA2",4
"ENSG00000066739","ATG2B",4
"ENSG00000066855","MTFR1",4
"ENSG00000066923","STAG3",4
"ENSG00000068028","RASSF1",4
"ENSG00000068366","ACSL4",4
"ENSG00000068650","ATP11A",4
"ENSG00000068878","PSME4",4
"ENSG00000069424","KCNAB2",4
"ENSG00000069667","RORA",4
"ENSG00000069869","NEDD4",4
"ENSG00000070756","PABPC1",4
"ENSG00000073849","ST6GAL1",4
"ENSG00000073969","NSF",4
"ENSG00000074047","GLI2",4
"ENSG00000074803","SLC12A1",4
"ENSG00000075151","EIF4G3",4
