gene_id	logFC	logCPM	F	PValue	FDR
ENSG00000198715	2.16793966904267	4.10747588725939	52.3624156640875	1.48762165106228e-06	2.01785636092913e-05
ENSG00000165480	4.89626658583914	2.46489080841592	52.3378646203624	1.49214047717872e-06	2.01927116367645e-05
ENSG00000204381	3.23927843405622	3.02176627256924	52.3293944465834	1.49370304760542e-06	2.01927116367645e-05
ENSG00000143149	1.49216292570093	5.48596413334463	52.327552786933	1.49404303780528e-06	2.01927116367645e-05
ENSG00000089472	1.51890725456902	5.31631957770583	52.3274696008475	1.49405839689716e-06	2.01927116367645e-05
ENSG00000105370	5.2622331250433	3.24707762006505	57.1251225401641	1.49766900225073e-06	2.02232581683541e-05
ENSG00000136960	3.5460725538455	3.00951037850325	52.2713901969638	1.50445297897581e-06	2.02965615857323e-05
ENSG00000102466	-3.27280510709382	3.00234562040398	52.259740529872	1.50662244112514e-06	2.03075347037344e-05
ENSG00000144283	1.59174394316545	6.31186796047159	52.7659914443481	1.50894563594062e-06	2.03205583617003e-05
ENSG00000146197	1.98798502906293	4.23565210896939	52.1937994213669	1.51896855322019e-06	2.04371555116554e-05
ENSG00000137076	2.13340559542485	4.50004662873341	52.6357731096218	1.53308882396722e-06	2.06086222072793e-05
ENSG00000149131	1.54902650255083	5.98739031054955	52.1072798706595	1.53533969948466e-06	2.06203695065316e-05
ENSG00000160145	-1.96150880044267	4.74146319334183	52.6137362752235	1.53721725484977e-06	2.06270863722e-05
ENSG00000146267	-1.68772643707561	4.50664892048822	52.080016375604	1.54053932959635e-06	2.06361517880457e-05
ENSG00000243449	-1.47990270811058	8.28931263803859	52.0794428208063	1.54064892814926e-06	2.06361517880457e-05
ENSG00000138182	1.79541832146099	4.55422312708372	52.0241959736886	1.55124688270676e-06	2.07595371479301e-05
ENSG00000198720	-1.71357250037893	5.93593520764454	52.3652161267492	1.58464845975591e-06	2.11875988257543e-05
ENSG00000205683	-2.39268249103826	3.88239574508036	51.7853215726174	1.60496909668114e-06	2.14330133171357e-05
ENSG00000117461	-1.47455368846299	5.86086821883222	51.7460135969351	1.60586583918706e-06	2.14330133171357e-05
ENSG00000079616	1.52766930262748	5.67511260682431	51.6885350395078	1.61741775193946e-06	2.15679704677591e-05
ENSG00000084234	1.55253210674871	8.88034809870838	51.61650876982	1.63202497328029e-06	2.17433932160787e-05
ENSG00000100234	1.5343695216059	5.98750117377983	51.6017753508632	1.63503113157999e-06	2.1764081062587e-05
ENSG00000106624	1.49685079820897	5.59030793543127	51.5706997476974	1.64139204341324e-06	2.18293480018767e-05
ENSG00000116584	-1.52499456999116	5.02253102299215	51.4597312839917	1.66433348543621e-06	2.21148127279568e-05
ENSG00000133134	-1.37537744099634	7.11710675330892	51.4458966419218	1.66721871913103e-06	2.21282392819077e-05
ENSG00000070669	-1.55749153129901	5.20860593906418	51.4407221321583	1.66829930879959e-06	2.21282392819077e-05
ENSG00000088899	-1.62061812391545	5.37771846608711	51.4133197452405	1.6745723730448e-06	2.21917887489786e-05
ENSG00000116675	-2.76374136747385	3.25926831536711	51.3569315032127	1.6859068538305e-06	2.23222414996567e-05
ENSG00000143195	1.91861663096312	4.52134997958502	51.2679691293674	1.70482922676873e-06	2.25528424654255e-05
ENSG00000272163	-3.04858484829969	3.20448732773594	51.2429788422208	1.71018737372338e-06	2.25886975573769e-05
ENSG00000123975	1.39072967341931	6.45595338952762	51.2412606464212	1.71055646277565e-06	2.25886975573769e-05
ENSG00000198003	2.96543772961323	3.21461401549885	51.1846985228087	1.72275661614249e-06	2.27297624024086e-05
ENSG00000120129	-1.42278987263181	6.78495860689964	51.0537887264714	1.75136858341475e-06	2.3086923007602e-05
ENSG00000173156	7.79663912035345	2.12193308637399	53.9909016714157	1.76425425361253e-06	2.32363302091887e-05
ENSG00000099860	1.49613380148326	5.33205746010399	50.8672143177409	1.79307066503157e-06	2.35799765808381e-05
ENSG00000005801	-1.429379466416	5.52474179621917	50.8653392188392	1.79349538067276e-06	2.35799765808381e-05
ENSG00000215386	2.71766990475121	3.44906268757361	50.820766073708	1.80362456831039e-06	2.36923490442527e-05
ENSG00000149260	-1.5761244786628	4.75032548182712	50.7771851356353	1.81359023927267e-06	2.38023784689817e-05
ENSG00000203879	-1.54167775710891	8.42279714615796	50.7634293161857	1.81674857634851e-06	2.38229509026435e-05
ENSG00000029534	-2.81829359663075	3.65198607952392	51.2511472536807	1.8184375221641e-06	2.38242361280904e-05
ENSG00000118733	2.45735817693653	4.2049686184569	51.1338206072916	1.84523090839206e-06	2.41541371094153e-05
ENSG00000145604	1.42353464578843	5.7054267615145	50.6280206714556	1.8481692231375e-06	2.41714708440909e-05
ENSG00000177425	1.45346333960307	6.04245184681903	50.5916182472188	1.8567195912677e-06	2.42621080970627e-05
ENSG00000134982	-1.68617992705781	5.17581565913635	50.9809794137405	1.86141503663034e-06	2.43005762837853e-05
ENSG00000165304	3.6246803992404	3.10778017560738	50.5653844951497	1.86290895317433e-06	2.43005762837853e-05
ENSG00000168917	-1.89484687468598	4.13169767905318	50.5413757854602	1.86859360667486e-06	2.43535154568808e-05
ENSG00000103260	1.35668112745303	6.8392300599303	50.4661051967603	1.88654204276449e-06	2.45660583394767e-05
ENSG00000094804	3.14938246688051	3.09757136484314	50.3903525401445	1.90480052512397e-06	2.47822657373862e-05
ENSG00000138180	3.8646912934365	2.85096624668883	50.3370535517814	1.91776561607921e-06	2.49292882819325e-05
ENSG00000129355	-1.59726837982789	6.05650659438585	50.7713444247	1.93084421725242e-06	2.5077530054948e-05
ENSG00000177469	5.17251071100391	3.85918906976073	68.5086478743117	1.93273528061492e-06	2.50803386717577e-05
ENSG00000137880	1.61022438800992	5.36336040743525	50.2334406798847	1.94325335891489e-06	2.51949948482689e-05
ENSG00000116478	1.39583682334859	5.96621375456604	49.9758950752895	2.00826600851377e-06	2.601538363105e-05
ENSG00000157782	-3.66626677372113	3.41576910094672	52.6898968723707	2.02342001747262e-06	2.61890360947731e-05
ENSG00000277837	-4.44256558416812	2.25328654221194	49.877333669067	2.03378739805537e-06	2.63004890206211e-05
ENSG00000135414	-1.48174334919193	6.81280394844513	49.8429058649373	2.0427875054e-06	2.63940836008326e-05
ENSG00000150593	1.47599551130179	5.89216535275959	49.8146556121711	2.05020599172514e-06	2.64670989017966e-05
ENSG00000228794	-1.49437897106932	4.93211854890117	49.6572824937134	2.09208805393236e-06	2.69845121512809e-05
ENSG00000132383	1.39384489926807	6.09960841022354	49.5989421677006	2.10785696988829e-06	2.71645078520457e-05
ENSG00000278023	7.76550962975516	2.09684368073083	52.4099283012356	2.12073306242422e-06	2.73069454942413e-05
ENSG00000170382	2.00736817758724	4.53208760938997	49.9808606561683	2.13343401290767e-06	2.74468851746498e-05
ENSG00000048052	-1.57567805042032	5.87210428852691	49.9317066691636	2.14679720710279e-06	2.75950971470938e-05
ENSG00000095739	1.73730443659383	4.57476900561324	49.4273736553618	2.1550069970816e-06	2.76768694522272e-05
ENSG00000161642	-1.77716718491909	6.57965711716971	52.0155493833454	2.16129764931927e-06	2.77338751487198e-05
ENSG00000106976	-1.44512659409792	5.42890030430148	49.2959316011325	2.19192882325046e-06	2.80679220375606e-05
ENSG00000143476	4.02841709968736	2.52815074168286	49.2934336572691	2.19263731512182e-06	2.80679220375606e-05
ENSG00000143630	-1.90928790321262	4.10112181137354	49.2872993407398	2.19437827960166e-06	2.80679220375606e-05
ENSG00000185664	3.06348013674542	6.44293261027158	81.615090849623	2.19482715899722e-06	2.80679220375606e-05
ENSG00000162374	-3.94052074547879	2.68752558575326	49.2733252047801	2.19835002424225e-06	2.80889860179417e-05
ENSG00000198417	-2.92324072843938	2.95771774939828	49.2294945167869	2.21085993765415e-06	2.82247464333938e-05
ENSG00000140534	3.64837324567876	2.69866074740698	49.187571373423	2.2229000264887e-06	2.83542827058503e-05
ENSG00000101236	-1.45830096818344	6.49159741194935	49.1552565799542	2.23223075862779e-06	2.8434125157625e-05
ENSG00000148680	-7.7903168092036	1.90907314833489	51.973538831299	2.23295700737008e-06	2.8434125157625e-05
ENSG00000150977	3.32539675641957	3.31281113612332	49.1376606222199	2.24663808810233e-06	2.85840317496452e-05
ENSG00000139998	-1.92738829187366	4.20361057094793	49.0359060434187	2.26707464078411e-06	2.88195609047047e-05
ENSG00000171587	-2.7019073511762	3.52370165357402	48.9983217687309	2.27817296071288e-06	2.89360814984523e-05
ENSG00000143570	1.39165805830966	6.03180702601082	48.9445989597023	2.29414262162797e-06	2.90979312227145e-05
ENSG00000003987	-1.81735010671496	4.22762327329498	48.9423904933042	2.29480178791492e-06	2.90979312227145e-05
ENSG00000129173	4.04420251533773	2.54344515779201	48.882171251807	2.31285754730309e-06	2.93020657959931e-05
ENSG00000051108	-1.41479609539685	7.55206237985284	48.8576178052143	2.32026510031196e-06	2.93710649849295e-05
ENSG00000100320	-1.41919747341865	8.21314223311112	48.7386799961926	2.35652558946257e-06	2.97852063643694e-05
ENSG00000092068	1.59799466512319	6.41187676000127	49.2009084960989	2.35695956873307e-06	2.97852063643694e-05
ENSG00000155660	1.40247682855211	6.6025219399867	48.7301471038011	2.35915129720653e-06	2.9787766168354e-05
ENSG00000100228	2.57474217350497	3.48597449407208	48.6907973639111	2.37130230014341e-06	2.99159662549684e-05
ENSG00000075043	-1.34388216573759	6.11868818532701	48.6564395459851	2.38196914139017e-06	3.00252423336008e-05
ENSG00000112309	-2.85482806015373	3.17990828560073	48.5540766159295	2.41406886594415e-06	3.0381985713183e-05
ENSG00000118292	1.57740862062701	4.82015171270653	48.5532562213878	2.41432808004592e-06	3.0381985713183e-05
ENSG00000109089	-1.56031058260969	5.44775401575325	48.6263155120988	2.41757900291432e-06	3.03973514430242e-05
ENSG00000185070	1.46940715739085	5.6313432947756	48.5319778177216	2.42106216050808e-06	3.0415608937591e-05
ENSG00000197959	-3.07782867730621	3.41837562533325	48.9502407059015	2.434282286001e-06	3.05560580325776e-05
ENSG00000067840	-1.37472171388089	5.5912926267661	48.4607721392343	2.44375036431309e-06	3.06492141587844e-05
ENSG00000253457	-3.64974833867788	2.45702757359718	48.295944678203	2.49718814880242e-06	3.12845297575193e-05
ENSG00000141510	1.49423532453711	5.43575425512928	48.29169183592	2.49858414624328e-06	3.12845297575193e-05
ENSG00000214063	1.51518788526697	5.83370749302018	48.1741272323999	2.53752286271693e-06	3.17455345607235e-05
ENSG00000167378	-1.37021050562594	6.36359239540261	48.1490467965049	2.54591743509267e-06	3.18239679386584e-05
ENSG00000269994	-1.48648137858981	5.05982508483629	48.1347336824991	2.55072205254293e-06	3.18574334752547e-05
ENSG00000171408	3.71857947478668	2.91681593326145	48.0993122414989	2.56265600802601e-06	3.19798114334913e-05
ENSG00000105722	1.57780358321963	5.28148008763166	48.0927874051833	2.56486112355647e-06	3.19806788719885e-05
ENSG00000143494	-1.65309848025669	4.94370068499153	48.0819041778866	2.56854391723632e-06	3.19999543765506e-05
