isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000262519.14	6.26066	10.02533	13.68046	11.38891	16.70439
ENST00000262547.9	0	1.80389	0	0	1.96562
ENST00000262584.7	1003.85259	1057.2461	1124.75586	911.49013	1145.61574
ENST00000262662.5	2.22987	0.21732	1.07495	0.45576	0.48145
ENST00000262710.5	28.13444	4.59204	21.73753	13.25279	30.45376
ENST00000262713.7	14.17475	21.02918	9.40735	16.42939	20.67258
ENST00000262738.9	15.81799	4.41129	2.0627	3.09339	8.30721
ENST00000262765.10	1.38133	5.27172	1.03165	0.58648	1.5874
ENST00000262768.11	26.37695	52.9018	31.50741	16.68085	79.09699
ENST00000262803.10	3.49836	14.91067	5.14365	7.61276	12.98564
ENST00000262858.8	0	0.19332	0.20713	0.37336	0.94086
ENST00000262903.9	9.48863	12.45548	9.48908	12.64555	11.25041
ENST00000262960.14	8.18675	12.67226	8.0789	4.30826	16.31864
ENST00000263083.12	3.83413	7.4945	10.44946	4.59195	5.05011
ENST00000263084.7	10.92382	18.00196	8.0666	11.76046	24.6978
ENST00000263119.10	12.59973	8.16854	14.74374	13.7091	9.01738
ENST00000263317.9	0.30836	1.53466	0	0.18593	2.6588
ENST00000263390.8	2.47086	6.19152	1.47317	4.17522	3.32368
ENST00000263441.11	5.77334	0	2.80237	2.65662	0
ENST00000263461.11	25.43131	24.17429	22.56511	29.54361	24.22649
ENST00000263468.13	26.92871	22.85564	20.88281	17.1835	14.4834
ENST00000263512.5	1.63263	4.76709	1.39403	0.98603	6.05847
ENST00000263574.9	13.09121	6.09299	11.45925	7.11985	21.46629
ENST00000263666.9	22.28393	12.59864	17.57085	28.21189	9.7659
ENST00000263710.8	3.05155	7.00773	6.09117	18.76618	0
ENST00000263733.5	22.42103	10.80812	22.38149	24.31238	13.44726
ENST00000263846.8	8.86824	69.02533	15.57855	8.65494	53.09069
ENST00000263956.8	21.13676	20.691	24.43451	24.90707	17.83542
ENST00000263991.9	9.49464	7.86982	9.08117	8.9097	6.40458
ENST00000264005.10	2.54579	0.57264	1.66519	1.30998	2.06643
ENST00000264051.8	6.29841	0.63866	2.34276	1.36342	4.58461
ENST00000264057.7	9.02034	13.49435	8.502	2.91575	15.78723
ENST00000264059.8	1.08665	8.87143	1.36048	1.89614	9.2735
ENST00000264221.6	2.23672	0	17.07719	0	119.73593
ENST00000264344.10	17.59383	19.11604	19.69447	9.54802	13.82082
ENST00000264447.9	56.0133	122.06919	62.90462	62.91709	72.1255
ENST00000264485.11	2.32561	8.6342	2.03498	1.72874	5.13299
ENST00000264499.9	19.16554	15.17232	18.95909	19.44505	10.89636
ENST00000264554.11	9.15111	16.88216	10.07783	10.87456	15.33376
ENST00000264658.11	40.56206	21.35179	36.39702	39.39757	22.45185
ENST00000264670.11	14.84879	14.32058	9.84612	8.82925	16.72757
ENST00000264748.6	15.48734	6.85115	12.51266	11.00402	14.54021
ENST00000264758.11	18.80611	24.62943	12.42934	24.53912	33.2221
ENST00000264805.9	2.11307	2.06083	2.25586	2.4846	0.4464
ENST00000264868.9	0	2.53176	0	0	0.40479
ENST00000265104.5	0.45459	0	0.32603	0.63121	0
ENST00000265136.12	0	0	0.5655	0.61721	0.98417
ENST00000265175.5	43.10832	24.45629	55.78707	39.06305	27.95729
ENST00000265229.12	7.00624	7.38494	7.78954	7.28197	5.22416
ENST00000265272.9	14.08018	41.64433	13.66427	17.98149	36.71119
ENST00000265293.9	8.47871	6.36733	8.15814	10.33425	8.54375
ENST00000265333.8	22.93411	7.47386	24.33754	21.92261	13.10305
ENST00000265350.9	11.12401	12.88024	9.65262	10.84288	13.25104
